domain,source,rows,kept,dropped,drop_%,pv_dropped_%
金融,2025search,10000,9998,2,0.02,0.01
金融,2026search,10000,9999,1,0.01,0.0
金融,assistant_top,1000,950,50,5.0,42.32
金融,assistant_random,1000,987,13,1.3,1.11
金融,assistant_voice,1000,1000,0,0.0,0.0
医疗,2025search,10000,9998,2,0.02,0.09
医疗,2026search,10000,9998,2,0.02,0.01
医疗,assistant_top,1000,958,42,4.2,39.13
医疗,assistant_random,1000,998,2,0.2,0.17
医疗,assistant_voice,1000,1000,0,0.0,0.0
教育,2025search,10000,9989,11,0.11,0.07
教育,2026search,9999,9981,18,0.18,0.14
教育,assistant_top,1000,859,141,14.1,57.81
教育,assistant_random,1000,970,30,3.0,2.6
影视,2025search,10000,9998,2,0.02,0.0
影视,2026search,10000,9999,1,0.01,0.01
影视,assistant_top,1000,955,45,4.5,78.33
影视,assistant_random,1000,982,18,1.8,1.66
人物,2025search,10000,9983,17,0.17,0.12
人物,2026search,10000,9982,18,0.18,0.14
人物,assistant_top,1000,889,111,11.1,33.43
人物,assistant_random,1000,950,50,5.0,7.4
书籍文档,2025search,10000,9988,12,0.12,0.15
书籍文档,2026search,10000,9995,5,0.05,0.05
书籍文档,assistant_top,1000,850,150,15.0,88.45
书籍文档,assistant_random,1000,953,47,4.7,4.18
软件,2025search,10000,9997,3,0.03,0.01
软件,2026search,10000,9999,1,0.01,0.0
软件,assistant_top,996,940,56,5.62,98.47
软件,assistant_random,1000,984,16,1.6,1.17
