domain,source,rows,kept,pv_raw,pv_dropped,drop_%,pv_drop_%
金融,2025search,10000,9998,8088610.0,812.0,0.0199999999999977,0.0100388076566925
金融,2026search,10000,9999,10896795.0,206.0,0.0099999999999988,0.0018904641227076
金融,assistant_top,1000,950,282146.0,119414.0,5.000000000000004,42.32347791568904
金融,assistant_random,1000,987,1171.0,13.0,1.3000000000000012,1.1101622544833476
金融,assistant_voice,1000,1000,0.0,0.0,0.0,
医疗,2025search,10000,9998,9736913.0,9112.0,0.0199999999999977,0.0935820213244177
医疗,2026search,10000,9998,5208934.0,677.0,0.0199999999999977,0.0129969010933907
医疗,assistant_top,1000,958,430112.0,168305.0,4.200000000000004,39.130505542742355
医疗,assistant_random,1000,998,1173.0,2.0,0.2000000000000001,0.1705029838022165
医疗,assistant_voice,1000,1000,0.0,0.0,0.0,
教育,2025search,10000,9989,28503117.0,21099.0,0.1099999999999989,0.0740234831158992
教育,2026search,9999,9981,14802866.0,20466.0,0.1800180018001751,0.1382570105005341
教育,assistant_top,1000,859,2082968.0,1204191.0,14.1,57.81130579058344
教育,assistant_random,1000,970,1231.0,32.0,3.0000000000000027,2.5995125913891144
影视,2025search,10000,9998,16451909.0,779.0,0.0199999999999977,0.0047350128182692
影视,2026search,10000,9999,12498594.0,1169.0,0.0099999999999988,0.0093530520312924
影视,assistant_top,1000,955,1255937.0,983766.0,4.5000000000000036,78.32924740651801
影视,assistant_random,1000,982,1265.0,21.0,1.8000000000000016,1.6600790513833992
人物,2025search,10000,9983,9966159.0,12024.0,0.1700000000000034,0.120648285864193
人物,2026search,10000,9982,7794757.0,10639.0,0.1800000000000023,0.1364891811252102
人物,assistant_top,1000,889,362365.0,121121.0,11.099999999999998,33.425137637464985
人物,assistant_random,1000,950,1298.0,96.0,5.000000000000004,7.395993836671803
