domain,source,n,distinct,dup_rate_%,top10_pv_%,top1%_rows_pv_%,gini_pv
人物,2025search,9983,9983,0.0,19.56,31.91,0.628
人物,2026search,9982,9982,0.0,10.39,26.86,0.593
人物,assistant_top,889,854,3.94,13.94,12.57,0.408
人物,assistant_random,950,950,0.0,14.98,14.48,0.205
医疗,2025search,9998,9998,0.0,1.71,8.92,0.425
医疗,2026search,9998,9998,0.0,2.36,10.67,0.458
医疗,assistant_top,958,952,0.63,12.24,11.57,0.398
医疗,assistant_random,998,998,0.0,9.22,8.88,0.143
医疗,assistant_voice,1000,885,11.5,1.0,1.0,0.0
影视,2025search,9998,9996,0.02,12.27,27.9,0.608
影视,2026search,9999,9996,0.03,7.9,24.89,0.596
影视,assistant_top,955,929,2.72,12.17,11.43,0.441
影视,assistant_random,982,982,0.0,12.86,12.38,0.203
教育,2025search,9989,9989,0.0,2.3,10.14,0.482
教育,2026search,9981,9980,0.01,2.75,11.68,0.494
教育,assistant_top,859,854,0.58,24.58,22.24,0.553
教育,assistant_random,970,970,0.0,11.43,11.01,0.184
金融,2025search,9998,9997,0.01,18.43,34.9,0.661
金融,2026search,9999,9998,0.01,20.54,38.33,0.711
金融,assistant_top,950,942,0.84,19.64,18.74,0.569
金融,assistant_random,987,987,0.0,8.89,8.46,0.143
金融,assistant_voice,1000,885,11.5,1.0,1.0,0.0
