domain,source,n,ami_leaf_vs_intent,ami_family_vs_intent
金融,2025search,9998,0.4342,0.4331
金融,2026search,9999,0.3967,0.395
金融,assistant_top,950,0.3623,0.367
金融,assistant_random,987,0.2048,0.1931
金融,assistant_voice,1000,0.3351,0.3399
医疗,2025search,9998,0.5644,0.5577
医疗,2026search,9998,0.5683,0.56
医疗,assistant_top,958,0.4949,0.4895
医疗,assistant_random,998,0.2879,0.2784
医疗,assistant_voice,1000,0.3594,0.3494
教育,2025search,9989,0.7518,0.7283
教育,2026search,9981,0.7522,0.7326
教育,assistant_top,859,0.3874,0.3185
教育,assistant_random,970,0.319,0.2747
影视,2025search,9998,0.3987,0.3861
影视,2026search,9999,0.3807,0.3731
影视,assistant_top,955,0.4172,0.3796
影视,assistant_random,982,0.298,0.2764
人物,2025search,9983,0.322,0.322
人物,2026search,9982,0.3557,0.3522
人物,assistant_top,889,0.3693,0.3693
人物,assistant_random,950,0.2105,0.2105
