domain,source,core,query,added_chars,core_td,wrap_td,same_intent
人物,assistant_top,赵丽颖,1:1低饱和纯黑纯色背景4K超清，明星赵丽颖性感镂空深V领链条，凸显丰满圆润无比巨大的球型水滴胸，修长笔直匀称肌肉线条流畅的大长腿，大幅度岔开双腿，18厘米高跟鞋，饱满亮泽的正红色唇妆，蓬松大波浪卷发，身材高挑性感火辣，皮肤白皙紧致，体态挺拔,118,裸名人物身份识别,人物近期事件状态查询,False
人物,assistant_top,王光美,2006年李讷参加王光美葬礼,11,裸名人物身份识别,人物近期事件状态查询,False
人物,assistant_top,丁禹兮,丁禹兮的代表作品有哪些,8,裸名人物身份识别,人物单项属性查询,False
人物,assistant_top,丁禹兮,丁禹兮获得过哪些重要奖项,9,裸名人物身份识别,人物单项属性查询,False
人物,assistant_top,丁程鑫,丁程鑫摇晃的红酒杯,6,裸名人物身份识别,垂类外非人物查询,False
人物,assistant_top,小女孩,七岁苗条小女孩,4,性化类目浏览或非具体人物浏览,裸名人物身份识别,False
人物,assistant_top,政治局常委,中央政治局常委,2,群体名单枚举,群体名单枚举,True
人物,assistant_top,习近平,习近平简历,2,裸名人物身份识别,人物档案调阅,False
人物,assistant_top,于和伟,于和伟王宝强颁奖,5,裸名人物身份识别,人物近期事件状态查询,False
人物,assistant_top,于朦胧,于朦胧个人资料,4,裸名人物身份识别,人物档案调阅,False
人物,assistant_top,于朦胧个人资料,于朦胧个人资料及简介,3,人物档案调阅,人物档案调阅,True
人物,assistant_top,于朦胧,于朦胧的个人简介,5,裸名人物身份识别,人物档案调阅,False
人物,assistant_top,于朦胧,于朦胧的个人资料,5,裸名人物身份识别,人物档案调阅,False
人物,assistant_top,于朦胧,于朦胧送花,2,裸名人物身份识别,粉丝打榜投票入口,False
人物,assistant_top,井柏然,井柏然个人简介,4,裸名人物身份识别,人物档案调阅,False
人物,assistant_top,章子怡,付辛博颖儿汪峰章子怡离婚,9,裸名人物身份识别,黑料绯闻炒作查询,False
人物,assistant_top,刘亦菲,刘亦菲幼儿园就是高颅顶,8,裸名人物身份识别,人物近期事件状态查询,False
人物,assistant_top,刘亦菲,刘亦菲的小狗也太幸福了,8,裸名人物身份识别,人物近期事件状态查询,False
人物,assistant_top,刘宇宁,刘宇宁的个人生活怎么样,8,裸名人物身份识别,人物近期事件状态查询,False
人物,assistant_top,刘宇宁,刘宇宁的演唱风格有什么特点,10,裸名人物身份识别,作品角色反查人物,False
人物,assistant_top,刘宇宁,刘宇宁获得过哪些音乐奖项,9,裸名人物身份识别,群体名单枚举,False
人物,assistant_top,刘萧旭,刘萧旭的个人生活怎么样,8,裸名人物身份识别,人物近期事件状态查询,False
人物,assistant_top,包贝尔,包文婧曾说再信包贝尔一次,9,裸名人物身份识别,人物相关说法核实,False
人物,assistant_top,包贝尔,包贝尔个人简介,4,裸名人物身份识别,人物档案调阅,False
人物,assistant_top,包贝尔,包贝尔曾同时交往7个女友,9,裸名人物身份识别,群体名单枚举,False
人物,assistant_top,包贝尔,包贝尔疑似出轨,4,裸名人物身份识别,人物近期事件状态查询,False
人物,assistant_top,十大元帅,十大元帅中谁最厉害,5,群体名单枚举,群体名单枚举,True
人物,assistant_top,小女孩,十岁苗条小女孩,4,性化类目浏览或非具体人物浏览,性化类目浏览或非具体人物浏览,True
人物,assistant_top,郭麒麟,原来郭麒麟是艺名,5,裸名人物身份识别,人物相关梗与说法解释,False
人物,assistant_top,叶剑英,叶剑英元帅,2,裸名人物身份识别,裸名人物身份识别,True
人物,assistant_top,叶建春,叶建春涉嫌哪些具体违纪违法问题,12,裸名人物身份识别,人物近期事件状态查询,False
人物,assistant_top,叶建春,叶建春的个人背景是什么,8,裸名人物身份识别,人物档案调阅,False
人物,assistant_top,叶建春,叶建春的家庭背景如何,7,裸名人物身份识别,私人家世与感情关系查询,False
人物,assistant_top,叶建春,叶建春简历,2,裸名人物身份识别,人物档案调阅,False
