source,label,n,distinct,hhi_strings,top1_pv_share,top5_pv_share
2025search,1,1867,1867,0.0005356186395286556,0.1011017250809581,0.17442504536259687
2025search,4,1410,1410,0.0007092198581560283,0.09707911656499409,0.1410463462510432
2025search,15,235,235,0.004255319148936169,0.3786061063760923,0.5047470061495306
2025search,3,868,868,0.0011520737327188942,0.06212707780140358,0.18505528780920125
2025search,19,152,152,0.006578947368421052,0.19647252324238576,0.43475217842686675
2025search,24,1244,1244,0.0008038585209003213,0.04770218731056779,0.11611562942008485
2025search,17,422,422,0.0023696682464454982,0.08687231629779697,0.2873488526177643
2025search,20,991,991,0.0010090817356205855,0.03746410302081478,0.128147918990791
2025search,5,199,199,0.0050251256281407045,0.1048017289983086,0.36023303890246194
2025search,25,250,250,0.004,0.15438070385375066,0.3291907556119433
2025search,22,91,91,0.01098901098901099,0.2000789110278161,0.5056618662458079
2025search,26,103,103,0.009708737864077664,0.2012989690721649,0.4989484536082473
2025search,0,311,311,0.0032154340836012857,0.10752758629727675,0.22426807852593506
2025search,14,28,28,0.03571428571428572,0.43838932514612977,0.769498730589833
2025search,23,243,243,0.004115226337448562,0.10265912086208231,0.24663927436235367
2025search,16,196,196,0.005102040816326529,0.06856914732523885,0.27607995374576694
2025search,11,299,299,0.0033444816053511714,0.07416947800508532,0.15133033087929798
2025search,18,561,561,0.0017825311942958996,0.025279652429615013,0.09849593684391784
2025search,13,243,243,0.004115226337448562,0.046541728953221284,0.1534436868778941
2025search,12,221,221,0.004524886877828055,0.03907362158716668,0.14454477849782216
2025search,21,54,54,0.018518518518518514,0.07590278966284443,0.31687489303440014
2026search,4,1133,1133,0.0008826125330979699,0.14098866456502782,0.22394526795895092
2026search,15,226,226,0.004424778761061948,0.4154012784845075,0.48370038439484364
2026search,19,192,192,0.005208333333333335,0.22887710905682335,0.4182235438619174
2026search,17,631,631,0.0015847860538827257,0.09560226300901256,0.20216597592263663
2026search,3,1111,1111,0.0009000900090008999,0.04697852202402621,0.14635511467054968
2026search,20,982,982,0.0010183299389002036,0.044712950019589734,0.14877552106258557
2026search,24,1253,1253,0.0007980845969672785,0.05147811169316545,0.10423674294642035
2026search,25,195,195,0.005128205128205129,0.2343830334190231,0.34897172236503854
2026search,13,265,265,0.0037735849056603774,0.16731147138295258,0.2448722672562024
2026search,5,228,228,0.0043859649122807015,0.08520157643106346,0.3296291510531077
2026search,22,81,81,0.012345679012345675,0.19685625261591408,0.5103938985257871
2026search,1,1616,1616,0.0006188118811881188,0.016707028598738138,0.07331012020225143
2026search,26,120,120,0.008333333333333333,0.13033767792259743,0.4394479815993867
2026search,18,805,805,0.0012422360248447201,0.02919451552534087,0.09370965893900622
2026search,14,29,29,0.03448275862068965,0.3952546296296296,0.7596064814814815
2026search,23,165,165,0.0060606060606060615,0.15300272975432214,0.32779799818016386
2026search,16,198,198,0.005050505050505053,0.08968706894220108,0.2551321234414302
2026search,21,80,80,0.012500000000000004,0.14686020336878058,0.3941628502677948
2026search,12,178,178,0.005617977528089887,0.0707149243867356,0.2388912646269875
2026search,0,257,257,0.0038910505836575876,0.04779766665747304,0.18498496841989132
2026search,11,250,250,0.004,0.05216682958618441,0.15037471489084386
assistant_top,11,6,6,0.16666666666666669,0.30286047869235255,0.9469935785172212
assistant_top,20,58,58,0.017241379310344827,0.07032455905657659,0.24803967976290928
assistant_top,22,6,6,0.16666666666666669,0.5508830950378469,0.9424486363090232
assistant_top,4,298,298,0.003355704697986578,0.06036347606366057,0.1692086056298343
assistant_top,1,294,294,0.0034013605442176874,0.032314852592290375,0.10989467639814436
assistant_top,12,2,2,0.5,0.6565815324165029,1.0
assistant_top,5,14,14,0.07142857142857142,0.12638475282906494,0.47992852888624193
assistant_top,17,5,5,0.20000000000000004,0.6728709394205443,1.0
assistant_top,21,71,71,0.014084507042253523,0.04424761225379462,0.17439464193714574
assistant_top,18,1,1,1.0,1.0,1.0
assistant_top,0,15,15,0.06666666666666667,0.1368408635130353,0.5228854547599386
assistant_top,23,14,14,0.07142857142857142,0.15862426322948378,0.5840404171254614
assistant_top,24,41,41,0.024390243902439025,0.11689894547188807,0.40054404465405474
assistant_top,3,7,7,0.14285714285714285,0.23220973782771537,0.7573568753344034
assistant_top,16,5,5,0.20000000000000004,0.28069111852076384,1.0
assistant_top,15,2,2,0.5,0.7566105769230769,1.0
assistant_top,14,11,11,0.09090909090909091,0.2041130117240054,0.6652572233967583
assistant_random,21,579,579,0.0017271157167530224,0.02773497688751926,0.05855161787365177
assistant_random,1,157,157,0.006369426751592356,0.21428571428571422,0.28571428571428564
assistant_random,20,58,58,0.017241379310344827,0.2409638554216867,0.3373493975903613
assistant_random,0,14,14,0.07142857142857142,0.07142857142857145,0.35714285714285726
assistant_random,4,57,57,0.01754385964912281,0.09210526315789473,0.2894736842105262
assistant_random,24,21,21,0.0476190476190476,0.24137931034482762,0.4482758620689656
assistant_random,16,10,10,0.10000000000000003,0.18181818181818185,0.5454545454545455
assistant_random,3,14,14,0.07142857142857142,0.12500000000000003,0.4375000000000001
assistant_random,22,5,5,0.20000000000000004,0.3333333333333333,1.0
assistant_random,23,11,11,0.09090909090909091,0.09090909090909093,0.45454545454545464
assistant_random,13,7,7,0.14285714285714285,0.14285714285714285,0.7142857142857143
assistant_random,25,1,1,1.0,1.0,1.0
assistant_random,5,8,8,0.125,0.3333333333333333,0.7499999999999999
assistant_random,15,2,2,0.5,0.5,1.0
assistant_random,17,3,3,0.3333333333333333,0.5,1.0
assistant_random,26,2,2,0.5,0.5,1.0
assistant_random,14,3,3,0.3333333333333333,0.3333333333333333,1.0
assistant_random,12,1,1,1.0,1.0,1.0
