label,a,b,k_a,k_b,n_a,n_b,share_a,share_b,diff_pp,lo_pp,hi_pp,kind,sig,why
4,2025search,2026search,1410,1133,9988,9995,0.14116940328394073,0.11335667833916958,-2.7812724944771148,-3.7050992210326634,-1.8578515356207699,stable,True,时间（搜索内部，2025→2026）
1,2025search,2026search,1867,1616,9988,9995,0.1869243091710052,0.1616808404202101,-2.5243468750795084,-3.575687502663391,-1.4726655291843,stable,True,时间（搜索内部，2025→2026）
23,2025search,2026search,243,165,9988,9995,0.024329195034040848,0.016508254127063533,-0.7820940906977315,-1.1780241751292508,-0.3906479936320308,stable,True,时间（搜索内部，2025→2026）
25,2025search,2026search,250,195,9988,9995,0.0250300360432519,0.01950975487743872,-0.5520281165813181,-0.9641408632020007,-0.14277523286131844,stable,True,时间（搜索内部，2025→2026）
0,2025search,2026search,311,257,9988,9995,0.031137364837805367,0.025712856428214106,-0.5424508409591262,-1.0056061478317402,-0.08139368470057749,stable,True,时间（搜索内部，2025→2026）
11,2025search,2026search,299,250,9988,9995,0.029935923107729277,0.02501250625312656,-0.49234168546027146,-0.9479300798592845,-0.03874048250746328,stable,True,时间（搜索内部，2025→2026）
12,2025search,2026search,221,178,9988,9995,0.02212655186223468,0.017808904452226115,-0.4317647410008566,-0.8225825255305584,-0.043488577251391256,stable,True,时间（搜索内部，2025→2026）
22,2025search,2026search,91,81,9988,9995,0.009110933119743692,0.008104052026013006,-0.10068810937306857,-0.3603141165955365,0.15744051630921999,stable,False,时间（搜索内部，2025→2026）
20,2025search,2026search,991,982,9988,9995,0.09921906287545054,0.09824912456228115,-0.09699383131693967,-0.9246369021250642,0.7305837767587366,stable,False,时间（搜索内部，2025→2026）
15,2025search,2026search,235,226,9988,9995,0.02352823388065679,0.022611305652826413,-0.0916928227830377,-0.5097572095724214,0.32589418357705713,stable,False,时间（搜索内部，2025→2026）
14,2025search,2026search,28,29,9988,9995,0.002803364036844213,0.0029014507253626812,0.00980866885184682,-0.14270476505005086,0.162729680703922,stable,False,时间（搜索内部，2025→2026）
16,2025search,2026search,196,198,9988,9995,0.01962354825790949,0.019809904952476236,0.01863566945667465,-0.368527212453909,0.4058810563558333,stable,False,时间（搜索内部，2025→2026）
24,2025search,2026search,1244,1253,9988,9995,0.12454945935122147,0.12536268134067033,0.0813221989448859,-0.8358989545909931,0.9985345469644561,stable,False,时间（搜索内部，2025→2026）
26,2025search,2026search,103,120,9988,9995,0.010312374849819783,0.01200600300150075,0.16936281516809673,-0.12334653839176052,0.4639223702316852,stable,False,时间（搜索内部，2025→2026）
