key,类目,缺席快照,该快照n,其余快照条数,其余快照n,参照占比%,期望条数,P(0),该快照上界%,最高占比快照,最高占比%,判定
24,报刊电子版查询,助手头部1k,850,225,20936,1.075,9.13,0.0001,0.433,2026搜索,1.291,真缺席
24,报刊电子版查询,助手随机1k,953,225,20833,1.08,10.29,0.0,0.386,2026搜索,1.291,真缺席
32,七月及七一图片与祝福语查询,助手头部1k,850,460,20936,2.197,18.68,0.0,0.433,2026搜索,2.611,真缺席
13,漫画App官方下载入口查询,助手头部1k,850,344,20936,1.643,13.97,0.0,0.433,2026搜索,1.921,真缺席
13,漫画App官方下载入口查询,助手随机1k,953,344,20833,1.651,15.74,0.0,0.386,2026搜索,1.921,真缺席
22,安全标志与安全生产信息查询,助手头部1k,850,446,20936,2.13,18.11,0.0,0.433,2025搜索,2.503,真缺席
28,男生头像查询,助手头部1k,850,225,20936,1.075,9.13,0.0001,0.433,2026搜索,1.201,真缺席
2,术语含义查询,助手随机1k,953,555,20833,2.664,25.39,0.0,0.386,2025搜索,2.994,真缺席
12,查询免费漫画在线观看入口,助手随机1k,953,1367,20833,6.562,62.53,0.0,0.386,2026搜索,8.054,真缺席
17,按关键词查找图片,助手头部1k,850,515,20936,2.46,20.91,0.0,0.433,2026搜索,2.651,真缺席
