key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
21,角色扮演对话生成,784,54,0.4494,5.56,35.19,80,0.4697,2.5,41.25,71,0.6754,5.63,33.8,579,0.5481,4.32,8.29,2025搜索,0.226,0.5448
20,再生成与调整回答,2089,991,0.5502,3.83,30.07,982,0.5443,3.87,26.78,58,0.6002,1.72,44.83,58,0.4475,8.62,67.24,助手随机1k,0.1527,0.5459
22,获取爆笑笑话与脑筋急转弯合集,183,91,0.6143,3.3,7.69,81,0.5681,4.94,7.41,6,0.4624,0.0,50.0,5,0.3916,0.0,20.0,2026搜索,0.0462,0.5828
25,安全标志与安全生产信息查询,446,250,0.7162,2.4,13.2,195,0.7165,3.08,14.87,0,,,,1,0.811,0.0,0.0,2025搜索,0.0003,0.7165
0,术语定义查询,597,311,0.7267,1.93,10.93,257,0.7363,1.17,10.89,15,0.6907,6.67,0.0,14,0.6402,7.14,50.0,2025搜索,0.0096,0.7279
4,实用文书模板与心得体会范文查询,2898,1410,0.7117,2.13,23.19,1133,0.7296,1.94,21.54,298,0.8161,0.34,11.07,57,0.6458,1.75,38.6,助手随机1k,0.1703,0.7281
1,文字素材查询,3934,1867,0.7634,1.5,23.09,1616,0.7498,1.79,23.27,294,0.8571,0.68,13.27,157,0.7528,0.0,27.39,2026搜索,0.1073,0.7644
14,情侣头像查询,71,28,0.7974,0.0,3.57,29,0.8091,3.45,3.45,11,0.7696,0.0,9.09,3,0.5376,0.0,0.0,2025搜索,0.0117,0.7869
16,女生头像图片查询,409,196,0.7936,2.55,4.59,198,0.8113,0.51,4.55,5,0.6534,0.0,20.0,10,0.6375,10.0,0.0,2025搜索,0.0177,0.7967
24,图片搜索,2559,1244,0.8009,1.37,13.91,1253,0.8108,0.96,12.45,41,0.6406,0.0,17.07,21,0.6663,0.0,28.57,助手头部1k,0.1702,0.8021
23,文书写法与模板查询,433,243,0.8399,1.65,2.88,165,0.8262,2.42,2.42,14,0.7899,0.0,14.29,11,0.6095,9.09,0.0,2026搜索,0.0137,0.8272
12,人口统计数据查询,402,221,0.833,0.45,3.17,178,0.8223,0.56,5.62,2,0.8123,0.0,50.0,1,0.6259,0.0,0.0,2026搜索,0.0107,0.8276
13,按关键词查找图片,515,243,0.8689,0.0,4.53,265,0.8735,0.0,4.91,0,,,,7,0.6936,14.29,14.29,2025搜索,0.0046,0.8689
5,微信头像图片查询,449,199,0.8885,1.01,24.62,228,0.8908,0.88,26.32,14,0.8086,0.0,14.29,8,0.5483,0.0,75.0,2025搜索,0.0023,0.8811
3,查询特定主题图片,2000,868,0.8985,0.46,7.14,1111,0.887,0.27,6.21,7,0.6232,0.0,28.57,14,0.7328,0.0,50.0,2026搜索,0.0115,0.89
17,查找漫画资源,1061,422,0.9023,0.47,4.5,631,0.9084,0.48,7.29,5,0.6305,0.0,20.0,3,0.836,0.0,0.0,2025搜索,0.0061,0.9045
26,男生头像图片查询,225,103,0.9251,0.0,1.94,120,0.8956,1.67,3.33,0,,,,2,0.5395,0.0,0.0,2026搜索,0.0295,0.906
19,漫画App官方下载入口查询,344,152,0.931,0.0,7.24,192,0.9302,0.0,7.29,0,,,,0,,,,2026搜索,0.0008,0.9306
11,术语含义查询,555,299,0.9256,1.0,0.0,250,0.9444,0.0,0.0,6,0.9276,0.0,0.0,0,,,,2025搜索,0.0188,0.9341
15,头像图片查询,465,235,0.9379,0.43,3.83,226,0.9361,0.44,3.98,2,0.8138,0.0,0.0,2,0.8415,0.0,0.0,2026搜索,0.0018,0.9361
18,查询免费漫画在线观看入口,1367,561,0.9869,0.0,3.57,805,0.9901,0.0,3.6,1,0.9908,0.0,0.0,0,,,,2025搜索,0.0032,0.9888
