key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
23,生成角色扮演对话,784,54,0.4494,5.56,35.19,80,0.4697,2.5,41.25,71,0.6754,5.63,33.8,579,0.5481,4.32,8.29,2025搜索,0.226,0.5448
19,再生成与调整回答,2089,991,0.5502,3.83,30.07,982,0.5443,3.87,26.78,58,0.6002,1.72,44.83,58,0.4475,8.62,67.24,助手随机1k,0.1527,0.5459
8,获取爆笑笑话与脑筋急转弯合集,183,91,0.6143,3.3,7.69,81,0.5681,4.94,7.41,6,0.4624,0.0,50.0,5,0.3916,0.0,20.0,2026搜索,0.0462,0.5828
34,思想汇报与心得体会范文查询,1223,702,0.6191,3.42,31.62,501,0.6169,3.59,32.73,5,0.588,0.0,60.0,15,0.5769,0.0,40.0,2026搜索,0.0022,0.6176
31,经典语录短句查询,288,162,0.6507,0.0,11.11,96,0.6588,2.08,9.38,20,0.6983,0.0,15.0,10,0.7237,0.0,10.0,2025搜索,0.0476,0.6593
22,安全标志与安全生产信息查询,446,250,0.7162,2.4,13.2,195,0.7165,3.08,14.87,0,,,,1,0.811,0.0,0.0,2025搜索,0.0003,0.7165
0,术语定义查询,597,311,0.7267,1.93,10.93,257,0.7363,1.17,10.89,15,0.6907,6.67,0.0,14,0.6402,7.14,50.0,2025搜索,0.0096,0.7279
33,调整生成结果,452,73,0.5918,4.11,38.36,59,0.6185,0.0,40.68,285,0.8215,0.35,9.82,35,0.6801,0.0,40.0,2025搜索,0.2297,0.7469
5,家长寄语评语写法查询,348,168,0.7266,2.98,10.71,127,0.728,2.36,9.45,43,0.9141,0.0,0.0,10,0.7168,0.0,0.0,2025搜索,0.1875,0.75
4,文案短句查询,2429,1101,0.765,1.73,34.42,979,0.7409,1.74,34.73,218,0.8665,0.92,16.51,131,0.7671,0.0,31.3,2026搜索,0.1256,0.7645
3,查询感谢老师话语模板,303,158,0.7847,1.9,8.23,131,0.7761,1.53,5.34,12,0.7842,0.0,0.0,2,0.4479,0.0,0.0,2026搜索,0.0086,0.7788
27,情侣头像查询,71,28,0.7974,0.0,3.57,29,0.8091,3.45,3.45,11,0.7696,0.0,9.09,3,0.5376,0.0,0.0,2025搜索,0.0117,0.7869
30,女生头像图片查询,409,196,0.7936,2.55,4.59,198,0.8113,0.51,4.55,5,0.6534,0.0,20.0,10,0.6375,10.0,0.0,2025搜索,0.0177,0.7967
15,图片搜索,2559,1244,0.8009,1.37,13.91,1253,0.8108,0.96,12.45,41,0.6406,0.0,17.07,21,0.6663,0.0,28.57,助手头部1k,0.1702,0.8021
20,办公文档与演示文稿模板查询,998,539,0.8155,0.56,13.91,444,0.8219,0.9,12.16,8,0.7692,0.0,25.0,7,0.6219,14.29,28.57,2025搜索,0.0064,0.8166
6,查询故事内容,566,278,0.8328,0.36,1.08,283,0.8089,1.77,2.83,1,0.4089,0.0,0.0,4,0.6014,0.0,25.0,2026搜索,0.0239,0.8185
7,文书写法与模板查询,433,243,0.8399,1.65,2.88,165,0.8262,2.42,2.42,14,0.7899,0.0,14.29,11,0.6095,9.09,0.0,2026搜索,0.0137,0.8272
18,人口统计数据查询,402,221,0.833,0.45,3.17,178,0.8223,0.56,5.62,2,0.8123,0.0,50.0,1,0.6259,0.0,0.0,2026搜索,0.0107,0.8276
32,七月及七一图片与祝福语查询,460,198,0.8465,0.51,1.01,261,0.8368,0.38,1.15,0,,,,1,0.5241,0.0,0.0,2026搜索,0.0097,0.8403
17,按关键词查找图片,515,243,0.8689,0.0,4.53,265,0.8735,0.0,4.91,0,,,,7,0.6936,14.29,14.29,2025搜索,0.0046,0.8689
25,微信头像图片查询,449,199,0.8885,1.01,24.62,228,0.8908,0.88,26.32,14,0.8086,0.0,14.29,8,0.5483,0.0,75.0,2025搜索,0.0023,0.8811
24,报刊电子版查询,225,96,0.8968,0.0,2.08,129,0.9001,0.0,1.55,0,,,,0,,,,2025搜索,0.0033,0.8987
14,查询事物图片,1167,523,0.9097,0.57,10.71,631,0.9,0.16,9.83,2,0.5366,0.0,100.0,11,0.7594,0.0,63.64,2026搜索,0.0097,0.9024
11,查找漫画资源,1061,422,0.9023,0.47,4.5,631,0.9084,0.48,7.29,5,0.6305,0.0,20.0,3,0.836,0.0,0.0,2025搜索,0.0061,0.9045
28,男生头像查询,225,103,0.9251,0.0,1.94,120,0.8956,1.67,3.33,0,,,,2,0.5395,0.0,0.0,2026搜索,0.0295,0.906
16,早安问候图片查询,373,147,0.9285,0.0,2.72,219,0.9092,0.46,1.83,5,0.6578,0.0,0.0,2,0.6904,0.0,0.0,2026搜索,0.0193,0.9122
13,漫画App官方下载入口查询,344,152,0.931,0.0,7.24,192,0.9302,0.0,7.29,0,,,,0,,,,2026搜索,0.0008,0.9306
2,术语含义查询,555,299,0.9256,1.0,0.0,250,0.9444,0.0,0.0,6,0.9276,0.0,0.0,0,,,,2025搜索,0.0188,0.9341
29,头像图片查询,465,235,0.9379,0.43,3.83,226,0.9361,0.44,3.98,2,0.8138,0.0,0.0,2,0.8415,0.0,0.0,2026搜索,0.0018,0.9361
12,查询免费漫画在线观看入口,1367,561,0.9869,0.0,3.57,805,0.9901,0.0,3.6,1,0.9908,0.0,0.0,0,,,,2025搜索,0.0032,0.9888
