外层,a,b,n_a,n_b,内层TVD,同源噪声上界,超出噪声,a主导内层,a主导占比%,b主导内层,b主导占比%,主导是否相同
获取现成可直接发布文案,2025搜索,2026搜索,1201,981,0.0597,0.0695,False,文案短句查询,54.95,文案短句查询,58.21,True
获取现成可直接发布文案,2025搜索,助手头部1k,1201,267,0.2673,0.1029,True,文案短句查询,54.95,文案短句查询,73.41,True
获取现成可直接发布文案,2025搜索,助手随机1k,1201,138,0.2922,0.1462,True,文案短句查询,54.95,文案短句查询,74.64,True
获取现成可直接发布文案,2026搜索,助手头部1k,981,267,0.2458,0.1058,True,文案短句查询,58.21,文案短句查询,73.41,True
获取现成可直接发布文案,2026搜索,助手随机1k,981,138,0.2595,0.1434,True,文案短句查询,58.21,文案短句查询,74.64,True
获取现成可直接发布文案,助手头部1k,助手随机1k,267,138,0.1515,0.1278,True,文案短句查询,73.41,文案短句查询,74.64,True
进入指定网站或电子报刊页面,2025搜索,2026搜索,323,378,0.0767,0.1295,False,再生成与调整回答,34.06,报刊电子版查询,33.86,False
获取个人装饰用图（头像/壁纸）,2025搜索,2026搜索,630,668,0.044,0.0872,False,头像图片查询,36.51,头像图片查询,33.23,True
获取应景问候图片,2025搜索,2026搜索,334,469,0.061,0.0993,False,七月及七一图片与祝福语查询,40.42,早安问候图片查询,43.71,False
获取漫画免费阅读或下载入口,2025搜索,2026搜索,1137,1647,0.023,0.051,False,查询免费漫画在线观看入口,48.9,查询免费漫画在线观看入口,48.63,True
获取说明性/参考图片,2025搜索,2026搜索,2317,2447,0.0499,0.048,True,图片搜索,48.34,图片搜索,45.81,True
获取说明性/参考图片,2025搜索,助手头部1k,2317,42,0.4225,0.2322,True,图片搜索,48.34,图片搜索,50.0,True
获取说明性/参考图片,2025搜索,助手随机1k,2317,61,0.3998,0.212,True,图片搜索,48.34,生成角色扮演对话,22.95,False
获取说明性/参考图片,2026搜索,助手头部1k,2447,42,0.454,0.2517,True,图片搜索,45.81,图片搜索,50.0,True
获取说明性/参考图片,2026搜索,助手随机1k,2447,61,0.3998,0.2069,True,图片搜索,45.81,生成角色扮演对话,22.95,False
获取说明性/参考图片,助手头部1k,助手随机1k,42,61,0.5589,0.3284,True,图片搜索,50.0,生成角色扮演对话,22.95,False
获取故事或典故全文/梗概,2025搜索,2026搜索,389,422,0.1007,0.0966,True,查询故事内容,68.38,查询故事内容,63.03,True
查询词语或概念的含义,2025搜索,2026搜索,1411,1197,0.0528,0.068,False,再生成与调整回答,27.99,再生成与调整回答,32.16,True
查询词语或概念的含义,2025搜索,助手头部1k,1411,32,0.3647,0.3061,True,再生成与调整回答,27.99,术语定义查询,34.38,False
查询词语或概念的含义,2025搜索,助手随机1k,1411,40,0.5238,0.2602,True,再生成与调整回答,27.99,生成角色扮演对话,45.0,False
