key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,主导意图,主导意图占比%,盲评一致性,风险标注,user_need
15,图片搜索,用户输入主题或仅输入“图片”后，获得相关的图片、照片或壁纸结果，即满足需求。,2559,11.746,1244,12.455,11.822,13.117,10.235,1253,12.536,11.901,13.2,9.2,41,4.824,3.575,6.478,5.941,21,2.204,1.446,3.345,2.431,38.9,1.0603,1.556,39.15,1.0673,1.5661,15.06,0.4107,0.6026,6.88,0.1876,0.2753,4,,,2026搜索,助手随机1k,10.333,5.69,1,1,6,5,获取说明性/参考图片,88.9,5.0,True,用户输入主题或仅输入“图片”后，获得相关的图片、照片或壁纸结果，即满足需求。
4,文案短句查询,用户提供某个心情、场合或对象，希望获得可直接用于朋友圈、祝福、情感表达或生日问候的中文短句文案。,2429,11.149,1101,11.023,10.424,11.652,11.797,979,9.795,9.228,10.393,8.9,218,25.647,22.826,28.688,19.301,131,13.746,11.705,16.078,19.279,18.31,0.9887,0.7323,16.27,0.8785,0.6507,42.6,2.3003,1.7038,22.83,1.2329,0.9132,4,,,助手头部1k,2026搜索,15.852,2.62,2,3,2,2,获取现成可直接发布文案,63.0,4.0,,用户提供某个心情、场合或对象，希望获得可直接用于朋友圈、祝福、情感表达或生日问候的中文短句文案。
19,再生成与调整回答,用户发出“再来一些”“简短的”“解读一下”“概括”等后续指令后，希望系统按指令对已有回答进行续写、简化、解读或概括。,2089,9.589,991,9.922,9.351,10.524,10.341,982,9.825,9.257,10.424,11.653,58,6.824,5.315,8.72,5.099,58,6.086,4.737,7.787,6.957,30.38,1.0347,1.2153,30.09,1.0246,1.2034,20.89,0.7116,0.8358,18.64,0.6347,0.7455,4,,,2025搜索,助手随机1k,3.836,1.63,3,2,4,3,查询词语或概念的含义,38.2,2.0,,用户发出“再来一些”“简短的”“解读一下”“概括”等后续指令后，希望系统按指令对已有回答进行续写、简化、解读或概括。
12,查询免费漫画在线观看入口,用户希望获得可免费在线观看或阅读漫画（含韩漫、下拉式、全集、无删减等）的网站入口、软件推荐或资源链接。,1367,6.275,561,5.617,5.182,6.086,4.879,805,8.054,7.537,8.604,7.379,1,0.118,0.021,0.663,0.053,0,0.0,0.0,0.401,0.0,40.74,0.8951,1.6294,58.41,1.2836,2.3365,0.85,0.0187,0.0341,0.0,0.0,0.0,3,助手随机1k,,2026搜索,助手随机1k,8.054,inf,5,4,23,27,获取漫画免费阅读或下载入口,99.3,4.0,True,用户希望获得可免费在线观看或阅读漫画（含韩漫、下拉式、全集、无删减等）的网站入口、软件推荐或资源链接。
34,思想汇报与心得体会范文查询,用户获得与师德师风、政绩观、先进精神等主题相关的个人总结、心得体会、交流发言稿范文或写作素材后，即感到满足。,1223,5.614,702,7.028,6.543,7.546,5.669,501,5.013,4.602,5.458,4.178,5,0.588,0.252,1.37,0.805,15,1.574,0.956,2.581,1.257,49.49,1.252,1.9794,35.29,0.8929,1.4117,4.14,0.1048,0.1657,11.08,0.2804,0.4433,4,,,2025搜索,助手头部1k,6.44,11.95,4,7,16,6,查询词语或概念的含义,36.1,4.0,,用户获得与师德师风、政绩观、先进精神等主题相关的个人总结、心得体会、交流发言稿范文或写作素材后，即感到满足。
14,查询事物图片,用户输入某具体事物的名称并附加“图片”或“图纸”，希望获得该事物的相关图片或图纸展示，看到匹配的视觉结果后即满足。,1167,5.357,523,5.236,4.816,5.691,3.469,631,6.313,5.853,6.807,4.377,2,0.235,0.065,0.854,0.143,11,1.154,0.646,2.055,1.006,40.47,0.9775,1.6188,48.79,1.1786,1.9517,1.82,0.0439,0.0727,8.92,0.2155,0.3568,4,,,2026搜索,助手头部1k,6.078,26.83,7,5,20,8,获取说明性/参考图片,96.6,4.0,,用户输入某具体事物的名称并附加“图片”或“图纸”，希望获得该事物的相关图片或图纸展示，看到匹配的视觉结果后即满足。
11,查找漫画资源,用户输入漫画名称、漫画平台或漫画题材后，获得对应漫画的可阅读链接、网站或相关漫画推荐列表，即满足。,1061,4.87,422,4.225,3.848,4.637,5.072,631,6.313,5.853,6.807,6.855,5,0.588,0.252,1.37,0.598,3,0.315,0.107,0.921,0.335,36.93,0.8676,1.4771,55.18,1.2963,2.2072,5.14,0.1208,0.2057,2.75,0.0646,0.1101,4,,,2026搜索,助手随机1k,5.998,20.05,8,5,16,18,获取漫画免费阅读或下载入口,96.8,4.0,,用户输入漫画名称、漫画平台或漫画题材后，获得对应漫画的可阅读链接、网站或相关漫画推荐列表，即满足。
20,办公文档与演示文稿模板查询,用户需要系统提供指定文种（如申请书、合同、证明、报告、信函）或演示文稿的通用模板、格式说明或范文，获得可直接套用或下载的内容即满足。,998,4.581,539,5.396,4.97,5.857,5.156,444,4.442,4.056,4.864,4.51,8,0.941,0.478,1.846,0.689,7,0.735,0.356,1.508,0.671,46.87,1.178,1.8747,38.58,0.9697,1.5432,8.17,0.2055,0.327,6.38,0.1603,0.2552,4,,,2025搜索,助手随机1k,4.662,7.35,6,8,13,14,获取可套用文书模板或范文,81.7,4.0,,用户需要系统提供指定文种（如申请书、合同、证明、报告、信函）或演示文稿的通用模板、格式说明或范文，获得可直接套用或下载的内容即满足。
23,生成角色扮演对话,用户在提供原创角色设定、人设规则和对话要求后，模型始终以该角色口吻直接对话并遵守设定，不跳出角色，用户即满意。,784,3.599,54,0.541,0.415,0.705,0.378,80,0.8,0.644,0.995,0.726,71,8.353,6.675,10.406,5.296,579,60.756,57.618,63.807,54.401,0.77,0.1502,0.0307,1.14,0.2224,0.0454,11.86,2.3211,0.4743,86.24,16.8829,3.4496,4,,,助手随机1k,2025搜索,60.215,112.38,29,28,3,1,依赖前文的修改或追问,31.6,2.0,True,用户在提供原创角色设定、人设规则和对话要求后，模型始终以该角色口吻直接对话并遵守设定，不跳出角色，用户即满意。
0,术语定义查询,用户输入某个概念、术语或固定表述，获得其定义、含义或具体所指后即满足。,597,2.74,311,3.114,2.791,3.473,2.466,257,2.571,2.279,2.9,2.044,15,1.765,1.072,2.891,1.779,14,1.469,0.877,2.451,1.174,34.91,1.1363,1.3965,28.83,0.9383,1.1532,19.79,0.644,0.7915,16.47,0.5361,0.6589,4,,,2025搜索,助手随机1k,1.645,2.12,9,12,8,7,查询词语或概念的含义,68.3,4.0,,用户输入某个概念、术语或固定表述，获得其定义、含义或具体所指后即满足。
