key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,主导叶,主导叶占比%,体系内风险标注,架构师预估占比,user_need
OBTAIN_REFERENCE_IMAGE,获取说明性/参考图片,用户想要一张已存在的、用于说明某事物外观或形象的图片，如实物、植物、标志、国旗、场景或真实照片。,4867,22.34,2317,23.198,22.38,24.036,18.0,2447,24.482,23.649,25.335,18.438,42,4.941,3.676,6.612,5.122,61,6.401,5.015,8.137,6.119,39.3,1.0384,1.5721,41.48,1.0959,1.6592,8.37,0.2212,0.3349,10.84,0.2865,0.4338,4,,,2026搜索,助手头部1k,19.541,4.95,1,1,4,5,图片搜索,46.7,否,0.1,收到能准确展示目标对象外观的现成图片后，用户满足。
OBTAIN_READABLE_MANGA,获取漫画免费阅读或下载入口,用户想要一个可打开、在线阅读、下载或进入某漫画平台/App的入口，通常带免费、完整版、下拉式、官网等约束。,2800,12.852,1137,11.384,10.776,12.021,13.07,1647,16.478,15.764,17.218,17.739,4,0.471,0.183,1.204,0.212,12,1.259,0.722,2.188,1.257,38.47,0.8857,1.5388,55.69,1.2821,2.2274,1.59,0.0366,0.0636,4.26,0.098,0.1702,4,,,2026搜索,助手头部1k,16.008,35.02,4,2,12,11,查询免费漫画在线观看入口,48.5,是,0.12,拿到能直接阅读目标漫画或进入平台/App的链接或安装入口后，用户满足。
LOOK_UP_DEFINITION,查询词语或概念的含义,用户想要某个普通词语、俗语、缩写或概念的通俗解释。,2680,12.301,1411,14.127,13.458,14.824,11.144,1197,11.976,11.354,12.627,10.341,32,3.765,2.679,5.266,3.733,40,4.197,3.097,5.665,4.023,41.47,1.1484,1.6588,35.16,0.9735,1.4063,11.05,0.306,0.4421,12.32,0.3412,0.4929,4,,,2025搜索,助手头部1k,10.362,3.75,2,3,5,6,再生成与调整回答,29.7,否,0.07,收到大白话解释清楚该词是什么后，用户满足。
OBTAIN_READY_TO_POST_COPY,获取现成可直接发布文案,用户想要一段已经写好的、可直接复制粘贴到朋友圈、聊天或祝福场合的文案、句子或语录。,2587,11.875,1201,12.024,11.401,12.677,14.368,981,9.815,9.247,10.414,9.342,267,31.412,28.381,34.61,24.911,138,14.481,12.389,16.857,20.369,17.75,1.0126,0.7101,14.49,0.8265,0.5796,46.38,2.6453,1.8551,21.38,1.2195,0.8552,4,,,助手头部1k,2026搜索,21.597,3.2,3,4,2,3,文案短句查询,59.1,否,0.08,收到贴合场合与对象、复制即可用的成段文字后，用户满足。
OBTAIN_PERSONAL_DECOR_IMAGE,获取个人装饰用图（头像/壁纸）,用户想要一张已经存在的、可直接保存并用于个人账号头像或设备壁纸的图片。,1316,6.041,630,6.308,5.847,6.801,9.664,668,6.683,6.21,7.19,9.456,13,1.529,0.896,2.599,1.411,5,0.525,0.224,1.222,0.503,41.92,1.0442,1.677,44.42,1.1064,1.7769,10.17,0.2532,0.4066,3.49,0.0869,0.1395,4,,,2026搜索,助手随机1k,6.159,12.74,5,5,7,18,头像图片查询,34.5,否,0.06,收到符合审美或热门风格的、可直接用作头像或壁纸的图片后，用户满足。
OBTAIN_DOCUMENT_TEMPLATE,获取可套用文书模板或范文,用户想要一份可下载、可填写或可提交的正式文书模板、范文或格式样本，如合同、证明、申请书、协议、红头文件等。,1025,4.705,571,5.717,5.278,6.189,5.148,441,4.412,4.027,4.833,4.007,5,0.588,0.252,1.37,0.438,8,0.839,0.426,1.648,0.754,49.47,1.2151,1.9787,38.18,0.9378,1.5271,5.09,0.125,0.2036,7.26,0.1784,0.2906,4,,,2025搜索,助手头部1k,5.129,9.72,6,7,11,14,办公文档与演示文稿模板查询,79.5,是,0.04,收到可直接填写或修改的模板/范文/格式后，用户满足。
CONTEXT_DEPENDENT_REVISION_OR_FOLLOWUP,依赖前文的修改或追问,查询缺少独立对象，只是对上一轮输出的修改要求或会话承接性追问，必须结合上文才能解释。,1007,4.622,193,1.932,1.68,2.221,1.973,192,1.921,1.67,2.209,3.039,377,44.353,41.046,47.711,53.339,245,25.708,23.035,28.577,24.644,2.61,0.418,0.1046,2.6,0.4156,0.104,60.01,9.5956,2.4002,34.78,5.5619,1.3912,4,,,助手头部1k,2026搜索,42.432,23.09,14,11,1,1,调整生成结果,30.8,否,0.03,结合上一轮输出执行修改、补充或回答后，用户满足。
OBTAIN_STORY_TEXT,获取故事或典故全文/梗概,用户想要某个已有故事、典故、寓言、人物事迹的完整叙述或简介。,824,3.782,389,3.895,3.533,4.292,3.29,422,4.222,3.845,4.634,3.549,1,0.118,0.021,0.663,0.077,12,1.259,0.722,2.188,1.006,41.02,1.0297,1.641,44.47,1.1163,1.7789,1.24,0.0311,0.0496,13.26,0.3329,0.5305,4,,,2026搜索,助手头部1k,4.104,35.89,7,8,14,11,查询故事内容,64.8,否,0.03,收到该故事或人物事迹的真实梗概、完整叙述后，用户满足。
OBTAIN_OCCASION_GREETING_IMAGE,获取应景问候图片,用户想要一组已经存在的、可直接保存发送的节日、早安/晚安或祝福场合配图。,810,3.718,334,3.344,3.009,3.715,5.975,469,4.692,4.295,5.125,7.893,2,0.235,0.065,0.854,0.104,5,0.525,0.224,1.222,0.419,38.02,0.8994,1.5206,53.34,1.2621,2.1338,2.67,0.0633,0.107,5.96,0.1411,0.2386,4,,,2026搜索,助手头部1k,4.457,19.94,8,6,13,18,早安问候图片查询,42.1,否,0.05,收到高清且匹配日期、节气或问候对象的可发送图片后，用户满足。
NAVIGATE_TO_SITE,进入指定网站或电子报刊页面,用户点名某个非漫画类网站、电子报刊、学术资源库或素材库，想要到达其入口或内容页面。,708,3.25,323,3.234,2.905,3.599,6.218,378,3.782,3.425,4.174,7.527,1,0.118,0.021,0.663,0.084,6,0.63,0.289,1.367,0.587,41.66,0.9951,1.6663,48.72,1.1637,1.9487,1.52,0.0362,0.0606,8.11,0.1937,0.3244,4,,,2026搜索,助手头部1k,3.664,32.15,9,9,14,15,再生成与调整回答,31.9,否,0.04,得到目标站点或页面的有效入口后，用户满足。
