key,类目,a,b,k_a,k_b,n_a,n_b,占比_a%,占比_b%,差_pp,低_pp,高_pp,显著,类型
0,术语定义查询,2025搜索,2026搜索,311,257,9988,9995,3.114,2.571,-0.542,-1.006,-0.081,True,共有
1,文字素材查询,2025搜索,2026搜索,1867,1616,9988,9995,18.692,16.168,-2.524,-3.576,-1.473,True,共有
11,术语含义查询,2025搜索,2026搜索,299,250,9988,9995,2.994,2.501,-0.492,-0.948,-0.039,True,共有
12,人口统计数据查询,2025搜索,2026搜索,221,178,9988,9995,2.213,1.781,-0.432,-0.823,-0.043,True,共有
13,按关键词查找图片,2025搜索,2026搜索,243,265,9988,9995,2.433,2.651,0.218,-0.219,0.657,False,共有
14,情侣头像查询,2025搜索,2026搜索,28,29,9988,9995,0.28,0.29,0.01,-0.143,0.163,False,共有
15,头像图片查询,2025搜索,2026搜索,235,226,9988,9995,2.353,2.261,-0.092,-0.51,0.326,False,共有
16,女生头像图片查询,2025搜索,2026搜索,196,198,9988,9995,1.962,1.981,0.019,-0.369,0.406,False,共有
17,查找漫画资源,2025搜索,2026搜索,422,631,9988,9995,4.225,6.313,2.088,1.47,2.709,True,共有
18,查询免费漫画在线观看入口,2025搜索,2026搜索,561,805,9988,9995,5.617,8.054,2.437,1.739,3.138,True,共有
19,漫画App官方下载入口查询,2025搜索,2026搜索,152,192,9988,9995,1.522,1.921,0.399,0.038,0.763,True,共有
20,再生成与调整回答,2025搜索,2026搜索,991,982,9988,9995,9.922,9.825,-0.097,-0.925,0.731,False,共有
21,角色扮演对话生成,2025搜索,2026搜索,54,80,9988,9995,0.541,0.8,0.26,0.033,0.492,True,共有
22,获取爆笑笑话与脑筋急转弯合集,2025搜索,2026搜索,91,81,9988,9995,0.911,0.81,-0.101,-0.36,0.157,False,共有
23,文书写法与模板查询,2025搜索,2026搜索,243,165,9988,9995,2.433,1.651,-0.782,-1.178,-0.391,True,共有
24,图片搜索,2025搜索,2026搜索,1244,1253,9988,9995,12.455,12.536,0.081,-0.836,0.999,False,共有
25,安全标志与安全生产信息查询,2025搜索,2026搜索,250,195,9988,9995,2.503,1.951,-0.552,-0.964,-0.143,True,共有
26,男生头像图片查询,2025搜索,2026搜索,103,120,9988,9995,1.031,1.201,0.169,-0.123,0.464,False,共有
3,查询特定主题图片,2025搜索,2026搜索,868,1111,9988,9995,8.69,11.116,2.425,1.598,3.254,True,共有
4,实用文书模板与心得体会范文查询,2025搜索,2026搜索,1410,1133,9988,9995,14.117,11.336,-2.781,-3.705,-1.858,True,共有
5,微信头像图片查询,2025搜索,2026搜索,199,228,9988,9995,1.992,2.281,0.289,-0.113,0.692,False,共有
0,术语定义查询,2025搜索,助手头部1k,311,15,9988,850,3.114,1.765,-1.349,-2.129,-0.177,True,共有
1,文字素材查询,2025搜索,助手头部1k,1867,294,9988,850,18.692,34.588,15.896,12.679,19.242,True,共有
11,术语含义查询,2025搜索,助手头部1k,299,6,9988,850,2.994,0.706,-2.288,-2.808,-1.404,True,共有
12,人口统计数据查询,2025搜索,助手头部1k,221,2,9988,850,2.213,0.235,-1.977,-2.329,-1.302,True,共有
13,按关键词查找图片,2025搜索,助手头部1k,243,0,9988,850,2.433,0.0,-2.433,-2.754,-1.901,True,a独有
14,情侣头像查询,2025搜索,助手头部1k,28,11,9988,850,0.28,1.294,1.014,0.43,2.026,True,共有
15,头像图片查询,2025搜索,助手头部1k,235,2,9988,850,2.353,0.235,-2.118,-2.477,-1.439,True,共有
16,女生头像图片查询,2025搜索,助手头部1k,196,5,9988,850,1.962,0.588,-1.374,-1.819,-0.553,True,共有
17,查找漫画资源,2025搜索,助手头部1k,422,5,9988,850,4.225,0.588,-3.637,-4.169,-2.769,True,共有
18,查询免费漫画在线观看入口,2025搜索,助手头部1k,561,1,9988,850,5.617,0.118,-5.499,-5.978,-4.801,True,共有
19,漫画App官方下载入口查询,2025搜索,助手头部1k,152,0,9988,850,1.522,0.0,-1.522,-1.781,-1.02,True,a独有
20,再生成与调整回答,2025搜索,助手头部1k,991,58,9988,850,9.922,6.824,-3.098,-4.722,-1.118,True,共有
21,角色扮演对话生成,2025搜索,助手头部1k,54,71,9988,850,0.541,8.353,7.812,6.126,9.869,True,共有
22,获取爆笑笑话与脑筋急转弯合集,2025搜索,助手头部1k,91,6,9988,850,0.911,0.706,-0.205,-0.639,0.637,False,共有
23,文书写法与模板查询,2025搜索,助手头部1k,243,14,9988,850,2.433,1.647,-0.786,-1.523,0.349,False,共有
24,图片搜索,2025搜索,助手头部1k,1244,41,9988,850,12.455,4.824,-7.631,-9.044,-5.86,True,共有
25,安全标志与安全生产信息查询,2025搜索,助手头部1k,250,0,9988,850,2.503,0.0,-2.503,-2.828,-1.968,True,a独有
26,男生头像图片查询,2025搜索,助手头部1k,103,0,9988,850,1.031,0.0,-1.031,-1.249,-0.547,True,a独有
3,查询特定主题图片,2025搜索,助手头部1k,868,7,9988,850,8.69,0.824,-7.867,-8.576,-6.848,True,共有
4,实用文书模板与心得体会范文查询,2025搜索,助手头部1k,1410,298,9988,850,14.117,35.059,20.942,17.731,24.278,True,共有
5,微信头像图片查询,2025搜索,助手头部1k,199,14,9988,850,1.992,1.647,-0.345,-1.071,0.783,False,共有
0,术语定义查询,2025搜索,助手随机1k,311,14,9988,953,3.114,1.469,-1.645,-2.337,-0.611,True,共有
1,文字素材查询,2025搜索,助手随机1k,1867,157,9988,953,18.692,16.474,-2.218,-4.57,0.382,False,共有
11,术语含义查询,2025搜索,助手随机1k,299,0,9988,953,2.994,0.0,-2.994,-3.346,-2.482,True,a独有
12,人口统计数据查询,2025搜索,助手随机1k,221,1,9988,953,2.213,0.105,-2.108,-2.427,-1.551,True,共有
13,按关键词查找图片,2025搜索,助手随机1k,243,7,9988,953,2.433,0.735,-1.698,-2.194,-0.874,True,共有
14,情侣头像查询,2025搜索,助手随机1k,28,3,9988,953,0.28,0.315,0.034,-0.208,0.647,False,共有
15,头像图片查询,2025搜索,助手随机1k,235,2,9988,953,2.353,0.21,-2.143,-2.494,-1.524,True,共有
16,女生头像图片查询,2025搜索,助手随机1k,196,10,9988,953,1.962,1.049,-0.913,-1.473,-0.005,True,共有
17,查找漫画资源,2025搜索,助手随机1k,422,3,9988,953,4.225,0.315,-3.91,-4.372,-3.196,True,共有
18,查询免费漫画在线观看入口,2025搜索,助手随机1k,561,0,9988,953,5.617,0.0,-5.617,-6.086,-5.025,True,a独有
19,漫画App官方下载入口查询,2025搜索,助手随机1k,152,0,9988,953,1.522,0.0,-1.522,-1.781,-1.063,True,a独有
20,再生成与调整回答,2025搜索,助手随机1k,991,58,9988,953,9.922,6.086,-3.836,-5.313,-2.041,True,共有
21,角色扮演对话生成,2025搜索,助手随机1k,54,579,9988,953,0.541,60.756,60.215,57.073,63.269,True,共有
22,获取爆笑笑话与脑筋急转弯合集,2025搜索,助手随机1k,91,5,9988,953,0.911,0.525,-0.386,-0.751,0.331,False,共有
23,文书写法与模板查询,2025搜索,助手随机1k,243,11,9988,953,2.433,1.154,-1.279,-1.88,-0.334,True,共有
24,图片搜索,2025搜索,助手随机1k,1244,21,9988,953,12.455,2.204,-10.251,-11.258,-8.946,True,共有
25,安全标志与安全生产信息查询,2025搜索,助手随机1k,250,1,9988,953,2.503,0.105,-2.398,-2.734,-1.832,True,共有
26,男生头像图片查询,2025搜索,助手随机1k,103,2,9988,953,1.031,0.21,-0.821,-1.087,-0.241,True,共有
3,查询特定主题图片,2025搜索,助手随机1k,868,14,9988,953,8.69,1.469,-7.221,-8.042,-6.103,True,共有
4,实用文书模板与心得体会范文查询,2025搜索,助手随机1k,1410,57,9988,953,14.117,5.981,-8.136,-9.643,-6.319,True,共有
5,微信头像图片查询,2025搜索,助手随机1k,199,8,9988,953,1.992,0.839,-1.153,-1.66,-0.305,True,共有
