key,类目,a,b,k_a,k_b,n_a,n_b,占比_a%,占比_b%,差_pp,低_pp,高_pp,显著,类型
COMPLETE_OR_INTERPRET_QUOTE,补全或解释给定句子,2025搜索,2026搜索,191,129,9988,9995,1.912,1.291,-0.622,-0.974,-0.274,True,共有
COMPOSE_OR_REVISE_TEXT_ON_DEMAND,现场生成或改写文字内容,2025搜索,2026搜索,72,80,9988,9995,0.721,0.8,0.08,-0.164,0.324,False,共有
CONTEXT_DEPENDENT_REVISION_OR_FOLLOWUP,依赖前文的修改或追问,2025搜索,2026搜索,193,192,9988,9995,1.932,1.921,-0.011,-0.394,0.371,False,共有
GENERATE_OR_EDIT_IMAGE,生成或修改图片,2025搜索,2026搜索,3,5,9988,9995,0.03,0.05,0.02,-0.045,0.09,False,共有
LEARN_HOW_TO_WRITE,学习某类文字怎么写,2025搜索,2026搜索,256,187,9988,9995,2.563,1.871,-0.692,-1.104,-0.284,True,共有
LOOK_UP_DEFINITION,查询词语或概念的含义,2025搜索,2026搜索,1411,1197,9988,9995,14.127,11.976,-2.151,-3.085,-1.217,True,共有
LOOK_UP_NUMERIC_OR_OFFICIAL_FACT,查询具体数字或年度主题,2025搜索,2026搜索,211,175,9988,9995,2.113,1.751,-0.362,-0.746,0.021,False,共有
LOOK_UP_OFFICIAL_POLICY_OR_COMPLIANCE_TEXT,查询官方政策法规或合规原文,2025搜索,2026搜索,312,229,9988,9995,3.124,2.291,-0.833,-1.286,-0.383,True,共有
NAVIGATE_TO_SITE,进入指定网站或电子报刊页面,2025搜索,2026搜索,323,378,9988,9995,3.234,3.782,0.548,0.038,1.06,True,共有
OBTAIN_ASSIGNED_WRITING_MATERIALS,获取单位或组织指定写作成稿,2025搜索,2026搜索,273,174,9988,9995,2.733,1.741,-0.992,-1.406,-0.584,True,共有
OBTAIN_DOCUMENT_TEMPLATE,获取可套用文书模板或范文,2025搜索,2026搜索,571,441,9988,9995,5.717,4.412,-1.305,-1.914,-0.697,True,共有
OBTAIN_OCCASION_GREETING_IMAGE,获取应景问候图片,2025搜索,2026搜索,334,469,9988,9995,3.344,4.692,1.348,0.805,1.895,True,共有
OBTAIN_PERSONAL_DECOR_IMAGE,获取个人装饰用图（头像/壁纸）,2025搜索,2026搜索,630,668,9988,9995,6.308,6.683,0.376,-0.308,1.06,False,共有
OBTAIN_READABLE_MANGA,获取漫画免费阅读或下载入口,2025搜索,2026搜索,1137,1647,9988,9995,11.384,16.478,5.095,4.137,6.052,True,共有
OBTAIN_READY_TO_POST_COPY,获取现成可直接发布文案,2025搜索,2026搜索,1201,981,9988,9995,12.024,9.815,-2.21,-3.075,-1.345,True,共有
OBTAIN_REFERENCE_IMAGE,获取说明性/参考图片,2025搜索,2026搜索,2317,2447,9988,9995,23.198,24.482,1.284,0.103,2.466,True,共有
OBTAIN_STORY_TEXT,获取故事或典故全文/梗概,2025搜索,2026搜索,389,422,9988,9995,3.895,4.222,0.327,-0.22,0.876,False,共有
REQUEST_EXPLICIT_OR_SEXUAL_CONTENT,索取露骨或性化内容,2025搜索,2026搜索,93,95,9988,9995,0.931,0.95,0.019,-0.251,0.29,False,共有
REQUEST_RESTRICTED_OR_HARMFUL_CONTENT,索取受限、欺骗性或有害内容,2025搜索,2026搜索,52,54,9988,9995,0.521,0.54,0.02,-0.185,0.225,False,共有
VENT_SEEK_EMPATHY,倾诉并寻求情绪支持,2025搜索,2026搜索,19,25,9988,9995,0.19,0.25,0.06,-0.074,0.197,False,共有
COMPLETE_OR_INTERPRET_QUOTE,补全或解释给定句子,2025搜索,助手头部1k,191,1,9988,850,1.912,0.118,-1.795,-2.098,-1.194,True,共有
COMPOSE_OR_REVISE_TEXT_ON_DEMAND,现场生成或改写文字内容,2025搜索,助手头部1k,72,6,9988,850,0.721,0.706,-0.015,-0.44,0.824,False,共有
CONTEXT_DEPENDENT_REVISION_OR_FOLLOWUP,依赖前文的修改或追问,2025搜索,助手头部1k,193,377,9988,850,1.932,44.353,42.421,39.101,45.788,True,共有
GENERATE_OR_EDIT_IMAGE,生成或修改图片,2025搜索,助手头部1k,3,47,9988,850,0.03,5.529,5.499,4.152,7.246,True,共有
LEARN_HOW_TO_WRITE,学习某类文字怎么写,2025搜索,助手头部1k,256,13,9988,850,2.563,1.529,-1.034,-1.747,0.075,False,共有
LOOK_UP_DEFINITION,查询词语或概念的含义,2025搜索,助手头部1k,1411,32,9988,850,14.127,3.765,-10.362,-11.652,-8.718,True,共有
LOOK_UP_NUMERIC_OR_OFFICIAL_FACT,查询具体数字或年度主题,2025搜索,助手头部1k,211,0,9988,850,2.113,0.0,-2.113,-2.414,-1.591,True,a独有
LOOK_UP_OFFICIAL_POLICY_OR_COMPLIANCE_TEXT,查询官方政策法规或合规原文,2025搜索,助手头部1k,312,0,9988,850,3.124,0.0,-3.124,-3.483,-2.57,True,a独有
NAVIGATE_TO_SITE,进入指定网站或电子报刊页面,2025搜索,助手头部1k,323,1,9988,850,3.234,0.118,-3.116,-3.494,-2.479,True,共有
OBTAIN_ASSIGNED_WRITING_MATERIALS,获取单位或组织指定写作成稿,2025搜索,助手头部1k,273,1,9988,850,2.733,0.118,-2.616,-2.968,-1.992,True,共有
OBTAIN_DOCUMENT_TEMPLATE,获取可套用文书模板或范文,2025搜索,助手头部1k,571,5,9988,850,5.717,0.588,-5.129,-5.709,-4.233,True,共有
OBTAIN_OCCASION_GREETING_IMAGE,获取应景问候图片,2025搜索,助手头部1k,334,2,9988,850,3.344,0.235,-3.109,-3.517,-2.405,True,共有
OBTAIN_PERSONAL_DECOR_IMAGE,获取个人装饰用图（头像/壁纸）,2025搜索,助手头部1k,630,13,9988,850,6.308,1.529,-4.778,-5.581,-3.614,True,共有
OBTAIN_READABLE_MANGA,获取漫画免费阅读或下载入口,2025搜索,助手头部1k,1137,4,9988,850,11.384,0.471,-10.913,-11.613,-9.961,True,共有
OBTAIN_READY_TO_POST_COPY,获取现成可直接发布文案,2025搜索,助手头部1k,1201,267,9988,850,12.024,31.412,19.387,16.287,22.646,True,共有
OBTAIN_REFERENCE_IMAGE,获取说明性/参考图片,2025搜索,助手头部1k,2317,42,9988,850,23.198,4.941,-18.257,-19.774,-16.397,True,共有
OBTAIN_STORY_TEXT,获取故事或典故全文/梗概,2025搜索,助手头部1k,389,1,9988,850,3.895,0.118,-3.777,-4.186,-3.122,True,共有
REQUEST_EXPLICIT_OR_SEXUAL_CONTENT,索取露骨或性化内容,2025搜索,助手头部1k,93,32,9988,850,0.931,3.765,2.834,1.728,4.345,True,共有
REQUEST_RESTRICTED_OR_HARMFUL_CONTENT,索取受限、欺骗性或有害内容,2025搜索,助手头部1k,52,0,9988,850,0.521,0.0,-0.521,-0.682,-0.054,True,a独有
VENT_SEEK_EMPATHY,倾诉并寻求情绪支持,2025搜索,助手头部1k,19,6,9988,850,0.19,0.706,0.516,0.119,1.344,True,共有
COMPLETE_OR_INTERPRET_QUOTE,补全或解释给定句子,2025搜索,助手随机1k,191,15,9988,953,1.912,1.574,-0.338,-1.02,0.699,False,共有
COMPOSE_OR_REVISE_TEXT_ON_DEMAND,现场生成或改写文字内容,2025搜索,助手随机1k,72,87,9988,953,0.721,9.129,8.408,6.73,10.41,True,共有
CONTEXT_DEPENDENT_REVISION_OR_FOLLOWUP,依赖前文的修改或追问,2025搜索,助手随机1k,193,245,9988,953,1.932,25.708,23.776,21.087,26.655,True,共有
GENERATE_OR_EDIT_IMAGE,生成或修改图片,2025搜索,助手随机1k,3,35,9988,953,0.03,3.673,3.643,2.621,5.035,True,共有
LEARN_HOW_TO_WRITE,学习某类文字怎么写,2025搜索,助手随机1k,256,6,9988,953,2.563,0.63,-1.933,-2.407,-1.141,True,共有
LOOK_UP_DEFINITION,查询词语或概念的含义,2025搜索,助手随机1k,1411,40,9988,953,14.127,4.197,-9.93,-11.232,-8.317,True,共有
LOOK_UP_NUMERIC_OR_OFFICIAL_FACT,查询具体数字或年度主题,2025搜索,助手随机1k,211,6,9988,953,2.113,0.63,-1.483,-1.938,-0.7,True,共有
LOOK_UP_OFFICIAL_POLICY_OR_COMPLIANCE_TEXT,查询官方政策法规或合规原文,2025搜索,助手随机1k,312,9,9988,953,3.124,0.944,-2.179,-2.753,-1.279,True,共有
NAVIGATE_TO_SITE,进入指定网站或电子报刊页面,2025搜索,助手随机1k,323,6,9988,953,3.234,0.63,-2.604,-3.104,-1.797,True,共有
OBTAIN_ASSIGNED_WRITING_MATERIALS,获取单位或组织指定写作成稿,2025搜索,助手随机1k,273,14,9988,953,2.733,1.469,-1.264,-1.946,-0.237,True,共有
OBTAIN_DOCUMENT_TEMPLATE,获取可套用文书模板或范文,2025搜索,助手随机1k,571,8,9988,953,5.717,0.839,-4.877,-5.505,-3.958,True,共有
OBTAIN_OCCASION_GREETING_IMAGE,获取应景问候图片,2025搜索,助手随机1k,334,5,9988,953,3.344,0.525,-2.819,-3.297,-2.045,True,共有
OBTAIN_PERSONAL_DECOR_IMAGE,获取个人装饰用图（头像/壁纸）,2025搜索,助手随机1k,630,5,9988,953,6.308,0.525,-5.783,-6.361,-4.947,True,共有
OBTAIN_READABLE_MANGA,获取漫画免费阅读或下载入口,2025搜索,助手随机1k,1137,12,9988,953,11.384,1.259,-10.124,-10.959,-9.014,True,共有
OBTAIN_READY_TO_POST_COPY,获取现成可直接发布文案,2025搜索,助手随机1k,1201,138,9988,953,12.024,14.481,2.456,0.265,4.913,True,共有
