层级,快照,n,类目数,前1条数,前1行占比%,前1流量占比%,前3条数,前3行占比%,前3流量占比%,前5条数,前5行占比%,前5流量占比%,前10条数,前10行占比%,前10流量占比%,流量有效n,单行最大流量%,前10之外类数,前10之外条数,前10之外行占比%,前10之外流量占比%,第10名条数,并列类数,并列需选,边界并列,前10流量占比%低,前10流量占比%高,前10流量摆动pp
自上而下 L1 意图,2025搜索,9988,20,2317,23.197837404885863,18.000332830855683,4929,49.34921906287545,43.51317509326535,6696,67.0404485382459,66.24655657397491,8625,86.35362434921906,88.9040009177084,765.803020705006,1.881496058539454,10,1363,13.64637565078094,11.095999082291598,312,1,1,False,88.9040009177084,88.9040009177084,0.0
自上而下 L1 意图,2026搜索,9995,20,2447,24.482241120560282,18.437817417684187,5291,52.93646823411706,46.518142904330226,6940,69.43471735867934,65.31642844017355,8879,88.83441720860431,89.77386614598421,862.9092837564148,1.7772571955524037,10,1116,11.165582791395693,10.226133854015785,229,1,1,False,89.77386614598421,89.77386614598421,0.0
自上而下 L1 意图,助手头部1k,850,17,377,44.35294117647059,53.338846565966215,691,81.29411764705883,83.39901286549217,765,90.0,92.25415302788767,835,98.23529411764706,98.96018193667688,292.21903610923124,2.787925600744706,7,15,1.764705882352942,1.0398180633231249,6,2,2,False,98.96018193667688,98.96018193667688,0.0
自上而下 L1 意图,助手随机1k,953,20,245,25.70828961175236,24.643755238893547,607,63.693599160545645,64.54316848281643,755,79.22350472193075,79.12824811399832,879,92.23504721930745,93.1265716680637,254.56072258987643,4.777870913663035,10,74,7.764952780692553,6.873428331936296,14,1,1,False,93.1265716680637,93.1265716680637,0.0
自上而下 L2 子意图,2025搜索,9988,59,893,8.94072887464958,7.209342529805327,2272,22.74729675610733,20.187871708246288,3329,33.32999599519423,28.26832629703054,5581,55.87705246295555,48.85381777995357,765.803020705006,1.881496058539454,49,4407,44.12294753704445,51.14618222004643,300,1,1,False,48.85381777995357,48.85381777995357,0.0
自上而下 L2 子意图,2026搜索,9995,59,884,8.844422211105552,8.51646090766943,2422,24.232116058029014,24.914237335140083,3775,37.76888444222111,35.72856271581583,5882,58.849424712356175,51.76660379847154,862.9092837564148,1.7772571955524037,49,4113,41.150575287643825,48.23339620152846,278,1,1,False,51.76660379847154,51.76660379847154,0.0
自上而下 L2 子意图,助手头部1k,850,33,212,24.941176470588236,33.96399677182038,389,45.76470588235294,50.288342766348435,549,64.58823529411765,69.13478279577566,746,87.76470588235294,89.26283951770408,292.21903610923124,2.787925600744706,23,104,12.235294117647058,10.73716048229592,32,1,1,False,89.26283951770408,89.26283951770408,0.0
自上而下 L2 子意图,助手随机1k,953,45,224,23.504721930745017,19.53059513830679,521,54.6694648478489,47.61106454316849,613,64.32318992654774,62.36378876781224,776,81.4270724029381,81.05616093880973,254.56072258987643,4.777870913663035,35,177,18.572927597061906,18.943839061190275,25,1,1,False,81.05616093880973,81.05616093880973,0.0
自下而上 家族,2025搜索,9988,21,1867,18.69243091710052,18.609930315559193,4521,45.26431718061674,42.59058734951925,6380,63.87665198237885,62.3383144863822,8223,82.32879455346416,78.94098391909948,765.803020705006,1.881496058539454,11,1765,17.671205446535836,21.05901608090052,250,1,1,False,78.94098391909948,78.94098391909948,0.0
自下而上 家族,2026搜索,9995,21,1616,16.16808404202101,14.035258798635011,4002,40.040020010005,35.84090250619757,6095,60.98049024512256,59.88156128070743,8303,83.07153576788394,79.72495070690081,862.9092837564148,1.7772571955524037,11,1692,16.928464232116056,20.275049293099187,250,1,1,False,79.72495070690081,79.72495070690081,0.0
自下而上 家族,助手头部1k,850,17,298,35.05882352941177,46.1856371194479,663,78.0,79.26230428636346,762,89.6470588235294,90.30297242299227,823,96.82352941176471,96.61397961293329,292.21903610923124,2.787925600744706,7,27,3.17647058823529,3.386020387066708,7,1,1,False,96.61397961293329,96.61397961293329,0.0
自下而上 家族,助手随机1k,953,18,579,60.75550891920252,54.400670578373855,794,83.31584470094438,83.65465213746857,872,91.50052465897167,92.45599329421626,929,97.4816369359916,97.82062028499583,254.56072258987643,4.777870913663035,8,24,2.5183630640083976,2.179379715004174,8,1,1,False,97.82062028499583,97.82062028499583,0.0
自下而上 叶,2025搜索,9988,30,1244,12.454945935122147,10.23490426265848,3336,33.40008009611534,32.37290627580045,4599,46.045254305166196,42.921479384682996,6693,67.01041249499399,61.02919055859036,765.803020705006,1.881496058539454,20,3295,32.989587505006014,38.97080944140964,299,1,1,False,61.02919055859036,61.02919055859036,0.0
自下而上 叶,2026搜索,9995,30,1253,12.536268134067033,9.199969336253906,3214,32.15607803901951,29.753810703225668,4650,46.523261630815405,43.98782017967603,6774,67.77388694347174,60.692854107081864,862.9092837564148,1.7772571955524037,20,3221,32.22611305652826,39.307145892918136,265,1,1,False,60.692854107081864,60.692854107081864,0.0
自下而上 叶,助手头部1k,850,24,285,33.529411764705884,44.69139715319895,574,67.52941176470588,69.28905535866271,675,79.41176470588235,80.40832903923875,779,91.6470588235294,92.14196434099904,292.21903610923124,2.787925600744706,14,71,8.352941176470594,7.8580356590009615,14,2,2,False,92.14196434099904,92.14196434099904,0.0
自下而上 叶,助手随机1k,953,26,579,60.75550891920252,54.400670578373855,768,80.58761804826862,80.63704945515506,824,86.46379853095488,87.51047778709138,885,92.86463798530954,92.79128248114,254.56072258987643,4.777870913663035,16,68,7.1353620146904575,7.208717518859999,10,3,1,True,92.79128248114,93.29421626152558,0.5029337803855753
