bucket,n,label,share
留存(两年都在),5076,获取说明性/参考图片,0.2699
留存(两年都在),5076,查询词语或概念的含义,0.1446
留存(两年都在),5076,获取现成可直接发布文案,0.1107
留存(两年都在),5076,获取漫画免费阅读或下载入口,0.0804
留存(两年都在),5076,获取个人装饰用图（头像/壁纸）,0.0794
留存(两年都在),5076,获取可套用文书模板或范文,0.0593
留存(两年都在),5076,获取故事或典故全文/梗概,0.0398
留存(两年都在),5076,获取应景问候图片,0.0384
留存(两年都在),5076,进入指定网站或电子报刊页面,0.0382
留存(两年都在),5076,学习某类文字怎么写,0.0274
留存(两年都在),5076,查询官方政策法规或合规原文,0.0211
留存(两年都在),5076,查询具体数字或年度主题,0.0211
留存(两年都在),5076,依赖前文的修改或追问,0.0207
留存(两年都在),5076,获取单位或组织指定写作成稿,0.0171
留存(两年都在),5076,补全或解释给定句子,0.0162
留存(两年都在),5076,现场生成或改写文字内容,0.0065
留存(两年都在),5076,索取露骨或性化内容,0.0065
留存(两年都在),5076,倾诉并寻求情绪支持,0.0014
留存(两年都在),5076,索取受限、欺骗性或有害内容,0.0008
留存(两年都在),5076,生成或修改图片,0.0006
掉榜(只在2025),4912,获取说明性/参考图片,0.1928
掉榜(只在2025),4912,获取漫画免费阅读或下载入口,0.1484
掉榜(只在2025),4912,查询词语或概念的含义,0.1378
掉榜(只在2025),4912,获取现成可直接发布文案,0.1301
掉榜(只在2025),4912,获取可套用文书模板或范文,0.055
掉榜(只在2025),4912,获取个人装饰用图（头像/壁纸）,0.0462
掉榜(只在2025),4912,查询官方政策法规或合规原文,0.0417
掉榜(只在2025),4912,获取故事或典故全文/梗概,0.0381
掉榜(只在2025),4912,获取单位或组织指定写作成稿,0.0379
掉榜(只在2025),4912,获取应景问候图片,0.0283
掉榜(只在2025),4912,进入指定网站或电子报刊页面,0.0263
掉榜(只在2025),4912,学习某类文字怎么写,0.0238
掉榜(只在2025),4912,补全或解释给定句子,0.0222
掉榜(只在2025),4912,查询具体数字或年度主题,0.0212
掉榜(只在2025),4912,依赖前文的修改或追问,0.0179
掉榜(只在2025),4912,索取露骨或性化内容,0.0122
掉榜(只在2025),4912,索取受限、欺骗性或有害内容,0.0098
掉榜(只在2025),4912,现场生成或改写文字内容,0.0079
掉榜(只在2025),4912,倾诉并寻求情绪支持,0.0024
新进(只在2026),4919,获取漫画免费阅读或下载入口,0.2519
新进(只在2026),4919,获取说明性/参考图片,0.2189
新进(只在2026),4919,查询词语或概念的含义,0.0941
新进(只在2026),4919,获取现成可直接发布文案,0.0852
新进(只在2026),4919,获取应景问候图片,0.0557
新进(只在2026),4919,获取个人装饰用图（头像/壁纸）,0.0539
新进(只在2026),4919,获取故事或典故全文/梗概,0.0447
新进(只在2026),4919,进入指定网站或电子报刊页面,0.0374
新进(只在2026),4919,获取可套用文书模板或范文,0.0285
新进(只在2026),4919,查询官方政策法规或合规原文,0.0248
新进(只在2026),4919,获取单位或组织指定写作成稿,0.0177
新进(只在2026),4919,依赖前文的修改或追问,0.0177
新进(只在2026),4919,查询具体数字或年度主题,0.0138
新进(只在2026),4919,索取露骨或性化内容,0.0126
新进(只在2026),4919,索取受限、欺骗性或有害内容,0.0102
新进(只在2026),4919,学习某类文字怎么写,0.0098
新进(只在2026),4919,补全或解释给定句子,0.0096
新进(只在2026),4919,现场生成或改写文字内容,0.0096
新进(只在2026),4919,倾诉并寻求情绪支持,0.0037
新进(只在2026),4919,生成或修改图片,0.0004
