bucket,n,label,share
助手行·在搜索里也出现,444,裸名人物身份识别,0.9054
助手行·在搜索里也出现,444,人物档案调阅,0.0293
助手行·在搜索里也出现,444,垂类外非人物查询,0.0225
助手行·在搜索里也出现,444,性化类目浏览或非具体人物浏览,0.0225
助手行·在搜索里也出现,444,公共职务现任者查询,0.009
助手行·在搜索里也出现,444,群体名单枚举,0.0068
助手行·在搜索里也出现,444,艺人平台热度数值查询,0.0023
助手行·在搜索里也出现,444,人物肖像图片获取,0.0023
助手行·搜索里没有,1395,垂类外非人物查询,0.1821
助手行·搜索里没有,1395,裸名人物身份识别,0.1369
助手行·搜索里没有,1395,人物近期事件状态查询,0.1176
助手行·搜索里没有,1395,群体名单枚举,0.0903
助手行·搜索里没有,1395,人物相关说法核实,0.0875
助手行·搜索里没有,1395,私人家世与感情关系查询,0.0832
助手行·搜索里没有,1395,人物单项属性查询,0.0767
助手行·搜索里没有,1395,人物档案调阅,0.0616
助手行·搜索里没有,1395,人事任免事件查询,0.048
助手行·搜索里没有,1395,作品角色反查人物,0.0323
助手行·搜索里没有,1395,公共职务现任者查询,0.0301
助手行·搜索里没有,1395,人物肖像图片获取,0.0158
助手行·搜索里没有,1395,人物相关梗与说法解释,0.0136
助手行·搜索里没有,1395,黑料绯闻炒作查询,0.0108
助手行·搜索里没有,1395,性化类目浏览或非具体人物浏览,0.0093
助手行·搜索里没有,1395,作品本体获取,0.0022
助手行·搜索里没有,1395,粉丝打榜投票入口,0.0007
助手行·搜索里没有,1395,跳转人物站外主页,0.0007
助手行·搜索里没有,1395,艺人平台热度数值查询,0.0007
