key,类目,搜索条数,搜索n,搜索占比%,助手条数,助手n,助手占比%,差_pp,低_pp,高_pp,显著,归属,另一边期望条数,另一边P(0),缺席判定,助手行占该类比例%
1,人物资料查询,12174,19965,60.977,496,1839,26.971,-34.006,-36.096,-31.822,True,两界面都有,,,,3.91
0,专名信息查询,1954,19965,9.787,70,1839,3.806,-5.981,-6.869,-4.925,True,两界面都有,,,,3.46
39,名称含义查询,785,19965,3.932,36,1839,1.958,-1.974,-2.582,-1.189,True,两界面都有,,,,4.38
50,人物角色资料查询,563,19965,2.82,22,1839,1.196,-1.624,-2.094,-0.976,True,两界面都有,,,,3.76
10,百度送花明星影响力查询,218,19965,1.092,2,1839,0.109,-0.983,-1.156,-0.666,True,两界面都有,,,,0.91
24,查询人物个人资料简历,206,19965,1.032,1,1839,0.054,-0.977,-1.134,-0.692,True,两界面都有,,,,0.48
35,肖战个人资料简介查询,145,19965,0.726,1,1839,0.054,-0.672,-0.807,-0.397,True,两界面都有,,,,0.68
32,人物个人简介查询,218,19965,1.092,8,1839,0.435,-0.657,-0.921,-0.215,True,两界面都有,,,,3.54
49,鞠婧祎资料与送花影响力查询,115,19965,0.576,1,1839,0.054,-0.522,-0.645,-0.251,True,两界面都有,,,,0.86
38,查询含“马”字人物信息,154,19965,0.771,5,1839,0.272,-0.499,-0.703,-0.119,True,两界面都有,,,,3.14
37,查询习近平个人资料与讲话,132,19965,0.661,3,1839,0.163,-0.498,-0.661,-0.166,True,两界面都有,,,,2.22
9,明星百度影响力查询,144,19965,0.721,5,1839,0.272,-0.449,-0.65,-0.071,True,两界面都有,,,,3.36
20,党委书记及常委任职查询,219,19965,1.097,12,1839,0.653,-0.444,-0.763,0.059,False,两界面都有,,,,5.19
21,省级党委书记任免查询,95,19965,0.476,1,1839,0.054,-0.421,-0.536,-0.154,True,两界面都有,,,,1.04
14,七一勋章获得者信息查询,89,19965,0.446,1,1839,0.054,-0.391,-0.503,-0.125,True,两界面都有,,,,1.11
26,查询中国中央党政军领导成员名单与职务,346,19965,1.733,26,1839,1.414,-0.319,-0.805,0.353,False,两界面都有,,,,6.99
16,查询鹿晗关晓彤近况与感情动态,62,19965,0.311,1,1839,0.054,-0.256,-0.354,0.006,False,两界面都有,,,,1.59
36,人物简历查询,169,19965,0.846,11,1839,0.598,-0.248,-0.546,0.236,False,两界面都有,,,,6.11
27,查询部长级官员任职信息,74,19965,0.371,3,1839,0.163,-0.208,-0.351,0.117,False,两界面都有,,,,3.9
48,查询女性人物资料,82,19965,0.411,5,1839,0.272,-0.139,-0.323,0.233,False,两界面都有,,,,5.75
46,查询人物配偶及亲属关系,105,19965,0.526,8,1839,0.435,-0.091,-0.332,0.34,False,两界面都有,,,,7.08
59,查询习近平总书记个人信息与讲话,17,19965,0.085,0,1839,0.0,-0.085,-0.136,0.126,False,仅搜索,1.57,0.2088,不可判定（样本量不足）,0.0
22,美女图片查询,107,19965,0.536,13,1839,0.707,0.171,-0.143,0.678,False,两界面都有,,,,10.83
25,官员职务及履历查询,128,19965,0.641,15,1839,0.816,0.175,-0.168,0.71,False,两界面都有,,,,10.49
28,领导班子成员名单查询,87,19965,0.436,13,1839,0.707,0.271,-0.039,0.777,False,两界面都有,,,,13.0
52,人名信息查询,377,19965,1.888,43,1839,2.338,0.45,-0.18,1.266,False,两界面都有,,,,10.24
51,查询女性人物及角色信息,119,19965,0.596,23,1839,1.251,0.655,0.223,1.281,True,两界面都有,,,,16.2
43,查询人物图片,154,19965,0.771,30,1839,1.631,0.86,0.356,1.557,True,两界面都有,,,,16.3
19,人物年龄及属性查询,69,19965,0.346,29,1839,1.577,1.231,0.746,1.914,True,两界面都有,,,,29.59
15,查询人物身份与归属信息,83,19965,0.416,51,1839,2.773,2.358,1.692,3.216,True,两界面都有,,,,38.06
34,查询对象身份,151,19965,0.756,84,1839,4.568,3.811,2.938,4.87,True,两界面都有,,,,35.74
18,查询个人背景与任职信息,46,19965,0.23,98,1839,5.329,5.099,4.159,6.223,True,两界面都有,,,,68.06
17,人物及机构基本信息查询,124,19965,0.621,125,1839,6.797,6.176,5.107,7.423,True,两界面都有,,,,50.2
45,查询明星娱乐八卦动态,214,19965,1.072,137,1839,7.45,6.378,5.254,7.676,True,两界面都有,,,,39.03
12,列举特定对象的重要成果与相关条目,26,19965,0.13,127,1839,6.906,6.776,5.703,8.027,True,两界面都有,,,,83.01
13,查询人物背景与个人生活,214,19965,1.072,333,1839,18.108,17.036,15.336,18.867,True,两界面都有,,,,60.88
