key,类目,搜索条数,搜索n,搜索占比%,助手条数,助手n,助手占比%,差_pp,低_pp,高_pp,显著,归属,另一边期望条数,另一边P(0),缺席判定,助手行占该类比例%
BARE_NAME_IDENTITY_LOOKUP__2,BARE_NAME_IDENTITY_LOOKUP__2,6136,19965,30.734,285,1839,15.498,-15.236,-16.944,-13.397,True,两界面都有,,,,4.44
BARE_NAME_IDENTITY_LOOKUP__3,BARE_NAME_IDENTITY_LOOKUP__3,3938,19965,19.725,183,1839,9.951,-9.773,-11.175,-8.221,True,两界面都有,,,,4.44
BIO_PROFILE_LOOKUP__1,BIO_PROFILE_LOOKUP__1,2547,19965,12.757,78,1839,4.241,-8.516,-9.469,-7.398,True,两界面都有,,,,2.97
BIO_PROFILE_LOOKUP__2,BIO_PROFILE_LOOKUP__2,1510,19965,7.563,21,1839,1.142,-6.421,-6.965,-5.724,True,两界面都有,,,,1.37
BARE_NAME_IDENTITY_LOOKUP__1,BARE_NAME_IDENTITY_LOOKUP__1,1791,19965,8.971,125,1839,6.797,-2.174,-3.31,-0.871,True,两界面都有,,,,6.52
ENTERTAINER_POPULARITY_METRIC_LOOKUP__1,ENTERTAINER_POPULARITY_METRIC_LOOKUP__1,247,19965,1.237,2,1839,0.109,-1.128,-1.309,-0.807,True,两界面都有,,,,0.8
PERSON_IMAGE_REQUEST__1,PERSON_IMAGE_REQUEST__1,192,19965,0.962,2,1839,0.109,-0.853,-1.018,-0.539,True,两界面都有,,,,1.03
OFFICE_HOLDER_LOOKUP__2,OFFICE_HOLDER_LOOKUP__2,241,19965,1.207,7,1839,0.381,-0.826,-1.08,-0.399,True,两界面都有,,,,2.82
FAN_ENGAGEMENT_ACTION__1,FAN_ENGAGEMENT_ACTION__1,146,19965,0.731,1,1839,0.054,-0.677,-0.813,-0.401,True,两界面都有,,,,0.68
NAVIGATE_TO_PERSON_PAGE__1,NAVIGATE_TO_PERSON_PAGE__1,120,19965,0.601,1,1839,0.054,-0.547,-0.672,-0.275,True,两界面都有,,,,0.83
PERSON_ATTRIBUTE_LOOKUP__2,PERSON_ATTRIBUTE_LOOKUP__2,82,19965,0.411,0,1839,0.0,-0.411,-0.509,-0.188,True,仅搜索,7.55,0.0005,真缺席,0.0
GROUP_ROSTER_ENUMERATION__3,GROUP_ROSTER_ENUMERATION__3,65,19965,0.326,0,1839,0.0,-0.326,-0.415,-0.106,True,仅搜索,5.99,0.0025,真缺席,0.0
PERSON_ATTRIBUTE_LOOKUP__1,PERSON_ATTRIBUTE_LOOKUP__1,79,19965,0.396,3,1839,0.163,-0.233,-0.378,0.092,False,两界面都有,,,,3.66
RELATIONSHIP_AND_FAMILY_STATUS__1,RELATIONSHIP_AND_FAMILY_STATUS__1,33,19965,0.165,0,1839,0.0,-0.165,-0.232,0.049,False,仅搜索,3.04,0.0477,偏少但证据弱,0.0
PERSON_RECENT_EVENT_LOOKUP__1,PERSON_RECENT_EVENT_LOOKUP__1,29,19965,0.145,1,1839,0.054,-0.091,-0.168,0.166,False,两界面都有,,,,3.33
WORK_CONTENT_RETRIEVAL__1,WORK_CONTENT_RETRIEVAL__1,39,19965,0.195,3,1839,0.163,-0.032,-0.161,0.288,False,两界面都有,,,,7.14
OUT_OF_DOMAIN_NON_PERSON__3,OUT_OF_DOMAIN_NON_PERSON__3,118,19965,0.591,11,1839,0.598,0.007,-0.281,0.487,False,两界面都有,,,,8.53
GROUP_ROSTER_ENUMERATION__1,GROUP_ROSTER_ENUMERATION__1,218,19965,1.092,23,1839,1.251,0.159,-0.285,0.792,False,两界面都有,,,,9.54
SEXUALIZED_BROWSE_NON_PERSON__1,SEXUALIZED_BROWSE_NON_PERSON__1,199,19965,0.997,23,1839,1.251,0.254,-0.187,0.886,False,两界面都有,,,,10.36
