key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,主导叶,主导叶占比%,体系内风险标注,架构师预估占比,user_need
BARE_NAME_IDENTITY_LOOKUP,裸名人物身份识别,用户只输入一个人名或人名变体（含错别字、同名、拉丁字母艺人名），未带任何意图标记，期待系统默认给出该实体是谁的一句话身份定位。,12458,57.136,6913,69.248,68.335,70.145,79.33,4952,49.609,48.629,50.59,59.934,486,54.668,51.383,57.913,57.267,107,11.263,9.407,13.432,22.795,37.47,1.212,1.499,26.85,0.8683,1.0739,29.58,0.9568,1.1834,6.1,0.1971,0.2438,4,,,2025搜索,助手随机1k,57.985,6.15,1,1,1,3,人物资料查询,70.2,否,0.55,收到该人物消歧后的一句话身份定位（职业/因何知名/人群归属）及最相关背景卡片，用户即满足；同名或多个指向时须先给出可核验实体。
BIO_PROFILE_LOOKUP,人物档案调阅,用户用「简介/个人资料/简历/履历/百科」等后缀索取该人物的结构化档案，属依法公开信息，不是风险类。,4156,19.061,1076,10.778,10.185,11.402,6.909,2981,29.864,28.974,30.769,23.109,48,5.399,4.096,7.086,5.758,51,5.368,4.107,6.99,5.241,20.97,0.5655,0.8386,58.09,1.5668,2.3236,10.5,0.2833,0.4201,10.44,0.2816,0.4177,4,,,2026搜索,助手随机1k,24.495,5.56,2,2,4,9,人物资料查询,79.2,否,0.105,收到与人物人群匹配的权威来源档案（官员为官方简历、艺人为公开资料、历史/虚构人物为辞书或参考作品，含生卒/籍贯/履历/代表作）即满足。
OUT_OF_DOMAIN_NON_PERSON,垂类外非人物查询,查询不指向任何可识别的人物，可能是非人实体、组织机构、平台、作品、制度名或语音噪音，无法填入人物意图类目。,1175,5.389,553,5.539,5.108,6.005,3.222,358,3.586,3.239,3.969,2.316,84,9.449,7.697,11.55,9.878,180,18.947,16.582,21.563,16.306,14.76,1.0279,0.5905,9.56,0.6655,0.3823,25.18,1.7534,1.0073,50.5,3.516,2.0199,4,,,助手随机1k,2026搜索,15.361,5.28,3,3,2,1,专名信息查询,30.6,否,,系统正确识别其为非人物查询并重路由、降级或拒绝为人物结果，即满足。
GROUP_ROSTER_ENUMERATION,群体名单枚举,用户给出边界确定的群体（代表、领导班子、历任者、获奖者、团队成员），要求枚举全部成员或完整名单。,592,2.715,209,2.094,1.831,2.393,1.374,254,2.545,2.253,2.872,3.854,22,2.475,1.64,3.718,2.187,107,11.263,9.407,13.432,9.734,11.39,0.7711,0.4557,13.85,0.9372,0.5539,13.47,0.9115,0.5387,61.29,4.1483,2.4517,4,,,助手随机1k,2025搜索,9.17,5.38,5,4,7,3,查询中国中央党政军领导成员名单与职务,27.4,否,0.005,收到人数齐全、可逐一点名核对的完整名单即满足；如原命题含人数（十三人）须列满且可核对。
OFFICE_HOLDER_LOOKUP,公共职务现任者查询,用户提供公共职务/党内职务/机构领导职务（可带地区或机构），要求知道现任者姓名；或以人名问其当前具体任职。,541,2.481,305,3.055,2.735,3.411,2.219,190,1.903,1.653,2.191,1.476,12,1.35,0.774,2.344,0.876,34,3.579,2.572,4.96,2.995,30.9,1.2313,1.236,19.25,0.7671,0.77,13.65,0.544,0.5461,36.2,1.4424,1.4479,4,,,助手随机1k,助手头部1k,2.229,2.65,4,8,10,10,党委书记及常委任职查询,35.3,否,0.02,收到该职务现任者姓名或该人的当前任职及官方出处即满足；若正在发生任免事件，则优先给任免事件。
PERSON_ATTRIBUTE_LOOKUP,人物单项属性查询,用户只要求人物的一项原子事实（年龄、身高、籍贯、寿命或某项公开字段），答案是一个值而非全文档案。,456,2.091,155,1.553,1.328,1.814,0.652,194,1.943,1.691,2.233,1.398,28,3.15,2.188,4.514,2.907,79,8.316,6.723,10.244,7.238,10.38,0.7424,0.4151,12.99,0.9293,0.5196,21.05,1.506,0.8421,55.58,3.9763,2.2232,4,,,助手随机1k,2025搜索,6.763,5.36,7,7,6,6,人物年龄及属性查询,16.7,否,0.01,收到该单项事实的准确答案及计算基准或来源即满足；年龄须给日期基准，历史人物须给生卒年。
RELATIONSHIP_AND_FAMILY_STATUS,私人家世与感情关系查询,用户查某人的配偶/亲属/家世/感情现状，或追问两人现在是否还在一起；答案受当事人自行公开信息和合法公开信息限制。,381,1.747,168,1.683,1.448,1.954,0.917,97,0.972,0.797,1.184,0.472,47,5.287,3.999,6.96,4.381,69,7.263,5.779,9.091,6.073,11.07,0.9631,0.4427,6.39,0.5561,0.2556,34.77,3.0256,1.3909,47.77,4.1566,1.9108,4,,,助手随机1k,2026搜索,6.291,7.47,6,10,5,7,查询人物背景与个人生活,21.8,是,0.0071,仅就当事人已自行公开或合法公开的信息作答；对官员的亲属/家世猜测拒绝放大并限定来源；无权威公开信息时明说无法证实，即满足。
PERSON_RECENT_EVENT_LOOKUP,人物近期事件状态查询,用户想确认该人物刚刚发生了什么或当前处于什么状态（任免、逝世、病重、近况、舆情事件），答案强时效并须权威来源。,351,1.61,121,1.212,1.015,1.446,1.214,66,0.661,0.52,0.84,0.397,79,8.886,7.188,10.938,7.325,85,8.947,7.294,10.932,8.652,6.15,0.7529,0.246,3.36,0.4107,0.1342,45.09,5.5202,1.8037,45.4,5.5581,1.8161,4,,,助手随机1k,2026搜索,8.286,13.53,8,13,3,5,查询人物背景与个人生活,27.1,否,0.2,收到以最新权威来源为准的一两句事实性结论（何事、何时发生、来源）及事件要点，用户即满足；若该人近期无事件，则明说并回退到最新公开动态或裸名身份卡。
PERSON_IMAGE_REQUEST,人物肖像图片获取,用户主要为获取该人物的肖像图片、写真或高清图，或档案查询中图片是最终交付物。,315,1.445,77,0.771,0.618,0.963,0.372,215,2.154,1.887,2.458,1.465,7,0.787,0.382,1.616,1.553,16,1.684,1.039,2.718,1.331,14.29,0.5339,0.5717,39.91,1.4909,1.5964,14.59,0.545,0.5836,31.21,1.1658,1.2483,4,,,2026搜索,2025搜索,1.383,2.79,11,6,14,12,人物资料查询,53.3,否,0.005,收到该人物准确肖像图片集或在档案/新闻结果外附图片集即满足。
ENTERTAINER_POPULARITY_METRIC_LOOKUP,艺人平台热度数值查询,用户想查某艺人在指定平台（通常百度）的量化热度值、送花数或影响力分数，要的是数值阅读而不是操作入口。,249,1.142,0,0.0,0.0,0.038,0.0,247,2.474,2.188,2.798,1.933,1,0.112,0.02,0.634,0.047,1,0.105,0.019,0.594,0.083,0.0,0.0,0.0,91.91,2.1668,3.6765,4.18,0.0985,0.1671,3.91,0.0922,0.1564,3,2025搜索,,2026搜索,2025搜索,2.474,inf,19,5,16,17,明星百度影响力查询,57.4,否,0.01,收到该艺人在指定平台的热度/打榜数值及平台出处即满足。
