key,类目,a,b,k_a,k_b,n_a,n_b,占比_a%,占比_b%,差_pp,低_pp,高_pp,显著,类型
0,专名信息查询,2025搜索,2026搜索,1210,744,9983,9982,12.121,7.453,-4.667,-5.49,-3.846,True,共有
1,人物资料查询,2025搜索,2026搜索,5835,6339,9983,9982,58.449,63.504,5.055,3.702,6.405,True,共有
10,百度送花明星影响力查询,2025搜索,2026搜索,12,206,9983,9982,0.12,2.064,1.944,1.667,2.246,True,共有
12,列举特定对象的重要成果与相关条目,2025搜索,2026搜索,18,8,9983,9982,0.18,0.08,-0.1,-0.212,0.002,False,共有
13,查询人物背景与个人生活,2025搜索,2026搜索,145,69,9983,9982,1.452,0.691,-0.761,-1.054,-0.478,True,共有
14,七一勋章获得者信息查询,2025搜索,2026搜索,2,87,9983,9982,0.02,0.872,0.852,0.679,1.054,True,共有
15,查询人物身份与归属信息,2025搜索,2026搜索,52,31,9983,9982,0.521,0.311,-0.21,-0.396,-0.031,True,共有
16,查询鹿晗关晓彤近况与感情动态,2025搜索,2026搜索,56,6,9983,9982,0.561,0.06,-0.501,-0.671,-0.354,True,共有
17,人物及机构基本信息查询,2025搜索,2026搜索,81,43,9983,9982,0.811,0.431,-0.381,-0.606,-0.163,True,共有
18,查询个人背景与任职信息,2025搜索,2026搜索,25,21,9983,9982,0.25,0.21,-0.04,-0.18,0.097,False,共有
19,人物年龄及属性查询,2025搜索,2026搜索,29,40,9983,9982,0.29,0.401,0.11,-0.055,0.279,False,共有
20,党委书记及常委任职查询,2025搜索,2026搜索,153,66,9983,9982,1.533,0.661,-0.871,-1.167,-0.585,True,共有
21,省级党委书记任免查询,2025搜索,2026搜索,94,1,9983,9982,0.942,0.01,-0.932,-1.141,-0.754,True,共有
22,美女图片查询,2025搜索,2026搜索,56,51,9983,9982,0.561,0.511,-0.05,-0.257,0.155,False,共有
24,查询人物个人资料简历,2025搜索,2026搜索,72,134,9983,9982,0.721,1.342,0.621,0.342,0.908,True,共有
25,官员职务及履历查询,2025搜索,2026搜索,80,48,9983,9982,0.801,0.481,-0.32,-0.548,-0.099,True,共有
26,查询中国中央党政军领导成员名单与职务,2025搜索,2026搜索,156,190,9983,9982,1.563,1.903,0.341,-0.022,0.706,False,共有
27,查询部长级官员任职信息,2025搜索,2026搜索,38,36,9983,9982,0.381,0.361,-0.02,-0.193,0.152,False,共有
28,领导班子成员名单查询,2025搜索,2026搜索,44,43,9983,9982,0.441,0.431,-0.01,-0.197,0.177,False,共有
32,人物个人简介查询,2025搜索,2026搜索,77,141,9983,9982,0.771,1.413,0.641,0.354,0.935,True,共有
34,查询对象身份,2025搜索,2026搜索,92,59,9983,9982,0.922,0.591,-0.331,-0.576,-0.09,True,共有
35,肖战个人资料简介查询,2025搜索,2026搜索,14,131,9983,9982,0.14,1.312,1.172,0.946,1.421,True,共有
36,人物简历查询,2025搜索,2026搜索,70,99,9983,9982,0.701,0.992,0.291,0.036,0.55,True,共有
37,查询习近平个人资料与讲话,2025搜索,2026搜索,47,85,9983,9982,0.471,0.852,0.381,0.157,0.612,True,共有
38,查询含“马”字人物信息,2025搜索,2026搜索,104,50,9983,9982,1.042,0.501,-0.541,-0.791,-0.3,True,共有
39,名称含义查询,2025搜索,2026搜索,491,294,9983,9982,4.918,2.945,-1.973,-2.515,-1.436,True,共有
