key,类目,a,b,k_a,k_b,n_a,n_b,占比_a%,占比_b%,差_pp,低_pp,高_pp,显著,类型
BARE_NAME_IDENTITY_LOOKUP,裸名人物身份识别,2025搜索,2026搜索,6913,4952,9983,9982,69.248,49.609,-19.638,-20.968,-18.299,True,共有
BIO_PROFILE_LOOKUP,人物档案调阅,2025搜索,2026搜索,1076,2981,9983,9982,10.778,29.864,19.085,17.999,20.168,True,共有
CLAIM_VERIFICATION,人物相关说法核实,2025搜索,2026搜索,35,8,9983,9982,0.351,0.08,-0.27,-0.413,-0.145,True,共有
DEFAMATION_AND_SCANDAL,黑料绯闻炒作查询,2025搜索,2026搜索,11,2,9983,9982,0.11,0.02,-0.09,-0.178,-0.018,True,共有
ENTERTAINER_POPULARITY_METRIC_LOOKUP,艺人平台热度数值查询,2025搜索,2026搜索,0,247,9983,9982,0.0,2.474,2.474,2.185,2.798,True,b独有
FAN_ENGAGEMENT_ACTION,粉丝打榜投票入口,2025搜索,2026搜索,11,135,9983,9982,0.11,1.352,1.242,1.016,1.493,True,共有
GROUP_ROSTER_ENUMERATION,群体名单枚举,2025搜索,2026搜索,209,254,9983,9982,2.094,2.545,0.451,0.033,0.871,True,共有
MEME_OR_PHRASE_EXPLAINER,人物相关梗与说法解释,2025搜索,2026搜索,16,13,9983,9982,0.16,0.13,-0.03,-0.144,0.081,False,共有
NAVIGATE_TO_PERSON_PAGE,跳转人物站外主页,2025搜索,2026搜索,31,89,9983,9982,0.311,0.892,0.581,0.37,0.805,True,共有
OFFICE_HOLDER_LOOKUP,公共职务现任者查询,2025搜索,2026搜索,305,190,9983,9982,3.055,1.903,-1.152,-1.587,-0.722,True,共有
OUT_OF_DOMAIN_NON_PERSON,垂类外非人物查询,2025搜索,2026搜索,553,358,9983,9982,5.539,3.586,-1.953,-2.534,-1.376,True,共有
PERSONNEL_EVENT_LOOKUP,人事任免事件查询,2025搜索,2026搜索,114,39,9983,9982,1.142,0.391,-0.751,-1.002,-0.513,True,共有
PERSON_ATTRIBUTE_LOOKUP,人物单项属性查询,2025搜索,2026搜索,155,194,9983,9982,1.553,1.943,0.391,0.027,0.758,True,共有
PERSON_IMAGE_REQUEST,人物肖像图片获取,2025搜索,2026搜索,77,215,9983,9982,0.771,2.154,1.383,1.054,1.723,True,共有
PERSON_RECENT_EVENT_LOOKUP,人物近期事件状态查询,2025搜索,2026搜索,121,66,9983,9982,1.212,0.661,-0.551,-0.824,-0.285,True,共有
RELATIONSHIP_AND_FAMILY_STATUS,私人家世与感情关系查询,2025搜索,2026搜索,168,97,9983,9982,1.683,0.972,-0.711,-1.034,-0.395,True,共有
REVERSE_PERSON_RESOLUTION,作品角色反查人物,2025搜索,2026搜索,58,34,9983,9982,0.581,0.341,-0.24,-0.435,-0.052,True,共有
SEXUALIZED_BROWSE_NON_PERSON,性化类目浏览或非具体人物浏览,2025搜索,2026搜索,105,94,9983,9982,1.052,0.942,-0.11,-0.389,0.167,False,共有
WORK_CONTENT_RETRIEVAL,作品本体获取,2025搜索,2026搜索,25,14,9983,9982,0.25,0.14,-0.11,-0.242,0.015,False,共有
BARE_NAME_IDENTITY_LOOKUP,裸名人物身份识别,2025搜索,助手头部1k,6913,486,9983,889,69.248,54.668,-14.58,-17.985,-11.208,True,共有
BIO_PROFILE_LOOKUP,人物档案调阅,2025搜索,助手头部1k,1076,48,9983,889,10.778,5.399,-5.379,-6.823,-3.591,True,共有
CLAIM_VERIFICATION,人物相关说法核实,2025搜索,助手头部1k,35,11,9983,889,0.351,1.237,0.887,0.325,1.856,True,共有
DEFAMATION_AND_SCANDAL,黑料绯闻炒作查询,2025搜索,助手头部1k,11,11,9983,889,0.11,1.237,1.127,0.575,2.093,True,共有
ENTERTAINER_POPULARITY_METRIC_LOOKUP,艺人平台热度数值查询,2025搜索,助手头部1k,0,1,9983,889,0.0,0.112,0.112,0.012,0.634,True,b独有
FAN_ENGAGEMENT_ACTION,粉丝打榜投票入口,2025搜索,助手头部1k,11,1,9983,889,0.11,0.112,0.002,-0.125,0.526,False,共有
GROUP_ROSTER_ENUMERATION,群体名单枚举,2025搜索,助手头部1k,209,22,9983,889,2.094,2.475,0.381,-0.506,1.652,False,共有
