td_l1_name,U01,U02,U03,U04,U05,U06,U07,U08,U09,U10,U11,U12,U13
人事任免事件查询,0,39,12,9,29,1,3,4,2,0,0,3,4
人物单项属性查询,0,4,192,64,6,0,2,12,1,0,0,6,14
人物档案调阅,4,3,11,3028,15,0,0,3,3,1,1,6,5
人物相关梗与说法解释,0,7,0,9,7,1,0,1,2,0,0,1,4
人物相关说法核实,0,0,28,11,68,0,4,9,0,1,0,8,1
人物肖像图片获取,0,0,1,156,0,0,0,1,71,1,0,3,5
人物近期事件状态查询,4,7,17,49,102,0,2,12,14,0,0,6,17
作品本体获取,0,5,0,0,1,0,0,0,9,0,0,2,0
作品角色反查人物,0,1,44,6,1,0,3,8,5,2,0,1,8
公共职务现任者查询,0,119,99,4,7,0,0,2,0,0,0,2,3
垂类外非人物查询,13,302,42,39,21,0,4,44,28,2,6,15,106
性化类目浏览或非具体人物浏览,0,44,1,0,1,0,0,2,21,1,1,28,18
私人家世与感情关系查询,0,6,84,66,25,1,2,8,2,0,0,12,7
粉丝打榜投票入口,94,0,2,0,17,3,0,0,5,0,0,0,15
群体名单枚举,5,36,32,21,13,0,0,265,3,0,0,2,6
艺人平台热度数值查询,7,0,168,37,3,1,1,6,0,0,0,0,26
裸名人物身份识别,10,5320,30,92,16,0,0,10,13,0,5,18,31
跳转人物站外主页,42,3,0,43,0,0,0,0,0,0,0,2,0
黑料绯闻炒作查询,0,0,1,0,8,0,0,1,2,1,0,4,0
