key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2025搜索随机1w_n,2025搜索随机1w_置信度均值,2025搜索随机1w_意图歧义%,2025搜索随机1w_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,2026搜索随机1w_n,2026搜索随机1w_置信度均值,2026搜索随机1w_意图歧义%,2026搜索随机1w_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,助手语音头部1k_n,助手语音头部1k_置信度均值,助手语音头部1k_意图歧义%,助手语音头部1k_聚类歧义%,助手语音随机1k_n,助手语音随机1k_置信度均值,助手语音随机1k_意图歧义%,助手语音随机1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
57,人物或事物属性与背景查询,440,67,0.5765,8.96,10.45,126,0.4141,7.94,7.14,30,0.6772,0.0,16.67,112,0.3463,10.71,0.89,19,0.3735,5.26,5.26,57,0.3892,17.54,5.26,2,0.8137,0.0,0.0,27,0.3531,7.41,3.7,2026搜索随机1w,0.3309,0.4326
51,人物姓名查询,299,49,0.5867,6.12,16.33,106,0.4554,5.66,8.49,35,0.5559,5.71,22.86,77,0.4311,10.39,10.39,10,0.3745,10.0,10.0,6,0.4696,0.0,0.0,5,0.6477,0.0,60.0,11,0.4614,18.18,9.09,2026搜索随机1w,0.1556,0.4835
54,老师信息查询,176,11,0.6802,0.0,18.18,59,0.5238,1.69,8.47,10,0.6378,0.0,20.0,61,0.4188,4.92,9.84,3,0.6504,0.0,0.0,22,0.3861,9.09,9.09,2,0.8884,0.0,0.0,8,0.5232,0.0,0.0,助手随机1k,0.1377,0.4927
72,查询人物身份及关系,792,92,0.6118,3.26,11.96,268,0.4821,7.84,11.57,81,0.5119,7.41,14.81,218,0.4863,5.96,10.09,36,0.4502,0.0,16.67,30,0.5385,0.0,23.33,17,0.6038,11.76,5.88,50,0.4407,4.0,6.0,助手语音随机1k,0.1711,0.5021
34,搜索美女图片,195,44,0.5342,6.82,4.55,38,0.4551,2.63,10.53,41,0.579,4.88,2.44,38,0.4509,13.16,7.89,7,0.555,14.29,28.57,3,0.4448,0.0,0.0,17,0.5438,11.76,11.76,7,0.4257,14.29,0.0,2026搜索随机1w,0.1281,0.5083
37,性感美女图片查询,66,14,0.6234,7.14,7.14,11,0.4908,9.09,18.18,8,0.5792,12.5,12.5,23,0.4491,8.7,17.39,4,0.5568,0.0,25.0,2,0.3893,0.0,0.0,3,0.5647,0.0,33.33,1,0.2627,0.0,0.0,2026搜索随机1w,,0.5159
11,高校人员信息查询,881,63,0.8255,1.59,58.73,345,0.5108,6.09,21.45,55,0.8207,0.0,56.36,384,0.5319,4.17,21.61,3,0.4227,0.0,66.67,20,0.3549,5.0,45.0,3,0.6338,0.0,33.33,8,0.4078,12.5,37.5,助手随机1k,0.4706,0.5575
44,主席相关信息查询,257,50,0.678,8.0,12.0,52,0.5181,7.69,5.77,57,0.6619,5.26,8.77,75,0.4394,8.0,13.33,2,0.6476,0.0,0.0,7,0.6244,0.0,0.0,4,0.6777,0.0,25.0,10,0.4555,0.0,20.0,2026搜索随机1w,0.2386,0.5621
58,领导信息查询,249,22,0.7524,0.0,18.18,80,0.5337,1.25,31.25,26,0.6968,3.85,23.08,102,0.5348,3.92,26.47,0,,,,7,0.3618,0.0,14.29,4,0.7345,0.0,0.0,8,0.5115,0.0,25.0,2025搜索随机1w,0.2187,0.5682
43,人物时间节点查询,205,48,0.7895,4.17,6.25,48,0.3756,12.5,4.17,36,0.7787,2.78,0.0,46,0.4374,10.87,8.7,8,0.6846,0.0,12.5,4,0.3463,0.0,0.0,8,0.8677,0.0,0.0,7,0.5055,0.0,0.0,2025搜索随机1w,0.4139,0.5923
