快照,层级,n,类目数,有效类目数,熵,HHI,首位类目,首位占比%,前3占比%,前5占比%,前10占比%,前10流量占比%,前10流量摆动pp,前10流量占比%低,前10流量占比%高,流量有效n
2025搜索,自上而下 L1 意图,9983,19,3.54,1.2629,0.4669,裸名人物默认身份查询,66.45,87.87,93.27,98.71,98.5,0.0,98.5,98.5,79.1
2025搜索随机1w,自上而下 L1 意图,9999,21,8.86,2.1813,0.1595,裸名人物默认身份查询,31.94,56.89,74.6,94.88,92.73,0.0,92.73,92.73,244.0
2026搜索,自上而下 L1 意图,9982,19,4.46,1.4952,0.3206,裸名人物默认身份查询,48.24,84.11,93.27,99.13,99.37,0.0,99.37,99.37,518.6
2026搜索随机1w,自上而下 L1 意图,10000,19,8.64,2.1567,0.1653,裸名人物默认身份查询,32.7,58.07,76.89,94.83,88.53,0.0,88.53,88.53,19.9
助手头部1k,自上而下 L1 意图,889,17,5.45,1.6961,0.3186,裸名人物默认身份查询,52.87,76.27,85.15,96.4,97.06,0.0,97.06,97.06,222.1
助手随机1k,自上而下 L1 意图,950,16,11.93,2.4787,0.097,非人物类目浏览或不可解析查询,15.47,40.42,60.74,89.68,91.43,0.0,91.43,91.43,156.7
助手语音头部1k,自上而下 L1 意图,999,16,3.13,1.14,0.4892,裸名人物默认身份查询,66.57,89.69,93.49,98.8,98.61,0.0,98.61,98.61,456.0
助手语音随机1k,自上而下 L1 意图,1000,17,9.22,2.2212,0.1461,裸名人物默认身份查询,28.5,55.9,70.4,95.6,95.46,0.0,95.46,95.46,477.5
2025搜索,自上而下 L2 子意图,9983,49,11.5,2.4422,0.1521,BARE_NAME_DEFAULT_LOOKUP__1,30.68,59.7,74.23,87.43,90.99,0.0,90.99,90.99,79.1
2025搜索随机1w,自上而下 L2 子意图,9999,53,25.36,3.2333,0.063,BARE_NAME_DEFAULT_LOOKUP__5,15.5,35.75,45.17,63.45,61.78,0.0,61.78,61.78,244.0
2026搜索,自上而下 L2 子意图,9982,48,15.16,2.7186,0.1004,BARE_NAME_DEFAULT_LOOKUP__1,22.66,44.2,59.9,81.89,83.3,0.0,83.3,83.3,518.6
2026搜索随机1w,自上而下 L2 子意图,10000,51,24.11,3.1826,0.0701,BARE_NAME_DEFAULT_LOOKUP__5,18.12,36.96,48.25,66.09,70.61,0.0,70.61,70.61,19.9
助手头部1k,自上而下 L2 子意图,889,41,13.69,2.6169,0.1313,BARE_NAME_DEFAULT_LOOKUP__1,25.98,58.83,68.39,80.31,83.07,0.0,83.07,83.07,222.1
助手随机1k,自上而下 L2 子意图,950,44,27.13,3.3007,0.0551,OUT_OF_SCOPE_OR_UNPARSEABLE__1,15.16,31.47,42.53,58.74,52.58,0.0,52.58,52.58,156.7
助手语音头部1k,自上而下 L2 子意图,999,34,8.58,2.1498,0.1737,BARE_NAME_DEFAULT_LOOKUP__1,26.93,64.46,84.88,91.29,92.76,0.16,92.6,92.76,456.0
助手语音随机1k,自上而下 L2 子意图,1000,45,25.44,3.2364,0.0599,OUT_OF_SCOPE_OR_UNPARSEABLE__1,16.8,31.9,43.4,62.0,63.91,0.08,63.91,64.0,477.5
2025搜索,自下而上 家族,9983,37,4.94,1.5964,0.3914,人名查询,58.37,83.01,86.02,90.39,92.68,0.0,92.68,92.68,79.1
2025搜索随机1w,自下而上 家族,9999,36,8.36,2.124,0.2828,人物信息查询,50.34,69.35,74.18,82.33,87.29,0.0,87.29,87.29,244.0
2026搜索,自下而上 家族,9982,37,5.15,1.6392,0.3267,人名查询,40.93,84.75,88.27,92.46,94.0,0.0,94.0,94.0,518.6
2026搜索随机1w,自下而上 家族,10000,37,8.92,2.1879,0.275,人物信息查询,50.01,67.7,72.48,81.05,89.46,0.0,89.46,89.46,19.9
助手头部1k,自下而上 家族,889,32,4.53,1.5107,0.3605,人名查询,50.28,86.73,89.99,94.04,95.15,0.55,95.15,95.71,222.1
助手随机1k,自下而上 家族,950,36,6.65,1.8953,0.3724,人物信息查询,60.11,72.21,77.68,85.58,86.86,0.0,86.86,86.86,156.7
助手语音头部1k,自下而上 家族,999,30,3.81,1.3375,0.4915,人名查询,68.27,85.69,89.09,93.69,94.12,0.14,94.12,94.26,456.0
助手语音随机1k,自下而上 家族,1000,35,7.56,2.023,0.2818,人物信息查询,48.2,74.2,78.4,84.6,84.06,0.17,84.06,84.23,477.5
2025搜索,自下而上 叶,9983,37,4.94,1.5964,0.3914,人名查询,58.37,83.01,86.02,90.39,92.68,0.0,92.68,92.68,79.1
2025搜索随机1w,自下而上 叶,9999,36,8.36,2.124,0.2828,人物信息查询,50.34,69.35,74.18,82.33,87.29,0.0,87.29,87.29,244.0
2026搜索,自下而上 叶,9982,37,5.15,1.6392,0.3267,人名查询,40.93,84.75,88.27,92.46,94.0,0.0,94.0,94.0,518.6
2026搜索随机1w,自下而上 叶,10000,37,8.92,2.1879,0.275,人物信息查询,50.01,67.7,72.48,81.05,89.46,0.0,89.46,89.46,19.9
助手头部1k,自下而上 叶,889,32,4.53,1.5107,0.3605,人名查询,50.28,86.73,89.99,94.04,95.21,0.55,95.15,95.71,222.1
助手随机1k,自下而上 叶,950,36,6.65,1.8953,0.3724,人物信息查询,60.11,72.21,77.68,85.58,86.86,0.0,86.86,86.86,156.7
助手语音头部1k,自下而上 叶,999,30,3.81,1.3375,0.4915,人名查询,68.27,85.69,89.09,93.69,94.26,0.14,94.12,94.26,456.0
助手语音随机1k,自下而上 叶,1000,35,7.56,2.023,0.2818,人物信息查询,48.2,74.2,78.4,84.6,84.15,0.17,84.06,84.23,477.5
