key,类目,快照,该类该快照条数,可引条数,取法,query,pv_raw
0,人物信息查询,2025搜索,2204,2011,流量最高,陈小江,961536.0
0,人物信息查询,2025搜索,2204,2011,流量最高,叶辰萧初然,21572.0
0,人物信息查询,2025搜索,2204,2011,流量最高,新疆陈小江,19231.0
0,人物信息查询,2025搜索,2204,2011,随机,王劲松个人资料简介,471.0
0,人物信息查询,2025搜索,2204,2011,随机,侯静怡个人资料及简介,665.0
0,人物信息查询,2025搜索,2204,2011,随机,窦骁,1261.0
55,人名查询,2025搜索,5827,5761,流量最高,马兴瑞,502916.0
55,人名查询,2025搜索,5827,5761,流量最高,韦韬,170243.0
55,人名查询,2025搜索,5827,5761,流量最高,习近平,66375.0
55,人名查询,2025搜索,5827,5761,随机,大蛇,210.0
55,人名查询,2025搜索,5827,5761,随机,赵贞吉,400.0
55,人名查询,2025搜索,5827,5761,随机,田羽宁,215.0
1,搜索美女图片,2025搜索,44,4,流量最高,诗颖,817.0
1,搜索美女图片,2025搜索,44,4,流量最高,郭美美,337.0
1,搜索美女图片,2025搜索,44,4,流量最高,民国四大美男,262.0
1,搜索美女图片,2025搜索,44,4,随机,超级赛亚人,217.0
35,查询性感美女图片,2025搜索,14,2,流量最高,徐若晗,1072.0
35,查询性感美女图片,2025搜索,14,2,流量最高,赵飞燕,369.0
53,书记职务信息查询,2025搜索,66,1,流量最高,罗布泊,440.0
48,人物个人资料查询,2025搜索,256,256,流量最高,何猷君,9233.0
48,人物个人资料查询,2025搜索,256,256,流量最高,鹿晗个人资料,8903.0
48,人物个人资料查询,2025搜索,256,256,流量最高,王安宇个人资料,8601.0
48,人物个人资料查询,2025搜索,256,256,随机,王阳个人资料 简介,314.0
48,人物个人资料查询,2025搜索,256,256,随机,张信哲个人资料,304.0
48,人物个人资料查询,2025搜索,256,256,随机,章子怡个人资料,1267.0
44,中共中央领导机构及成员查询,2025搜索,63,30,流量最高,张又侠,9039.0
44,中共中央领导机构及成员查询,2025搜索,63,30,流量最高,周永康,8087.0
44,中共中央领导机构及成员查询,2025搜索,63,30,流量最高,政治局常委,3101.0
44,中共中央领导机构及成员查询,2025搜索,63,30,随机,彭真,1037.0
44,中共中央领导机构及成员查询,2025搜索,63,30,随机,李作成,587.0
44,中共中央领导机构及成员查询,2025搜索,63,30,随机,中央政治常委会成员七人,1840.0
21,高校人员信息查询,2025搜索,63,60,流量最高,何卫东,8656.0
21,高校人员信息查询,2025搜索,63,60,流量最高,大东南,4729.0
21,高校人员信息查询,2025搜索,63,60,流量最高,程潇,2637.0
21,高校人员信息查询,2025搜索,63,60,随机,农村小遥,342.0
21,高校人员信息查询,2025搜索,63,60,随机,伟涛,301.0
21,高校人员信息查询,2025搜索,63,60,随机,袁腾飞,328.0
6,人物简历查询,2025搜索,81,77,流量最高,马兴瑞简历,7149.0
6,人物简历查询,2025搜索,81,77,流量最高,李希,4880.0
6,人物简历查询,2025搜索,81,77,流量最高,习近平简历,3915.0
6,人物简历查询,2025搜索,81,77,随机,泰国女总统简历,473.0
6,人物简历查询,2025搜索,81,77,随机,林立果,416.0
6,人物简历查询,2025搜索,81,77,随机,李强简历,282.0
51,书记信息查询,2025搜索,66,9,流量最高,陈云,5040.0
51,书记信息查询,2025搜索,66,9,流量最高,李书磊,1896.0
51,书记信息查询,2025搜索,66,9,流量最高,谢春涛,958.0
51,书记信息查询,2025搜索,66,9,随机,郑板桥,617.0
51,书记信息查询,2025搜索,66,9,随机,南银法巴,235.0
51,书记信息查询,2025搜索,66,9,随机,李书福,841.0
8,个人简历查询,2025搜索,129,122,流量最高,高洪波个人简历,5815.0
8,个人简历查询,2025搜索,129,122,流量最高,佩通坦个人简历,3432.0
8,个人简历查询,2025搜索,129,122,流量最高,陈小春个人简历,2974.0
8,个人简历查询,2025搜索,129,122,随机,李白的个人简历,217.0
8,个人简历查询,2025搜索,129,122,随机,王维的个人简历,294.0
8,个人简历查询,2025搜索,129,122,随机,杨烁的个人简历,289.0
16,人物时间节点查询,2025搜索,48,46,流量最高,王青,4719.0
16,人物时间节点查询,2025搜索,48,46,流量最高,朱德,4370.0
16,人物时间节点查询,2025搜索,48,46,流量最高,江青,3999.0
16,人物时间节点查询,2025搜索,48,46,随机,加藤鹰,515.0
16,人物时间节点查询,2025搜索,48,46,随机,东条英机,627.0
16,人物时间节点查询,2025搜索,48,46,随机,郭碧婷,876.0
24,外文人名与专名背景查询,2025搜索,171,171,流量最高,gagaoolala,4556.0
24,外文人名与专名背景查询,2025搜索,171,171,流量最高,secret,3748.0
24,外文人名与专名背景查询,2025搜索,171,171,流量最高,沈佳润,3649.0
24,外文人名与专名背景查询,2025搜索,171,171,随机,MAMA,250.0
24,外文人名与专名背景查询,2025搜索,171,171,随机,superjunior,210.0
24,外文人名与专名背景查询,2025搜索,171,171,随机,billbill,329.0
50,查询地方党委书记及常委任职信息,2025搜索,43,3,流量最高,孟凡利,2849.0
50,查询地方党委书记及常委任职信息,2025搜索,43,3,流量最高,周斌,287.0
50,查询地方党委书记及常委任职信息,2025搜索,43,3,流量最高,盛蕾,263.0
2,人物厉害程度比较查询,2025搜索,62,62,流量最高,叶凡唐若雪,4177.0
2,人物厉害程度比较查询,2025搜索,62,62,流量最高,谭咏麟,2216.0
2,人物厉害程度比较查询,2025搜索,62,62,流量最高,黄文秀,1530.0
2,人物厉害程度比较查询,2025搜索,62,62,随机,朱雀,448.0
2,人物厉害程度比较查询,2025搜索,62,62,随机,桥本环奈,598.0
2,人物厉害程度比较查询,2025搜索,62,62,随机,唐三彩,318.0
25,人物及角色图片查询,2025搜索,129,124,流量最高,敖瑞鹏,4091.0
25,人物及角色图片查询,2025搜索,129,124,流量最高,哪吒图片,2893.0
25,人物及角色图片查询,2025搜索,129,124,流量最高,张萌,2671.0
25,人物及角色图片查询,2025搜索,129,124,随机,吴忠琼,325.0
25,人物及角色图片查询,2025搜索,129,124,随机,雪之下雪乃,238.0
25,人物及角色图片查询,2025搜索,129,124,随机,小樱小源,278.0
43,主席相关信息查询,2025搜索,50,6,流量最高,王刚,1351.0
43,主席相关信息查询,2025搜索,50,6,流量最高,碧橙数字杜鹏,624.0
43,主席相关信息查询,2025搜索,50,6,流量最高,陈伯达,580.0
43,主席相关信息查询,2025搜索,50,6,随机,老挝阿胜,220.0
43,主席相关信息查询,2025搜索,50,6,随机,韩美林,263.0
43,主席相关信息查询,2025搜索,50,6,随机,我是机灵姐,312.0
52,查询省级党委领导人任职信息,2025搜索,46,2,流量最高,唐登杰,573.0
52,查询省级党委领导人任职信息,2025搜索,46,2,流量最高,郝鹏辽宁,221.0
18,人物姓名查询,2025搜索,49,45,流量最高,孔子姓什么,3291.0
18,人物姓名查询,2025搜索,49,45,流量最高,池骋吴所谓,3249.0
18,人物姓名查询,2025搜索,49,45,流量最高,冰心,1432.0
18,人物姓名查询,2025搜索,49,45,随机,巴金原名叫什么名字,425.0
18,人物姓名查询,2025搜索,49,45,随机,老舍原名,278.0
18,人物姓名查询,2025搜索,49,45,随机,王进喜,480.0
14,人物关系查询,2025搜索,68,66,流量最高,金庸,3278.0
14,人物关系查询,2025搜索,68,66,流量最高,周文凯,3127.0
14,人物关系查询,2025搜索,68,66,流量最高,刘轩丞,2987.0
14,人物关系查询,2025搜索,68,66,随机,魏无羡,659.0
14,人物关系查询,2025搜索,68,66,随机,曾辉,1965.0
14,人物关系查询,2025搜索,68,66,随机,孙策和孙权是什么关系,280.0
31,名单查询,2025搜索,24,22,流量最高,白玉兰获奖名单,3130.0
31,名单查询,2025搜索,24,22,流量最高,聂磊,1539.0
