key,类目,搜索条数,搜索n,搜索占比%,助手条数,助手n,助手占比%,差_pp,低_pp,高_pp,显著,归属,另一边期望条数,另一边P(0),缺席判定,助手行占该类比例%
8,个人简历查询,784,39964,1.962,13,3838,0.339,-1.623,-1.822,-1.349,True,两界面都有,,,,1.63
48,人物个人资料查询,895,39964,2.24,24,3838,0.625,-1.614,-1.868,-1.28,True,两界面都有,,,,2.61
0,人物信息查询,16181,39964,40.489,1495,3838,38.953,-1.536,-3.141,0.089,False,两界面都有,,,,8.46
21,高校人员信息查询,847,39964,2.119,34,3838,0.886,-1.234,-1.524,-0.858,True,两界面都有,,,,3.86
6,人物简历查询,644,39964,1.611,32,3838,0.834,-0.778,-1.052,-0.417,True,两界面都有,,,,4.73
24,外文人名与专名背景查询,670,39964,1.677,43,3838,1.12,-0.556,-0.872,-0.152,True,两界面都有,,,,6.03
25,人物及角色图片查询,433,39964,1.083,24,3838,0.625,-0.458,-0.689,-0.14,True,两界面都有,,,,5.25
5,领导班子名单查询,283,39964,0.708,14,3838,0.365,-0.343,-0.515,-0.085,True,两界面都有,,,,4.71
31,名单查询,361,39964,0.903,22,3838,0.573,-0.33,-0.548,-0.024,True,两界面都有,,,,5.74
20,查询王橹杰个人资料,144,39964,0.36,2,3838,0.052,-0.308,-0.382,-0.16,True,两界面都有,,,,1.37
53,书记职务信息查询,255,39964,0.638,16,3838,0.417,-0.221,-0.402,0.048,False,两界面都有,,,,5.9
32,领导名单查询,117,39964,0.293,3,3838,0.078,-0.215,-0.292,-0.056,True,两界面都有,,,,2.5
42,查询机构职务负责人及人员信息,293,39964,0.733,20,3838,0.521,-0.212,-0.416,0.081,False,两界面都有,,,,6.39
14,人物关系查询,322,39964,0.806,23,3838,0.599,-0.206,-0.426,0.103,False,两界面都有,,,,6.67
33,人员名单查询,122,39964,0.305,4,3838,0.104,-0.201,-0.288,-0.03,True,两界面都有,,,,3.17
4,领导班子成员名单查询,151,39964,0.378,7,3838,0.182,-0.195,-0.31,0.006,False,两界面都有,,,,4.43
50,查询地方党委书记及常委任职信息,147,39964,0.368,8,3838,0.208,-0.159,-0.281,0.05,False,两界面都有,,,,5.16
52,查询省级党委领导人任职信息,114,39964,0.285,5,3838,0.13,-0.155,-0.249,0.026,False,两界面都有,,,,4.2
3,查询领导信息,230,39964,0.576,19,3838,0.495,-0.08,-0.275,0.205,False,两界面都有,,,,7.63
44,中共中央领导机构及成员查询,208,39964,0.52,17,3838,0.443,-0.078,-0.26,0.196,False,两界面都有,,,,7.56
11,个人简历与成就查询,96,39964,0.24,8,3838,0.208,-0.032,-0.147,0.175,False,两界面都有,,,,7.69
43,主席相关信息查询,234,39964,0.586,23,3838,0.599,0.014,-0.201,0.32,False,两界面都有,,,,8.95
12,人物照片查询#12,340,39964,0.851,35,3838,0.912,0.061,-0.211,0.425,False,两界面都有,,,,9.33
51,书记信息查询,360,39964,0.901,37,3838,0.964,0.063,-0.218,0.436,False,两界面都有,,,,9.32
2,人物厉害程度比较查询,271,39964,0.678,30,3838,0.782,0.104,-0.145,0.444,False,两界面都有,,,,9.97
27,负责人任职查询,224,39964,0.561,26,3838,0.677,0.117,-0.112,0.438,False,两界面都有,,,,10.4
35,查询性感美女图片,56,39964,0.14,10,3838,0.261,0.12,-0.006,0.341,False,两界面都有,,,,15.15
18,人物姓名查询,267,39964,0.668,32,3838,0.834,0.166,-0.091,0.515,False,两界面都有,,,,10.7
54,教师名单与简介查询,155,39964,0.388,22,3838,0.573,0.185,-0.02,0.484,False,两界面都有,,,,12.43
13,人物照片查询#13,142,39964,0.355,21,3838,0.547,0.192,-0.007,0.485,False,两界面都有,,,,12.88
16,人物时间节点查询,178,39964,0.445,27,3838,0.703,0.258,0.028,0.582,True,两界面都有,,,,13.17
15,解答原因类查询,290,39964,0.726,38,3838,0.99,0.264,-0.018,0.639,False,两界面都有,,,,11.59
1,搜索美女图片,161,39964,0.403,34,3838,0.886,0.483,0.223,0.837,True,两界面都有,,,,17.44
56,老师信息查询,141,39964,0.353,35,3838,0.912,0.559,0.296,0.917,True,两界面都有,,,,19.89
26,查询人物身份及关系,659,39964,1.649,133,3838,3.465,1.816,1.267,2.455,True,两界面都有,,,,16.79
17,查询人物或事物的属性与背景,335,39964,0.838,105,3838,2.736,1.898,1.417,2.469,True,两界面都有,,,,23.86
55,人名查询,12854,39964,32.164,1397,3838,36.399,4.235,2.659,5.837,True,两界面都有,,,,9.8
