key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2025搜索随机1w_条数,2025搜索随机1w_占比%,2025搜索随机1w_95CI低%,2025搜索随机1w_95CI高%,2025搜索随机1w_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,2026搜索随机1w_条数,2026搜索随机1w_占比%,2026搜索随机1w_95CI低%,2026搜索随机1w_95CI高%,2026搜索随机1w_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音头部1k_条数,助手语音头部1k_占比%,助手语音头部1k_95CI低%,助手语音头部1k_95CI高%,助手语音头部1k_流量占比%,助手语音随机1k_条数,助手语音随机1k_占比%,助手语音随机1k_95CI低%,助手语音随机1k_95CI高%,助手语音随机1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2025搜索随机1w_均衡归属%,2025搜索随机1w_指数,2025搜索随机1w_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,2026搜索随机1w_均衡归属%,2026搜索随机1w_指数,2026搜索随机1w_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音头部1k_均衡归属%,助手语音头部1k_指数,助手语音头部1k_均衡指数,助手语音随机1k_均衡归属%,助手语音随机1k_指数,助手语音随机1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2025搜索随机1w_排名,2026搜索_排名,2026搜索随机1w_排名,助手头部1k_排名,助手随机1k_排名,助手语音头部1k_排名,助手语音随机1k_排名,主导叶,主导叶占比%,体系内风险标注,架构师预估占比,user_need
BARE_NAME_DEFAULT_LOOKUP,裸名人物默认身份查询,查询串只有或几乎只有一个人名（可附带地名/机构名），无任何明确意图标记，用户要系统给出该人物当前的权威身份卡片。,19429,44.356,6634,66.453,65.521,67.373,77.83,3194,31.943,31.036,32.864,39.181,4815,48.237,47.257,49.218,58.788,3270,32.7,31.787,33.626,50.206,470,52.868,49.582,56.13,57.587,96,10.105,8.346,12.185,21.547,665,66.567,63.583,69.424,66.355,285,28.5,25.789,31.376,31.379,19.7,1.4982,1.5758,9.47,0.7201,0.7575,14.3,1.0875,1.1438,9.69,0.7372,0.7754,15.67,1.1919,1.2536,3.0,0.2278,0.2396,19.73,1.5007,1.5785,8.45,0.6425,0.6758,8,,,助手语音头部1k,助手随机1k,56.461,6.59,1,1,1,1,1,5,1,1,人名查询,65.9,否,,收到该人物的身份概况（是谁、当前身份/职务、最知名事迹或近期动态入口）即满足。
BIO_PROFILE_LOOKUP,人物简介履历资料查询,用户明确用简介、资料、简历、履历、经历、生平事迹等后缀或措辞，要求给出该人物完整的结构化生平资料或资料卡。,6214,14.187,1089,10.909,10.312,11.535,7.001,1120,11.201,10.598,11.834,10.12,2720,27.249,26.384,28.131,21.191,1110,11.1,10.499,11.731,9.212,49,5.512,4.194,7.212,5.88,57,6.0,4.66,7.695,5.657,21,2.102,1.379,3.192,1.786,48,4.8,3.639,6.307,4.211,13.83,0.7689,1.1064,14.2,0.7896,1.1361,34.55,1.9208,2.7639,14.07,0.7824,1.1259,6.99,0.3885,0.5591,7.61,0.4229,0.6086,2.67,0.1482,0.2132,6.09,0.3383,0.4869,8,,,2026搜索,助手语音头部1k,25.147,12.96,2,3,2,4,4,8,3,9,查询实体百科信息,61.6,否,0.105,收到来自权威信源的一段结构化履历资料（出生、教育、任职或演艺经历、主要成就）即满足。
OUT_OF_SCOPE_OR_UNPARSEABLE,非人物类目浏览或不可解析查询,查询不是对某个具体人物的信息需求，或属语音识别残留、乱输入、无法按意图归入上述任何类目。,5144,11.744,1049,10.508,9.921,11.125,6.673,1374,13.741,13.08,14.43,14.187,694,6.953,6.47,7.468,5.469,1349,13.49,12.834,14.174,8.893,147,16.535,14.238,19.12,15.061,147,15.474,13.313,17.912,14.393,210,21.021,18.608,23.656,22.65,174,17.4,15.176,19.873,18.662,9.13,0.8948,0.7302,11.94,1.1701,0.9549,6.04,0.592,0.4831,11.72,1.1487,0.9374,14.36,1.408,1.1491,13.44,1.3176,1.0753,18.26,1.79,1.4608,15.11,1.4816,1.2092,8,,,助手语音头部1k,2026搜索,14.069,3.02,3,2,4,2,2,1,2,2,查询实体百科信息,45.2,否,0.025,系统识别为拒识、澄清或安全提示，不以人物答案强行满足即满足。
POST_TENURE_AND_MOVE_RESOLUTION,职务任免与现职级别核查,用户围绕官方职务与人事任免进行“人↔职”双向查询，要求解析某职务的现任者，或某人的现任职务、级别、去向与任职公示。,3083,7.038,373,3.736,3.382,4.127,3.273,1048,10.481,9.896,11.097,4.865,197,1.974,1.719,2.265,1.531,1188,11.88,11.26,12.529,5.006,18,2.025,1.285,3.178,1.386,140,14.737,12.625,17.133,13.062,19,1.902,1.221,2.951,2.113,100,10.0,8.291,12.015,9.083,6.59,0.5308,0.5269,18.47,1.4891,1.4779,3.48,0.2804,0.2783,20.94,1.6879,1.6752,3.57,0.2877,0.2855,25.98,2.0938,2.078,3.35,0.2702,0.2682,17.63,1.4208,1.4101,8,,,助手随机1k,助手语音头部1k,12.835,7.75,4,4,6,3,9,2,4,3,查询实体百科信息,50.6,否,0.033,拿到当期有效的职务、级别、任命或去向信息，来源为官方任免文件或权威政务公开页；无权威发布时明确说明即满足。
PERSON_LIST_LOOKUP,人物名单与条件式人物列表查询,用户要一个完整、当期有效或按条件筛选的人物清单——领导班子、获奖者、机构人员、按出生/籍贯/排行等条件圈定的群体——而不是单个具体人物。,2060,4.703,155,1.553,1.328,1.814,0.956,723,7.231,6.739,7.755,4.122,220,2.204,1.934,2.511,3.476,772,7.72,7.213,8.26,5.605,17,1.912,1.197,3.041,2.165,97,10.211,8.443,12.299,8.486,16,1.602,0.988,2.586,1.623,60,6.0,4.69,7.647,5.202,4.04,0.3301,0.3232,18.81,1.5375,1.5052,5.73,0.4686,0.4588,20.09,1.6415,1.607,4.98,0.4066,0.3981,26.57,2.1711,2.1254,4.17,0.3406,0.3334,15.61,1.2758,1.249,8,,,助手随机1k,2025搜索,8.658,6.58,6,5,5,5,10,3,6,7,查询实体百科信息,36.8,否,0.017,收到完整、当期有效或符合筛选条件的列表即满足。
RELATION_AND_FAMILY_LOOKUP,亲属关系与家庭背景查询,用户询问真实人物的配偶、父母、子女、家世背景或两人关系，要求得到关系判定或家庭背景说明。,1637,3.737,166,1.663,1.43,1.933,0.948,602,6.021,5.571,6.504,4.85,95,0.952,0.779,1.162,0.473,542,5.42,4.993,5.881,2.474,61,6.862,5.379,8.716,5.328,97,10.211,8.443,12.299,8.652,3,0.3,0.102,0.879,0.562,71,7.1,5.667,8.861,6.441,4.32,0.4449,0.3453,15.63,1.611,1.2501,2.47,0.2547,0.1976,14.07,1.4503,1.1254,17.81,1.836,1.4248,26.5,2.7321,2.1201,0.78,0.0804,0.0624,18.43,1.8998,1.4743,8,,,助手随机1k,助手语音头部1k,9.91,34.0,5,6,8,6,3,3,12,5,查询实体百科信息,72.0,是,0.015,收到来自已合法公开信息的关系确认或家庭背景说明；官员主体的亲属信息只能复述权威公开来源，不得由系统补全即满足。
FICTIONAL_PLOT_SETTING_LOOKUP,虚构角色剧情与设定查询,查询对象是影视、动漫、游戏、小说等虚构角色或文学/历史形象，用户想弄清角色出处、剧情行为、剧中关系或设定。,1244,2.84,108,1.082,0.897,1.304,0.471,537,5.371,4.946,5.83,4.234,44,0.441,0.329,0.591,0.191,402,4.02,3.652,4.423,2.192,21,2.362,1.55,3.584,1.731,50,5.263,4.015,6.872,4.243,8,0.801,0.406,1.572,0.466,74,7.4,5.935,9.191,6.689,4.05,0.3809,0.3237,20.08,1.891,1.6068,1.65,0.1552,0.1319,15.03,1.4155,1.2027,8.83,0.8317,0.7067,19.68,1.8532,1.5747,2.99,0.282,0.2396,27.67,2.6056,2.214,8,,,助手语音随机1k,2026搜索,6.959,16.79,8,7,11,7,7,9,8,4,查询实体百科信息,67.0,否,0.02,收到对应作品内的剧情解释或设定说明并标明出处作品即满足。
SINGLE_ATTRIBUTE_FACTOID,人物单项属性事实查询,用户只问人物的一项具体事实属性——年龄、身高、生日、原名、籍贯、学历、出道或任职年份、身价资产等——要精确值而非完整简介。,1223,2.792,114,1.142,0.952,1.37,0.45,358,3.58,3.234,3.963,4.635,177,1.773,1.532,2.051,1.233,399,3.99,3.624,4.392,2.499,19,2.137,1.372,3.314,1.45,70,7.368,5.873,9.207,6.489,19,1.902,1.221,2.951,1.157,67,6.7,5.31,8.421,6.193,3.99,0.409,0.3195,12.52,1.2823,1.0017,6.2,0.6351,0.4961,13.95,1.429,1.1164,7.47,0.7655,0.598,25.77,2.639,2.0616,6.65,0.6812,0.5321,23.43,2.3996,1.8746,8,,,助手随机1k,2025搜索,6.226,6.45,7,8,7,8,8,6,4,6,查询实体百科信息,86.1,否,0.019,收到该属性的当前正确值及出处或计算时间即满足。
PLATFORM_DIRECTED_TASK,指定平台页面导航或平台互动,用户点名某个平台页面（百度百科/知乎/微博）或将实时平台互动（百度送花/打榜）作为目标，满足条件是跳转或完成动作，而非系统自行回答。,1094,2.498,61,0.611,0.476,0.784,0.676,69,0.69,0.546,0.872,0.893,861,8.626,8.091,9.192,6.65,88,0.88,0.715,1.083,9.009,7,0.787,0.382,1.616,0.48,6,0.632,0.29,1.371,0.499,1,0.1,0.018,0.565,0.048,1,0.1,0.018,0.564,0.083,4.92,0.2447,0.3934,5.55,0.2763,0.4443,69.42,3.4535,5.5533,7.08,0.3523,0.5666,6.34,0.3153,0.5069,5.08,0.2529,0.4066,0.81,0.0401,0.0644,0.8,0.04,0.0644,8,,,2026搜索,助手语音随机1k,8.526,86.26,11,14,3,13,12,15,14,16,查询实体百科信息,87.8,否,0.01,收到目标平台对应词条、主页、账号的直接入口或动作入口即满足。
REVERSE_ENTITY_RESOLUTION,由作品或角色反向解析人物,用户给出作品、角色、扮演关系、作者关系、奖项获得者或别名网名等非现任职务线索，要反查出对应的具体人物。,789,1.801,80,0.801,0.644,0.996,0.49,290,2.9,2.589,3.248,4.682,53,0.531,0.406,0.694,0.284,242,2.42,2.137,2.74,1.234,25,2.812,1.912,4.118,2.815,34,3.579,2.572,4.96,2.912,16,1.602,0.988,2.586,1.191,49,4.9,3.726,6.419,4.707,4.1,0.4449,0.328,14.84,1.6101,1.1871,2.72,0.2948,0.2173,12.38,1.3435,0.9905,14.39,1.5612,1.151,18.31,1.9869,1.4649,8.19,0.8891,0.6555,25.07,2.7203,2.0056,8,,,助手语音随机1k,2026搜索,4.369,9.23,10,9,10,9,6,10,6,8,查询实体百科信息,52.2,否,0.038,收到该线索上人物的姓名及身份确认（有歧义时消歧）即满足。
