key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2025搜索随机1w_条数,2025搜索随机1w_占比%,2025搜索随机1w_95CI低%,2025搜索随机1w_95CI高%,2025搜索随机1w_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,2026搜索随机1w_条数,2026搜索随机1w_占比%,2026搜索随机1w_95CI低%,2026搜索随机1w_95CI高%,2026搜索随机1w_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音头部1k_条数,助手语音头部1k_占比%,助手语音头部1k_95CI低%,助手语音头部1k_95CI高%,助手语音头部1k_流量占比%,助手语音随机1k_条数,助手语音随机1k_占比%,助手语音随机1k_95CI低%,助手语音随机1k_95CI高%,助手语音随机1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2025搜索随机1w_均衡归属%,2025搜索随机1w_指数,2025搜索随机1w_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,2026搜索随机1w_均衡归属%,2026搜索随机1w_指数,2026搜索随机1w_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音头部1k_均衡归属%,助手语音头部1k_指数,助手语音头部1k_均衡指数,助手语音随机1k_均衡归属%,助手语音随机1k_指数,助手语音随机1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2025搜索随机1w_排名,2026搜索_排名,2026搜索随机1w_排名,助手头部1k_排名,助手随机1k_排名,助手语音头部1k_排名,助手语音随机1k_排名,主导叶,主导叶占比%,代表串(流量最高，仅供辨识)
BARE_NAME_DEFAULT_LOOKUP__1,BARE_NAME_DEFAULT_LOOKUP__1,,7240,16.529,3063,30.682,29.785,31.594,47.329,727,7.271,6.778,7.796,10.971,2262,22.661,21.85,23.492,30.295,591,5.91,5.465,6.389,33.056,231,25.984,23.209,28.966,30.29,22,2.316,1.534,3.481,12.313,269,26.927,24.268,29.762,26.846,75,7.5,6.025,9.3,8.092,23.74,1.8563,1.8991,5.63,0.4399,0.45,17.53,1.371,1.4026,4.57,0.3576,0.3658,20.1,1.572,1.6083,1.79,0.1401,0.1433,20.83,1.6291,1.6666,5.8,0.4538,0.4642,8,,,2025搜索,助手随机1k,28.366,13.25,1,3,1,4,1,13,1,3,人名查询,83.6,秦博勇 / 陈小江 / 谭凯
OUT_OF_SCOPE_OR_UNPARSEABLE__1,OUT_OF_SCOPE_OR_UNPARSEABLE__1,,4761,10.869,907,9.085,8.537,9.665,5.871,1298,12.981,12.337,13.654,12.962,635,6.361,5.899,6.857,5.215,1271,12.71,12.071,13.377,8.38,145,16.31,14.028,18.883,14.936,144,15.158,13.018,17.578,14.143,193,19.319,16.991,21.883,21.065,168,16.8,14.611,19.243,17.836,8.36,0.8359,0.6685,11.94,1.1943,0.9552,5.85,0.5853,0.4681,11.69,1.1693,0.9352,15.0,1.5006,1.2001,13.94,1.3946,1.1153,17.77,1.7774,1.4215,15.45,1.5456,1.2361,8,,,助手语音头部1k,2026搜索,12.958,3.04,4,2,5,2,3,1,2,1,查询实体百科信息,48.7,帅气 / 洛谷 / 法国空姐
BARE_NAME_DEFAULT_LOOKUP__5,BARE_NAME_DEFAULT_LOOKUP__5,,4007,9.148,266,2.665,2.366,2.999,2.138,1550,15.502,14.805,16.224,7.569,242,2.424,2.14,2.745,1.65,1812,18.12,17.377,18.887,7.474,13,1.462,0.857,2.486,1.348,38,4.0,2.928,5.443,3.744,10,1.001,0.545,1.833,0.773,76,7.6,6.115,9.41,6.771,5.05,0.2913,0.4039,29.37,1.6945,2.3499,4.59,0.265,0.3675,34.34,1.9808,2.7468,2.77,0.1599,0.2217,7.58,0.4373,0.6064,1.9,0.1094,0.1517,14.4,0.8308,1.1521,8,,,2026搜索随机1w,助手语音头部1k,17.119,18.1,8,1,13,1,12,6,10,2,查询实体百科信息,68.0,鸿钧老祖 / 宁国府 / 包文婧 包贝尔
BARE_NAME_DEFAULT_LOOKUP__4,BARE_NAME_DEFAULT_LOOKUP__4,,3773,8.614,1458,14.605,13.926,15.311,13.758,417,4.17,3.796,4.58,5.685,1089,10.91,10.313,11.536,11.796,410,4.1,3.729,4.507,5.267,147,16.535,14.238,19.12,18.717,22,2.316,1.534,3.481,3.91,167,16.717,14.531,19.157,15.956,63,6.3,4.955,7.979,7.597,19.31,1.6955,1.5444,5.51,0.4842,0.441,14.42,1.2665,1.1537,5.42,0.476,0.4336,21.86,1.9197,1.7486,3.06,0.2688,0.2449,22.1,1.9407,1.7677,8.33,0.7314,0.6662,8,,,助手语音头部1k,助手随机1k,14.401,7.22,2,7,2,7,2,13,4,4,人名查询,76.5,景甜 / 杨帆 / 阿娇
BARE_NAME_DEFAULT_LOOKUP__2,BARE_NAME_DEFAULT_LOOKUP__2,,3376,7.707,1439,14.415,13.739,15.117,10.41,377,3.77,3.414,4.162,12.302,932,9.337,8.782,9.923,10.435,330,3.3,2.967,3.668,3.438,55,6.187,4.784,7.967,5.062,9,0.947,0.499,1.791,0.915,182,18.218,15.948,20.732,18.899,52,5.2,3.987,6.756,7.102,23.49,1.8702,1.8789,6.14,0.4892,0.4915,15.21,1.2114,1.217,5.38,0.4282,0.4301,10.08,0.8027,0.8064,1.54,0.1229,0.1235,29.68,2.3637,2.3747,8.47,0.6747,0.6778,8,,,助手语音头部1k,助手随机1k,17.271,19.23,3,8,4,8,4,30,3,5,人名查询,84.2,绿洲乐队 / 蔡奇 / 胡亥
BIO_PROFILE_LOOKUP__4,BIO_PROFILE_LOOKUP__4,,2116,4.831,543,5.439,5.011,5.902,3.418,265,2.65,2.353,2.984,3.138,1061,10.629,10.04,11.249,7.473,205,2.05,1.79,2.347,3.935,23,2.587,1.73,3.852,2.953,10,1.053,0.573,1.927,1.082,1,0.1,0.018,0.565,0.082,8,0.8,0.406,1.571,0.661,21.49,1.1259,1.7193,10.47,0.5486,0.8377,42.0,2.2003,3.3599,8.1,0.4244,0.648,10.22,0.5356,0.8178,4.16,0.2179,0.3327,0.4,0.0207,0.0316,3.16,0.1656,0.2529,8,,,2026搜索,助手语音头部1k,10.529,106.19,5,13,3,13,8,29,31,28,查询实体百科信息,69.3,因凡蒂诺个人简介 / 成毅个人资料图片 / 景甜个人简介
BIO_PROFILE_LOOKUP__2,BIO_PROFILE_LOOKUP__2,,2060,4.703,288,2.885,2.574,3.232,1.659,513,5.131,4.715,5.58,4.604,579,5.8,5.359,6.276,5.215,613,6.13,5.676,6.617,3.352,6,0.675,0.31,1.465,0.482,18,1.895,1.202,2.975,1.498,12,1.201,0.688,2.088,1.181,31,3.1,2.192,4.367,2.808,10.76,0.6134,0.8606,19.13,1.0909,1.5305,21.63,1.2334,1.7304,22.86,1.3034,1.8287,2.52,0.1435,0.2013,7.07,0.4029,0.5652,4.48,0.2554,0.3583,11.56,0.6592,0.9248,8,,,2026搜索随机1w,助手头部1k,5.455,9.08,7,4,6,3,22,18,8,10,个人简历查询,35.4,黄勇个人简历介绍 / 习近平简历 / 马頔简历个人资料简介
BIO_PROFILE_LOOKUP__1,BIO_PROFILE_LOOKUP__1,,1216,2.776,179,1.793,1.551,2.073,0.77,310,3.1,2.778,3.458,2.153,394,3.947,3.583,4.347,2.651,272,2.72,2.419,3.057,1.777,16,1.8,1.111,2.903,1.641,28,2.947,2.047,4.227,2.995,8,0.801,0.406,1.572,0.523,9,0.9,0.474,1.702,0.743,9.96,0.6459,0.7965,17.22,1.1168,1.3773,21.92,1.4218,1.7534,15.1,0.9798,1.2083,9.99,0.6483,0.7995,16.37,1.0617,1.3093,4.45,0.2885,0.3557,5.0,0.3242,0.3998,8,,,2026搜索,助手语音头部1k,3.146,4.93,9,9,8,10,10,9,13,27,查询实体百科信息,92.9,叶建春的背景和经历 / 孙宇晨的简介 / 自拟一位身为渡羽门的二师姐黄发少女详细介绍
PERSON_LIST_LOOKUP__1,PERSON_LIST_LOOKUP__1,,1079,2.463,77,0.771,0.618,0.963,0.5,424,4.24,3.863,4.653,1.837,74,0.741,0.591,0.93,0.768,443,4.43,4.044,4.851,2.014,4,0.45,0.175,1.151,0.255,32,3.368,2.396,4.716,2.912,2,0.2,0.055,0.727,0.163,23,2.3,1.537,3.428,2.147,4.67,0.3131,0.3739,25.7,1.7214,2.0558,4.49,0.3009,0.3594,26.85,1.7984,2.1477,2.73,0.1827,0.2181,20.41,1.3674,1.633,1.21,0.0813,0.0971,13.94,0.9337,1.115,8,,,2026搜索随机1w,助手语音头部1k,4.23,22.13,14,6,17,6,26,7,23,14,领导班子名单查询,25.4,禹城公安副局长一览表 / 公安局有几个副局长 / 正国级现任8人名单
POST_TENURE_AND_MOVE_RESOLUTION__6,POST_TENURE_AND_MOVE_RESOLUTION__6,,1058,2.415,26,0.26,0.178,0.381,0.108,429,4.29,3.91,4.705,1.41,7,0.07,0.034,0.145,0.03,538,5.38,4.955,5.84,2.262,2,0.225,0.062,0.817,0.11,18,1.895,1.202,2.975,1.498,2,0.2,0.055,0.727,0.101,36,3.6,2.612,4.944,3.138,1.64,0.1078,0.1309,26.95,1.7763,2.1559,0.44,0.029,0.0352,33.79,2.2274,2.7034,1.41,0.0931,0.113,11.9,0.7844,0.9521,1.26,0.0829,0.1006,22.61,1.4904,1.8089,8,,,2026搜索随机1w,2026搜索,5.31,76.72,27,5,41,5,33,18,23,9,查询实体百科信息,62.4,云南省公安厅网安总队夏鲲鹏 / 邵志华江西发改委 / 莱茵县县长
