key,类目,a,b,k_a,k_b,n_a,n_b,占比_a%,占比_b%,差_pp,低_pp,高_pp,显著,类型
ADULT_SEXUALIZED_IMAGE_BROWSE__1,ADULT_SEXUALIZED_IMAGE_BROWSE__1,2025搜索,2025搜索随机1w,16,9,9983,9999,0.16,0.09,-0.07,-0.179,0.031,False,共有
BARE_NAME_DEFAULT_LOOKUP__1,BARE_NAME_DEFAULT_LOOKUP__1,2025搜索,2025搜索随机1w,3063,727,9983,9999,30.682,7.271,-23.411,-24.448,-22.372,True,共有
BARE_NAME_DEFAULT_LOOKUP__2,BARE_NAME_DEFAULT_LOOKUP__2,2025搜索,2025搜索随机1w,1439,377,9983,9999,14.415,3.77,-10.644,-11.432,-9.864,True,共有
BARE_NAME_DEFAULT_LOOKUP__3,BARE_NAME_DEFAULT_LOOKUP__3,2025搜索,2025搜索随机1w,408,123,9983,9999,4.087,1.23,-2.857,-3.309,-2.417,True,共有
BARE_NAME_DEFAULT_LOOKUP__4,BARE_NAME_DEFAULT_LOOKUP__4,2025搜索,2025搜索随机1w,1458,417,9983,9999,14.605,4.17,-10.434,-11.234,-9.641,True,共有
BARE_NAME_DEFAULT_LOOKUP__5,BARE_NAME_DEFAULT_LOOKUP__5,2025搜索,2025搜索随机1w,266,1550,9983,9999,2.665,15.502,12.837,12.065,13.619,True,共有
BIO_PROFILE_LOOKUP__1,BIO_PROFILE_LOOKUP__1,2025搜索,2025搜索随机1w,179,310,9983,9999,1.793,3.1,1.307,0.881,1.74,True,共有
BIO_PROFILE_LOOKUP__2,BIO_PROFILE_LOOKUP__2,2025搜索,2025搜索随机1w,288,513,9983,9999,2.885,5.131,2.246,1.704,2.792,True,共有
BIO_PROFILE_LOOKUP__3,BIO_PROFILE_LOOKUP__3,2025搜索,2025搜索随机1w,3,3,9983,9999,0.03,0.03,-0.0,-0.062,0.061,False,共有
BIO_PROFILE_LOOKUP__4,BIO_PROFILE_LOOKUP__4,2025搜索,2025搜索随机1w,543,265,9983,9999,5.439,2.65,-2.789,-3.338,-2.246,True,共有
BIO_PROFILE_LOOKUP__5,BIO_PROFILE_LOOKUP__5,2025搜索,2025搜索随机1w,76,29,9983,9999,0.761,0.29,-0.471,-0.681,-0.273,True,共有
BREAKING_NEWS_CONTEXTUALIZATION__1,BREAKING_NEWS_CONTEXTUALIZATION__1,2025搜索,2025搜索随机1w,7,4,9983,9999,0.07,0.04,-0.03,-0.109,0.042,False,共有
CAUSAL_EXPLANATION__1,CAUSAL_EXPLANATION__1,2025搜索,2025搜索随机1w,14,99,9983,9999,0.14,0.99,0.85,0.65,1.071,True,共有
CURRENT_STATUS_TRACKING__1,CURRENT_STATUS_TRACKING__1,2025搜索,2025搜索随机1w,10,12,9983,9999,0.1,0.12,0.02,-0.079,0.12,False,共有
DEATH_VERIFICATION__1,DEATH_VERIFICATION__1,2025搜索,2025搜索随机1w,1,3,9983,9999,0.01,0.03,0.02,-0.031,0.079,False,共有
EVALUATION_OPINION_LOOKUP__1,EVALUATION_OPINION_LOOKUP__1,2025搜索,2025搜索随机1w,14,124,9983,9999,0.14,1.24,1.1,0.879,1.343,True,共有
EVALUATION_OPINION_LOOKUP__2,EVALUATION_OPINION_LOOKUP__2,2025搜索,2025搜索随机1w,0,39,9983,9999,0.0,0.39,0.39,0.279,0.533,True,b独有
FICTIONAL_PLOT_SETTING_LOOKUP__1,FICTIONAL_PLOT_SETTING_LOOKUP__1,2025搜索,2025搜索随机1w,65,270,9983,9999,0.651,2.7,2.049,1.7,2.413,True,共有
FICTIONAL_PLOT_SETTING_LOOKUP__2,FICTIONAL_PLOT_SETTING_LOOKUP__2,2025搜索,2025搜索随机1w,43,267,9983,9999,0.431,2.67,2.24,1.906,2.592,True,共有
HARD_REFUSE_ILLICIT_IMAGERY_REQUEST__1,HARD_REFUSE_ILLICIT_IMAGERY_REQUEST__1,2025搜索,2025搜索随机1w,1,4,9983,9999,0.01,0.04,0.03,-0.023,0.093,False,共有
OFFICIAL_DOCUMENT_RETRIEVAL__1,OFFICIAL_DOCUMENT_RETRIEVAL__1,2025搜索,2025搜索随机1w,0,1,9983,9999,0.0,0.01,0.01,-0.029,0.057,False,b独有
OUT_OF_SCOPE_OR_UNPARSEABLE__1,OUT_OF_SCOPE_OR_UNPARSEABLE__1,2025搜索,2025搜索随机1w,907,1298,9983,9999,9.085,12.981,3.896,3.029,4.764,True,共有
