key,类目,快照,方向,该快照条数,该快照n,该快照占比%,其余快照合并占比%,最弱一对的区间端点pp,对比了几个快照
BARE_NAME_DEFAULT_LOOKUP,裸名人物默认身份查询,助手随机1k,显著低于其余全部,96,950,10.105,45.116,-14.977,7
OUT_OF_SCOPE_OR_UNPARSEABLE,非人物类目浏览或不可解析查询,2026搜索,显著低于其余全部,694,9982,6.953,13.158,-2.774,7
OUT_OF_SCOPE_OR_UNPARSEABLE,非人物类目浏览或不可解析查询,助手语音头部1k,显著高于其余全部,210,999,21.021,11.527,0.165,7
POST_TENURE_AND_MOVE_RESOLUTION,职务任免与现职级别核查,助手随机1k,显著高于其余全部,140,950,14.737,6.868,0.647,7
PLATFORM_DIRECTED_TASK,指定平台页面导航或平台互动,2026搜索,显著高于其余全部,861,9982,8.626,0.689,6.852,7
BIO_PROFILE_LOOKUP,人物简介履历资料查询,2026搜索,显著高于其余全部,2720,9982,27.249,10.331,14.976,7
BIO_PROFILE_LOOKUP,人物简介履历资料查询,助手语音头部1k,显著低于其余全部,21,999,2.102,14.469,-1.106,7
REVERSE_ENTITY_RESOLUTION,由作品或角色反向解析人物,2026搜索,显著低于其余全部,53,9982,0.531,2.176,-0.044,7
PERSON_LIST_LOOKUP,人物名单与条件式人物列表查询,助手随机1k,显著高于其余全部,97,950,10.211,4.581,0.642,7
RELATION_AND_FAMILY_LOOKUP,亲属关系与家庭背景查询,助手随机1k,显著高于其余全部,97,950,10.211,3.594,0.615,7
RELATION_AND_FAMILY_LOOKUP,亲属关系与家庭背景查询,助手语音头部1k,显著低于其余全部,3,999,0.3,3.817,-0.047,7
CURRENT_STATUS_TRACKING,已知人物近况追踪,助手随机1k,显著高于其余全部,12,950,1.263,0.105,0.238,7
CAUSAL_EXPLANATION,人物相关原因与解释查询,助手随机1k,显著高于其余全部,30,950,3.158,0.53,0.308,7
EVALUATION_OPINION_LOOKUP,人物评价与对比观点查询,助手随机1k,显著高于其余全部,64,950,6.737,0.924,1.363,7
SINGLE_ATTRIBUTE_FACTOID,人物单项属性事实查询,2025搜索,显著低于其余全部,114,9983,1.142,3.279,-0.042,7
PRIVATE_INDIVIDUAL_DATA_PROBE,特定个人敏感信息与素人核查,助手随机1k,显著高于其余全部,33,950,3.474,0.737,0.91,7
