层级,快照,名次,key,条数,行占比%,流量占比%
自上而下 L1 意图,2025搜索,1,BARE_NAME_DEFAULT_LOOKUP,6634,66.45297004908345,77.83046944812382
自上而下 L1 意图,2025搜索,2,BIO_PROFILE_LOOKUP,1089,10.90854452569368,7.000949856516914
自上而下 L1 意图,2025搜索,3,OUT_OF_SCOPE_OR_UNPARSEABLE,1049,10.507863367725133,6.672573759548168
自上而下 L1 意图,2025搜索,4,POST_TENURE_AND_MOVE_RESOLUTION,373,3.7363517980566963,3.272760516107126
自上而下 L1 意图,2025搜索,5,RELATION_AND_FAMILY_LOOKUP,166,1.6628268055694682,0.9476363340461025
自上而下 L1 意图,2025搜索,6,PERSON_LIST_LOOKUP,155,1.5526394871281177,0.9557133794146854
自上而下 L1 意图,2025搜索,7,SINGLE_ATTRIBUTE_FACTOID,114,1.1419413002103576,0.449983850932301
自上而下 L1 意图,2025搜索,8,FICTIONAL_PLOT_SETTING_LOOKUP,108,1.0818391265150755,0.4708696436204653
自上而下 L1 意图,2025搜索,9,PORTRAIT_IMAGE_REQUEST,86,0.861464489632375,0.413215211567856
自上而下 L1 意图,2025搜索,10,REVERSE_ENTITY_RESOLUTION,80,0.8013623159370931,0.48963571420319296
自上而下 L1 意图,2025搜索随机1w,1,BARE_NAME_DEFAULT_LOOKUP,3194,31.943194319431942,39.18144512536832
自上而下 L1 意图,2025搜索随机1w,2,OUT_OF_SCOPE_OR_UNPARSEABLE,1374,13.741374137413741,14.187320353598349
自上而下 L1 意图,2025搜索随机1w,3,BIO_PROFILE_LOOKUP,1120,11.201120112011202,10.1198546558924
自上而下 L1 意图,2025搜索随机1w,4,POST_TENURE_AND_MOVE_RESOLUTION,1048,10.481048104810482,4.864688974456315
自上而下 L1 意图,2025搜索随机1w,5,PERSON_LIST_LOOKUP,723,7.230723072307231,4.121698573675362
自上而下 L1 意图,2025搜索随机1w,6,RELATION_AND_FAMILY_LOOKUP,602,6.020602060206021,4.850226874197805
自上而下 L1 意图,2025搜索随机1w,7,FICTIONAL_PLOT_SETTING_LOOKUP,537,5.3705370537053705,4.233779850678814
自上而下 L1 意图,2025搜索随机1w,8,SINGLE_ATTRIBUTE_FACTOID,358,3.5803580358035805,4.635103132852468
自上而下 L1 意图,2025搜索随机1w,9,REVERSE_ENTITY_RESOLUTION,290,2.9002900290029,4.682104958692625
自上而下 L1 意图,2025搜索随机1w,10,PORTRAIT_IMAGE_REQUEST,241,2.4102410241024104,1.8511488330892851
自上而下 L1 意图,2026搜索,1,BARE_NAME_DEFAULT_LOOKUP,4815,48.23682628731717,58.78831744328644
自上而下 L1 意图,2026搜索,2,BIO_PROFILE_LOOKUP,2720,27.249048286916448,21.19114843839726
自上而下 L1 意图,2026搜索,3,PLATFORM_DIRECTED_TASK,861,8.625525946704068,6.649783572140093
自上而下 L1 意图,2026搜索,4,OUT_OF_SCOPE_OR_UNPARSEABLE,694,6.9525145261470644,5.469200235659327
自上而下 L1 意图,2026搜索,5,PERSON_LIST_LOOKUP,220,2.2039671408535364,3.4763861493363803
自上而下 L1 意图,2026搜索,6,POST_TENURE_AND_MOVE_RESOLUTION,197,1.9735523943097575,1.5306165708176573
自上而下 L1 意图,2026搜索,7,SINGLE_ATTRIBUTE_FACTOID,177,1.7731917451412542,1.233293226027663
自上而下 L1 意图,2026搜索,8,RELATION_AND_FAMILY_LOOKUP,95,0.9517130835503907,0.47314287887208284
自上而下 L1 意图,2026搜索,9,PORTRAIT_IMAGE_REQUEST,63,0.6311360448807855,0.2723622637786323
自上而下 L1 意图,2026搜索,10,REVERSE_ENTITY_RESOLUTION,53,0.5309557202965337,0.28388572732324974
自上而下 L1 意图,2026搜索随机1w,1,BARE_NAME_DEFAULT_LOOKUP,3270,32.7,50.20566026152618
自上而下 L1 意图,2026搜索随机1w,2,OUT_OF_SCOPE_OR_UNPARSEABLE,1349,13.49,8.892504143900792
自上而下 L1 意图,2026搜索随机1w,3,POST_TENURE_AND_MOVE_RESOLUTION,1188,11.88,5.006446067898581
自上而下 L1 意图,2026搜索随机1w,4,BIO_PROFILE_LOOKUP,1110,11.1,9.211737982687703
自上而下 L1 意图,2026搜索随机1w,5,PERSON_LIST_LOOKUP,772,7.72,5.605009515624041
自上而下 L1 意图,2026搜索随机1w,6,RELATION_AND_FAMILY_LOOKUP,542,5.42,2.4740622505985637
自上而下 L1 意图,2026搜索随机1w,7,FICTIONAL_PLOT_SETTING_LOOKUP,402,4.02,2.1916630855178343
自上而下 L1 意图,2026搜索随机1w,8,SINGLE_ATTRIBUTE_FACTOID,399,3.99,2.498618699736018
自上而下 L1 意图,2026搜索随机1w,9,REVERSE_ENTITY_RESOLUTION,242,2.42,1.2339615691571
自上而下 L1 意图,2026搜索随机1w,10,PORTRAIT_IMAGE_REQUEST,209,2.09,1.2063355638774633
自上而下 L1 意图,助手头部1k,1,BARE_NAME_DEFAULT_LOOKUP,470,52.86839145106862,57.58733895972542
自上而下 L1 意图,助手头部1k,2,OUT_OF_SCOPE_OR_UNPARSEABLE,147,16.53543307086614,15.060685447099203
自上而下 L1 意图,助手头部1k,3,RELATION_AND_FAMILY_LOOKUP,61,6.861642294713161,5.328215416756479
自上而下 L1 意图,助手头部1k,4,BIO_PROFILE_LOOKUP,49,5.511811023622047,5.879938982938436
自上而下 L1 意图,助手头部1k,5,EVALUATION_OPINION_LOOKUP,30,3.374578177727784,3.6560494768781813
自上而下 L1 意图,助手头部1k,6,REVERSE_ENTITY_RESOLUTION,25,2.81214848143982,2.8145777718824094
自上而下 L1 意图,助手头部1k,7,FICTIONAL_PLOT_SETTING_LOOKUP,21,2.3622047244094486,1.7314420255011522
自上而下 L1 意图,助手头部1k,8,SINGLE_ATTRIBUTE_FACTOID,19,2.137232845894263,1.4495697302316326
自上而下 L1 意图,助手头部1k,9,POST_TENURE_AND_MOVE_RESOLUTION,18,2.0247469066366706,1.3861484637959907
自上而下 L1 意图,助手头部1k,10,PERSON_LIST_LOOKUP,17,1.9122609673790776,2.165027938518678
自上而下 L1 意图,助手随机1k,1,OUT_OF_SCOPE_OR_UNPARSEABLE,147,15.473684210526315,14.39267886855241
自上而下 L1 意图,助手随机1k,2,POST_TENURE_AND_MOVE_RESOLUTION,140,14.736842105263158,13.061564059900165
自上而下 L1 意图,助手随机1k,3,PERSON_LIST_LOOKUP,97,10.210526315789474,8.48585690515807
自上而下 L1 意图,助手随机1k,4,RELATION_AND_FAMILY_LOOKUP,97,10.210526315789474,8.6522462562396
自上而下 L1 意图,助手随机1k,5,BARE_NAME_DEFAULT_LOOKUP,96,10.105263157894736,21.547420965058237
自上而下 L1 意图,助手随机1k,6,SINGLE_ATTRIBUTE_FACTOID,70,7.368421052631579,6.4891846921797
自上而下 L1 意图,助手随机1k,7,EVALUATION_OPINION_LOOKUP,64,6.7368421052631575,5.990016638935108
自上而下 L1 意图,助手随机1k,8,BIO_PROFILE_LOOKUP,57,6.0,5.657237936772047
自上而下 L1 意图,助手随机1k,9,FICTIONAL_PLOT_SETTING_LOOKUP,50,5.2631578947368425,4.242928452579035
自上而下 L1 意图,助手随机1k,10,REVERSE_ENTITY_RESOLUTION,34,3.5789473684210527,2.9118136439267883
自上而下 L1 意图,助手语音头部1k,1,BARE_NAME_DEFAULT_LOOKUP,665,66.56656656656656,66.354556803995
