key,类目,全语料条数,健康搜索周榜_n,健康搜索周榜_置信度均值,健康搜索周榜_意图歧义%,健康搜索周榜_聚类歧义%,健康AI管家周榜_n,健康AI管家周榜_置信度均值,健康AI管家周榜_意图歧义%,健康AI管家周榜_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
6,查询女性生殖健康与怀孕问题,208,200,0.6393,2.5,9.0,8,0.7547,0.0,12.5,健康搜索周榜,,0.6437
11,饮食宜忌与食疗建议查询,172,154,0.6507,3.9,11.69,18,0.7165,0.0,11.11,健康搜索周榜,,0.6576
7,查询健康医疗养生信息,61,59,0.6574,1.69,3.39,2,0.7021,0.0,0.0,健康搜索周榜,,0.6589
3,医疗资源查询与预约,91,86,0.6666,2.33,13.95,5,0.7325,0.0,0.0,健康搜索周榜,,0.6702
13,查询助听器价格、品牌与门店信息,48,44,0.6578,0.0,2.27,4,0.8408,0.0,0.0,健康搜索周榜,,0.6731
5,身体疼痛与不适查询,164,125,0.6606,0.8,10.4,39,0.8258,2.56,2.56,健康搜索周榜,0.1652,0.6999
0,心血管疾病症状与防治查询,86,75,0.7009,0.0,0.0,11,0.8305,0.0,9.09,健康搜索周榜,,0.7175
12,疾病症状与用药信息查询,279,260,0.7147,0.77,16.15,19,0.7881,5.26,10.53,健康搜索周榜,,0.7197
2,药品信息查询,218,207,0.7284,2.42,18.84,11,0.8378,9.09,18.18,健康搜索周榜,,0.7339
8,查询健康指标正常值与调理方法,133,119,0.7821,1.68,5.04,14,0.6989,7.14,0.0,健康搜索周榜,,0.7733
18,健康症状原因与就诊指引查询,168,78,0.7319,0.0,19.23,90,0.8649,0.0,10.0,健康搜索周榜,0.133,0.8032
15,查询医院正规性与基本信息,229,229,0.8267,0.44,3.93,0,,,,健康搜索周榜,,0.8267
14,在线医疗咨询查询,74,74,0.8893,0.0,6.76,0,,,,健康搜索周榜,,0.8893
17,查询物品功效作用,52,52,0.9263,0.0,0.0,0,,,,健康搜索周榜,,0.9263
16,功效与作用查询,300,300,0.9328,0.33,6.33,0,,,,健康搜索周榜,,0.9328
9,查询疾病症状,178,174,0.9545,1.72,3.45,4,0.5553,0.0,50.0,健康搜索周榜,,0.9456
