key,类目,全语料条数,健康搜索周榜_n,健康搜索周榜_置信度均值,健康搜索周榜_意图歧义%,健康搜索周榜_聚类歧义%,健康AI管家周榜_n,健康AI管家周榜_置信度均值,健康AI管家周榜_意图歧义%,健康AI管家周榜_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
ACUTE_INCIDENT_ACTION__1,ACUTE_INCIDENT_ACTION__1,14,14,0.5982,7.14,35.71,0,,,,,,0.5982
IMAGE_LOOKUP__1,IMAGE_LOOKUP__1,24,24,0.6019,4.17,12.5,0,,,,健康搜索周榜,,0.6019
NON_HEALTH_QUERY__1,NON_HEALTH_QUERY__1,224,215,0.6136,3.26,10.7,9,0.495,11.11,0.0,健康搜索周榜,,0.6089
DIET_PERMISSION_LOOKUP__1,DIET_PERMISSION_LOOKUP__1,31,30,0.6348,3.33,6.67,1,0.4219,0.0,100.0,健康搜索周榜,,0.6279
CLAIM_FACTCHECK__1,CLAIM_FACTCHECK__1,61,57,0.6187,3.51,12.28,4,0.7809,0.0,0.0,健康搜索周榜,,0.6294
TRANSMISSION_INQUIRY__1,TRANSMISSION_INQUIRY__1,22,21,0.6304,4.76,9.52,1,0.8178,0.0,0.0,健康搜索周榜,,0.6389
QUICK_REMEDY_SEEKING__1,QUICK_REMEDY_SEEKING__1,34,31,0.67,0.0,29.03,3,0.5807,33.33,0.0,健康搜索周榜,,0.6621
TREATMENT_SEEKING__1,TREATMENT_SEEKING__1,148,143,0.68,0.0,8.39,5,0.7264,0.0,20.0,健康搜索周榜,,0.6816
MEDICAL_TERM_INTERPRETATION__1,MEDICAL_TERM_INTERPRETATION__1,232,201,0.6889,1.0,11.94,31,0.6788,0.0,9.68,健康AI管家周榜,0.0101,0.6875
HOSPITAL_SELECTION__1,HOSPITAL_SELECTION__1,55,55,0.7077,0.0,10.91,0,,,,健康搜索周榜,,0.7077
PROGNOSIS_INQUIRY__1,PROGNOSIS_INQUIRY__1,52,49,0.727,0.0,12.24,3,0.6368,0.0,0.0,健康搜索周榜,,0.7218
FOOD_HERB_EFFICACY_LOOKUP__1,FOOD_HERB_EFFICACY_LOOKUP__1,76,76,0.7336,2.63,17.11,0,,,,健康搜索周榜,,0.7336
NORMALITY_REFERENCE_CHECK__1,NORMALITY_REFERENCE_CHECK__1,58,57,0.7432,1.75,12.28,1,0.882,0.0,0.0,健康搜索周榜,,0.7456
COST_INQUIRY__1,COST_INQUIRY__1,49,49,0.7478,0.0,12.24,0,,,,健康搜索周榜,,0.7478
SYMPTOM_CAUSE_SELF_CHECK__1,SYMPTOM_CAUSE_SELF_CHECK__1,136,121,0.7524,1.65,12.4,15,0.8674,6.67,0.0,健康搜索周榜,,0.7651
PROVIDER_NAVIGATION__1,PROVIDER_NAVIGATION__1,196,196,0.7906,2.04,6.12,0,,,,健康搜索周榜,,0.7906
SYMPTOM_CAUSE_SELF_CHECK__3,SYMPTOM_CAUSE_SELF_CHECK__3,142,69,0.7395,1.45,13.04,73,0.8664,1.37,16.44,健康搜索周榜,0.1269,0.8047
PROVIDER_LEGITIMACY_CHECK__1,PROVIDER_LEGITIMACY_CHECK__1,56,56,0.8146,0.0,0.0,0,,,,健康搜索周榜,,0.8146
DRUG_INFO_LOOKUP__1,DRUG_INFO_LOOKUP__1,210,199,0.8225,0.5,14.57,11,0.773,0.0,0.0,健康搜索周榜,,0.8199
CARE_SERVICE_ACCESS__1,CARE_SERVICE_ACCESS__1,85,85,0.8608,0.0,7.06,0,,,,健康搜索周榜,,0.8608
SYMPTOM_CAUSE_SELF_CHECK__2,SYMPTOM_CAUSE_SELF_CHECK__2,89,26,0.8639,0.0,11.54,63,0.8972,0.0,1.59,健康搜索周榜,0.0333,0.8875
DISEASE_SYMPTOM_LIST__1,DISEASE_SYMPTOM_LIST__1,214,209,0.9182,1.44,1.91,5,0.6867,0.0,40.0,健康搜索周榜,,0.9128
FOOD_HERB_EFFICACY_LOOKUP__2,FOOD_HERB_EFFICACY_LOOKUP__2,253,253,0.9576,0.0,0.79,0,,,,健康搜索周榜,,0.9576
