key,类目,快照,该类该快照条数,可引条数,取法,query,pv_raw
14,药品信息查询,健康搜索周榜,207,192,流量最高,成人bmi,2145956.0
14,药品信息查询,健康搜索周榜,207,192,流量最高,大片黄色的黄芪图片大全,467256.0
14,药品信息查询,健康搜索周榜,207,192,流量最高,黄精片,316174.0
14,药品信息查询,健康搜索周榜,207,192,随机,阿托伐他汀钙片,41874.0
14,药品信息查询,健康搜索周榜,207,192,随机,替尔泊肽用法,2592.0
14,药品信息查询,健康搜索周榜,207,192,随机,大柴胡汤,28672.0
12,查询医院正规性与基本信息,健康搜索周榜,229,191,流量最高,普瑞眼科医院,389786.0
12,查询医院正规性与基本信息,健康搜索周榜,229,191,流量最高,生修堂中医院,389714.0
12,查询医院正规性与基本信息,健康搜索周榜,229,191,流量最高,苏州苏城医院,262368.0
12,查询医院正规性与基本信息,健康搜索周榜,229,191,随机,上海江城皮肤病医院,48538.0
12,查询医院正规性与基本信息,健康搜索周榜,229,191,随机,谁到过长沙珂信肿瘤医院治病,2368.0
12,查询医院正规性与基本信息,健康搜索周榜,229,191,随机,江城皮肤科,34052.0
9,查询女性生殖健康与怀孕问题,健康搜索周榜,200,181,流量最高,试管婴儿那个医院成功率高,1093232.0
9,查询女性生殖健康与怀孕问题,健康搜索周榜,200,181,流量最高,不孕不育女性医院,374994.0
9,查询女性生殖健康与怀孕问题,健康搜索周榜,200,181,流量最高,女性的bmi大好还是小好,278200.0
9,查询女性生殖健康与怀孕问题,健康搜索周榜,200,181,随机,女子生完女婴腹中还有一胎,4232.0
9,查询女性生殖健康与怀孕问题,健康搜索周榜,200,181,随机,哪些心脏病不适合怀孕,44098.0
9,查询女性生殖健康与怀孕问题,健康搜索周榜,200,181,随机,"台州4岁女娃本去看感冒,不料背上的几块斑惊到了医生!小孩身上一旦超过六块“",2478.0
6,查询特定状况下的饮食宜忌与食疗建议,健康搜索周榜,154,141,流量最高,胆结石禁吃一览表,689226.0
6,查询特定状况下的饮食宜忌与食疗建议,健康搜索周榜,154,141,流量最高,冬虫夏草,211772.0
6,查询特定状况下的饮食宜忌与食疗建议,健康搜索周榜,154,141,流量最高,补肾吃什么东西效果最好,168294.0
6,查询特定状况下的饮食宜忌与食疗建议,健康搜索周榜,154,141,随机,裸睡提高睡眠质量吗,2714.0
6,查询特定状况下的饮食宜忌与食疗建议,健康搜索周榜,154,141,随机,晚睡晚起睡满8小时算不算熬夜,2374.0
6,查询特定状况下的饮食宜忌与食疗建议,健康搜索周榜,154,141,随机,肚子上的肉要什么减,2570.0
7,查询疾病症状与用药信息,健康搜索周榜,260,218,流量最高,私密有白斑是怎么回事,632344.0
7,查询疾病症状与用药信息,健康搜索周榜,260,218,流量最高,男性阴虱图片,621974.0
7,查询疾病症状与用药信息,健康搜索周榜,260,218,流量最高,脱发养护指南,330738.0
7,查询疾病症状与用药信息,健康搜索周榜,260,218,随机,三角洲骇爪屁股流出酸奶是癌症吗,8174.0
7,查询疾病症状与用药信息,健康搜索周榜,260,218,随机,灰指甲长什么样子,23626.0
7,查询疾病症状与用药信息,健康搜索周榜,260,218,随机,男人和女人在一起时间短怎么治,18008.0
15,医疗资源查询与预约,健康搜索周榜,86,75,流量最高,JXX,216916.0
15,医疗资源查询与预约,健康搜索周榜,86,75,流量最高,百度男科,87004.0
15,医疗资源查询与预约,健康搜索周榜,86,75,流量最高,人体五脏六腑图,83954.0
15,医疗资源查询与预约,健康搜索周榜,86,75,随机,B超时忍不住和医生做了,23032.0
15,医疗资源查询与预约,健康搜索周榜,86,75,随机,昆明男科,48010.0
15,医疗资源查询与预约,健康搜索周榜,86,75,随机,除颤仪多少钱一台,19608.0
5,健康症状查询,健康搜索周榜,78,74,流量最高,无创呼吸机,352854.0
5,健康症状查询,健康搜索周榜,78,74,流量最高,呼吸机一般多少钱一台,331800.0
5,健康症状查询,健康搜索周榜,78,74,流量最高,呼吸机,146924.0
5,健康症状查询,健康搜索周榜,78,74,随机,肺结核,24752.0
5,健康症状查询,健康搜索周榜,78,74,随机,牙龈肿痛,58664.0
5,健康症状查询,健康搜索周榜,78,74,随机,煤气中毒是一氧化碳还是二氧化碳,5224.0
11,查询健康医疗养生信息,健康搜索周榜,59,59,流量最高,中医养生科普,335804.0
11,查询健康医疗养生信息,健康搜索周榜,59,59,流量最高,调节心情,187964.0
11,查询健康医疗养生信息,健康搜索周榜,59,59,流量最高,流行病防护指南,133952.0
11,查询健康医疗养生信息,健康搜索周榜,59,59,随机,60岁一65岁老人做梦,15906.0
11,查询健康医疗养生信息,健康搜索周榜,59,59,随机,心理设备,17714.0
11,查询健康医疗养生信息,健康搜索周榜,59,59,随机,开春养生指南,8894.0
8,查询助听器价格、品牌与门店信息,健康搜索周榜,44,41,流量最高,自然之声助听器,319450.0
8,查询助听器价格、品牌与门店信息,健康搜索周榜,44,41,流量最高,自然之声门店地址,156456.0
8,查询助听器价格、品牌与门店信息,健康搜索周榜,44,41,流量最高,成人三级视功能恢复要多久,129436.0
8,查询助听器价格、品牌与门店信息,健康搜索周榜,44,41,随机,人工耳蜗多久能听懂,34904.0
8,查询助听器价格、品牌与门店信息,健康搜索周榜,44,41,随机,人工耳蜗价格,97866.0
8,查询助听器价格、品牌与门店信息,健康搜索周榜,44,41,随机,细胞培养,11396.0
0,查询健康指标正常值与调理方法,健康搜索周榜,119,113,流量最高,高血压防治指南,295334.0
0,查询健康指标正常值与调理方法,健康搜索周榜,119,113,流量最高,血糖高调理指南,260086.0
0,查询健康指标正常值与调理方法,健康搜索周榜,119,113,流量最高,肾病要做哪些检查,258212.0
0,查询健康指标正常值与调理方法,健康搜索周榜,119,113,随机,血脂偏高怎么降,17316.0
0,查询健康指标正常值与调理方法,健康搜索周榜,119,113,随机,血压多少正常,5102.0
0,查询健康指标正常值与调理方法,健康搜索周榜,119,113,随机,肝硬化,12540.0
10,在线医疗咨询查询,健康搜索周榜,74,41,流量最高,妇科询问,103740.0
10,在线医疗咨询查询,健康搜索周榜,74,41,流量最高,妇科医生,90952.0
10,在线医疗咨询查询,健康搜索周榜,74,41,流量最高,心理医生电话,78666.0
10,在线医疗咨询查询,健康搜索周榜,74,41,随机,男性健康咨询,27024.0
10,在线医疗咨询查询,健康搜索周榜,74,41,随机,男科咨询填写号码,63878.0
10,在线医疗咨询查询,健康搜索周榜,74,41,随机,男科咨询免费,7746.0
4,身体疼痛与不适查询,健康搜索周榜,125,114,流量最高,做完第一次第二天又疼又麻怎么办,226330.0
4,身体疼痛与不适查询,健康搜索周榜,125,114,流量最高,姿势性震颤,217086.0
4,身体疼痛与不适查询,健康搜索周榜,125,114,流量最高,健康减肥指南,179570.0
4,身体疼痛与不适查询,健康搜索周榜,125,114,随机,被男朋友按着下面夹了下面一直疼,7440.0
4,身体疼痛与不适查询,健康搜索周榜,125,114,随机,变硬的锻炼方法图,5132.0
4,身体疼痛与不适查询,健康搜索周榜,125,114,随机,双腿无力合拢红肿外翻女生原因,6018.0
1,查询疾病症状,健康搜索周榜,174,167,流量最高,脑梗的症状表现有哪些,222730.0
1,查询疾病症状,健康搜索周榜,174,167,流量最高,痤疮的早期症状都有哪些,186982.0
1,查询疾病症状,健康搜索周榜,174,167,流量最高,心肌梗死的早期症状有哪些表现,86828.0
1,查询疾病症状,健康搜索周榜,174,167,随机,疱疹有什么症状,19360.0
1,查询疾病症状,健康搜索周榜,174,167,随机,肾病有什么症状,5438.0
1,查询疾病症状,健康搜索周榜,174,167,随机,胃炎的早期症状都有哪些,3910.0
3,查询物品功效作用,健康搜索周榜,52,50,流量最高,黄精药材有什么功效,167978.0
3,查询物品功效作用,健康搜索周榜,52,50,流量最高,西梅有什么功效,142120.0
3,查询物品功效作用,健康搜索周榜,52,50,流量最高,灵芝怎么加工食用,136874.0
3,查询物品功效作用,健康搜索周榜,52,50,随机,西洋参有什么功效,24452.0
3,查询物品功效作用,健康搜索周榜,52,50,随机,黑豆有什么功效,21590.0
3,查询物品功效作用,健康搜索周榜,52,50,随机,党参有什么功效,14830.0
2,功效与作用查询,健康搜索周榜,300,295,流量最高,海参的营养价值和功效,151890.0
2,功效与作用查询,健康搜索周榜,300,295,流量最高,石榴功效和作用,148158.0
2,功效与作用查询,健康搜索周榜,300,295,流量最高,莓茶的作用和功效,145744.0
2,功效与作用查询,健康搜索周榜,300,295,随机,铁皮石斛功效,22702.0
2,功效与作用查询,健康搜索周榜,300,295,随机,川芎的功效,39296.0
2,功效与作用查询,健康搜索周榜,300,295,随机,大麦茶功效作用,18958.0
13,心血管疾病症状与防治查询,健康搜索周榜,75,68,流量最高,冠心病最怕什么刺激,144350.0
13,心血管疾病症状与防治查询,健康搜索周榜,75,68,流量最高,诊断冠心病的三个指标,77220.0
13,心血管疾病症状与防治查询,健康搜索周榜,75,68,流量最高,脑梗前的预兆,64468.0
13,心血管疾病症状与防治查询,健康搜索周榜,75,68,随机,心绞痛怎么引起的,43898.0
13,心血管疾病症状与防治查询,健康搜索周榜,75,68,随机,心绞痛怎么查,47106.0
13,心血管疾病症状与防治查询,健康搜索周榜,75,68,随机,脑梗,20828.0
1,查询疾病症状,健康AI管家周榜,4,3,流量最高,慢性肾病几期最严重,27613.0
1,查询疾病症状,健康AI管家周榜,4,3,流量最高,这些症状是子宫肌瘤吗,693.0
1,查询疾病症状,健康AI管家周榜,4,3,流量最高,肝硬化早期能发现吗,315.0
0,查询健康指标正常值与调理方法,健康AI管家周榜,14,13,流量最高,高血压,26216.0
0,查询健康指标正常值与调理方法,健康AI管家周榜,14,13,流量最高,糖尿病,10510.0
0,查询健康指标正常值与调理方法,健康AI管家周榜,14,13,流量最高,2型糖尿病,4878.0
0,查询健康指标正常值与调理方法,健康AI管家周榜,14,13,随机,中青年得肝病致死率多高,648.0
0,查询健康指标正常值与调理方法,健康AI管家周榜,14,13,随机,甘油三酯高,1564.0
0,查询健康指标正常值与调理方法,健康AI管家周榜,14,13,随机,降压药,4186.0
4,身体疼痛与不适查询,健康AI管家周榜,39,39,流量最高,怎么锻炼大脑,25331.0
4,身体疼痛与不适查询,健康AI管家周榜,39,39,流量最高,足底按摩的好处,17691.0
4,身体疼痛与不适查询,健康AI管家周榜,39,39,流量最高,乏力,13514.0
4,身体疼痛与不适查询,健康AI管家周榜,39,39,随机,潮热出汗,215.0
4,身体疼痛与不适查询,健康AI管家周榜,39,39,随机,体重下降,7809.0
4,身体疼痛与不适查询,健康AI管家周榜,39,39,随机,乏力头晕,1619.0
5,健康症状查询,健康AI管家周榜,90,90,流量最高,入睡困难,16075.0
5,健康症状查询,健康AI管家周榜,90,90,流量最高,头晕,15981.0
5,健康症状查询,健康AI管家周榜,90,90,流量最高,咳嗽,12055.0
5,健康症状查询,健康AI管家周榜,90,90,随机,胸闷,4845.0
5,健康症状查询,健康AI管家周榜,90,90,随机,上腹痛,1904.0
5,健康症状查询,健康AI管家周榜,90,90,随机,胃胀,4016.0
7,查询疾病症状与用药信息,健康AI管家周榜,19,17,流量最高,瘙痒,7692.0
7,查询疾病症状与用药信息,健康AI管家周榜,19,17,流量最高,皮肤瘙痒,4378.0
7,查询疾病症状与用药信息,健康AI管家周榜,19,17,流量最高,外阴瘙痒,4143.0
7,查询疾病症状与用药信息,健康AI管家周榜,19,17,随机,孩子眼睛红痒会传染吗,217.0
7,查询疾病症状与用药信息,健康AI管家周榜,19,17,随机,如何取分鼻炎和过敏,296.0
7,查询疾病症状与用药信息,健康AI管家周榜,19,17,随机,痒,2256.0
6,查询特定状况下的饮食宜忌与食疗建议,健康AI管家周榜,18,17,流量最高,失眠多梦,6477.0
6,查询特定状况下的饮食宜忌与食疗建议,健康AI管家周榜,18,17,流量最高,食欲不振,4627.0
6,查询特定状况下的饮食宜忌与食疗建议,健康AI管家周榜,18,17,流量最高,睡眠不好,3314.0
6,查询特定状况下的饮食宜忌与食疗建议,健康AI管家周榜,18,17,随机,天天喝牛奶能变白吗,478.0
6,查询特定状况下的饮食宜忌与食疗建议,健康AI管家周榜,18,17,随机,高血压能不能吃鸡蛋,489.0
6,查询特定状况下的饮食宜忌与食疗建议,健康AI管家周榜,18,17,随机,二甲双胍什么时候吃最好,1759.0
8,查询助听器价格、品牌与门店信息,健康AI管家周榜,4,2,流量最高,视物模糊,3904.0
8,查询助听器价格、品牌与门店信息,健康AI管家周榜,4,2,流量最高,眼前发黑,825.0
13,心血管疾病症状与防治查询,健康AI管家周榜,11,11,流量最高,心慌,4507.0
13,心血管疾病症状与防治查询,健康AI管家周榜,11,11,流量最高,心悸,3380.0
13,心血管疾病症状与防治查询,健康AI管家周榜,11,11,流量最高,冠心病,2915.0
13,心血管疾病症状与防治查询,健康AI管家周榜,11,11,随机,心脏病,1012.0
13,心血管疾病症状与防治查询,健康AI管家周榜,11,11,随机,半夜总醒是什么原因,293.0
13,心血管疾病症状与防治查询,健康AI管家周榜,11,11,随机,心慌胸闷,1986.0
14,药品信息查询,健康AI管家周榜,11,9,流量最高,反酸,3508.0
14,药品信息查询,健康AI管家周榜,11,9,流量最高,阿司匹林,2815.0
14,药品信息查询,健康AI管家周榜,11,9,流量最高,情绪低落,2747.0
14,药品信息查询,健康AI管家周榜,11,9,随机,瑞舒伐他汀,895.0
14,药品信息查询,健康AI管家周榜,11,9,随机,胰岛素,197.0
14,药品信息查询,健康AI管家周榜,11,9,随机,氨氯地平,1855.0
15,医疗资源查询与预约,健康AI管家周榜,5,5,流量最高,CT,3206.0
15,医疗资源查询与预约,健康AI管家周榜,5,5,流量最高,B超,1717.0
15,医疗资源查询与预约,健康AI管家周榜,5,5,流量最高,内科,634.0
15,医疗资源查询与预约,健康AI管家周榜,5,5,随机,胸部CT报告索条影是什么问题,539.0
15,医疗资源查询与预约,健康AI管家周榜,5,5,随机,胸部CT,199.0
9,查询女性生殖健康与怀孕问题,健康AI管家周榜,8,7,流量最高,乳房胀痛,2981.0
