key,类目,搜索条数,搜索n,搜索占比%,助手条数,助手n,助手占比%,差_pp,低_pp,高_pp,显著,归属,另一边期望条数,另一边P(0),缺席判定,助手行占该类比例%
FOOD_HERB_EFFICACY_LOOKUP,查询食材、药材与保健品的功效,329,2236,14.714,0,225,0.0,-14.714,-16.243,-12.523,True,仅搜索,33.11,0.0,真缺席,0.0
PROVIDER_NAVIGATION,定位特定机构、品牌或医生,196,2236,8.766,0,225,0.0,-8.766,-10.01,-6.757,True,仅搜索,19.72,0.0,真缺席,0.0
DISEASE_SYMPTOM_LIST,查询具名疾病的症状与前兆,209,2236,9.347,5,225,2.222,-7.125,-8.926,-4.034,True,两界面都有,,,,2.34
NON_HEALTH_QUERY,非健康内容查询,215,2236,9.615,9,225,4.0,-5.615,-7.898,-2.0,True,两界面都有,,,,4.02
TREATMENT_SEEKING,寻求规范治疗与用药方案,143,2236,6.395,5,225,2.222,-4.173,-5.847,-1.149,True,两界面都有,,,,3.38
DRUG_INFO_LOOKUP,查询药品或药方信息,199,2236,8.9,11,225,4.889,-4.011,-6.488,-0.194,True,两界面都有,,,,5.24
CARE_SERVICE_ACCESS,接通在线咨询与预约服务,85,2236,3.801,0,225,0.0,-3.801,-4.677,-1.976,True,仅搜索,8.55,0.0002,真缺席,0.0
PROVIDER_LEGITIMACY_CHECK,核验医疗机构资质与口碑,56,2236,2.504,0,225,0.0,-2.504,-3.238,-0.731,True,仅搜索,5.64,0.0033,真缺席,0.0
HOSPITAL_SELECTION,比较选择就诊医院与排名,55,2236,2.46,0,225,0.0,-2.46,-3.188,-0.689,True,仅搜索,5.53,0.0037,真缺席,0.0
COST_INQUIRY,查询医疗费用与购买渠道,49,2236,2.191,0,225,0.0,-2.191,-2.885,-0.431,True,仅搜索,4.93,0.0068,偏少但证据弱,0.0
NORMALITY_REFERENCE_CHECK,判断自身数值或生理现象是否正常,57,2236,2.549,1,225,0.444,-2.105,-2.93,0.005,False,两界面都有,,,,1.72
IMAGE_LOOKUP,查找医学对比图片,24,2236,1.073,0,225,0.0,-1.073,-1.592,0.642,False,仅搜索,2.42,0.0882,不可判定（样本量不足）,0.0
DIET_PERMISSION_LOOKUP,查询疾病饮食宜忌与许可,30,2236,1.342,1,225,0.444,-0.897,-1.572,1.172,False,两界面都有,,,,3.23
PROGNOSIS_INQUIRY,询问疾病转归与恢复预期,49,2236,2.191,3,225,1.333,-0.858,-1.978,1.71,False,两界面都有,,,,5.77
CLAIM_FACTCHECK,核验健康说法与养生观点,57,2236,2.549,4,225,1.778,-0.771,-2.084,1.993,False,两界面都有,,,,6.56
ACUTE_INCIDENT_ACTION,请求急性事件即时处置,14,2236,0.626,0,225,0.0,-0.626,-1.048,1.071,False,仅搜索,1.41,0.2434,不可判定（样本量不足）,0.0
TRANSMISSION_INQUIRY,查询疾病传染与感染可能,21,2236,0.939,1,225,0.444,-0.495,-1.108,1.561,False,两界面都有,,,,4.55
QUICK_REMEDY_SEEKING,寻求速效偏方与根治土法,31,2236,1.386,3,225,1.333,-0.053,-1.103,2.493,False,两界面都有,,,,8.82
MEDICAL_TERM_INTERPRETATION,解读医学名词、检查报告与指标,201,2236,8.989,31,225,13.778,4.789,0.692,10.024,True,两界面都有,,,,13.36
SYMPTOM_CAUSE_SELF_CHECK,由自身症状反查原因或可能疾病,216,2236,9.66,151,225,67.111,57.451,50.94,63.372,True,两界面都有,,,,41.14
