key,类目,a,b,k_a,k_b,n_a,n_b,占比_a%,占比_b%,差_pp,低_pp,高_pp,显著,类型
ACUTE_INCIDENT_ACTION__1,ACUTE_INCIDENT_ACTION__1,健康搜索周榜,健康AI管家周榜,14,0,2236,225,0.626,0.0,-0.626,-1.048,1.071,False,a独有
CARE_SERVICE_ACCESS__1,CARE_SERVICE_ACCESS__1,健康搜索周榜,健康AI管家周榜,85,0,2236,225,3.801,0.0,-3.801,-4.677,-1.976,True,a独有
CLAIM_FACTCHECK__1,CLAIM_FACTCHECK__1,健康搜索周榜,健康AI管家周榜,57,4,2236,225,2.549,1.778,-0.771,-2.084,1.993,False,共有
COST_INQUIRY__1,COST_INQUIRY__1,健康搜索周榜,健康AI管家周榜,49,0,2236,225,2.191,0.0,-2.191,-2.885,-0.431,True,a独有
DIET_PERMISSION_LOOKUP__1,DIET_PERMISSION_LOOKUP__1,健康搜索周榜,健康AI管家周榜,30,1,2236,225,1.342,0.444,-0.897,-1.572,1.172,False,共有
DISEASE_SYMPTOM_LIST__1,DISEASE_SYMPTOM_LIST__1,健康搜索周榜,健康AI管家周榜,209,5,2236,225,9.347,2.222,-7.125,-8.926,-4.034,True,共有
DRUG_INFO_LOOKUP__1,DRUG_INFO_LOOKUP__1,健康搜索周榜,健康AI管家周榜,199,11,2236,225,8.9,4.889,-4.011,-6.488,-0.194,True,共有
FOOD_HERB_EFFICACY_LOOKUP__1,FOOD_HERB_EFFICACY_LOOKUP__1,健康搜索周榜,健康AI管家周榜,76,0,2236,225,3.399,0.0,-3.399,-4.234,-1.59,True,a独有
FOOD_HERB_EFFICACY_LOOKUP__2,FOOD_HERB_EFFICACY_LOOKUP__2,健康搜索周榜,健康AI管家周榜,253,0,2236,225,11.315,0.0,-11.315,-12.695,-9.224,True,a独有
HOSPITAL_SELECTION__1,HOSPITAL_SELECTION__1,健康搜索周榜,健康AI管家周榜,55,0,2236,225,2.46,0.0,-2.46,-3.188,-0.689,True,a独有
IMAGE_LOOKUP__1,IMAGE_LOOKUP__1,健康搜索周榜,健康AI管家周榜,24,0,2236,225,1.073,0.0,-1.073,-1.592,0.642,False,a独有
MEDICAL_TERM_INTERPRETATION__1,MEDICAL_TERM_INTERPRETATION__1,健康搜索周榜,健康AI管家周榜,201,31,2236,225,8.989,13.778,4.789,0.692,10.024,True,共有
NON_HEALTH_QUERY__1,NON_HEALTH_QUERY__1,健康搜索周榜,健康AI管家周榜,215,9,2236,225,9.615,4.0,-5.615,-7.898,-2.0,True,共有
NORMALITY_REFERENCE_CHECK__1,NORMALITY_REFERENCE_CHECK__1,健康搜索周榜,健康AI管家周榜,57,1,2236,225,2.549,0.444,-2.105,-2.93,0.005,False,共有
PROGNOSIS_INQUIRY__1,PROGNOSIS_INQUIRY__1,健康搜索周榜,健康AI管家周榜,49,3,2236,225,2.191,1.333,-0.858,-1.978,1.71,False,共有
PROVIDER_LEGITIMACY_CHECK__1,PROVIDER_LEGITIMACY_CHECK__1,健康搜索周榜,健康AI管家周榜,56,0,2236,225,2.504,0.0,-2.504,-3.238,-0.731,True,a独有
PROVIDER_NAVIGATION__1,PROVIDER_NAVIGATION__1,健康搜索周榜,健康AI管家周榜,196,0,2236,225,8.766,0.0,-8.766,-10.01,-6.757,True,a独有
QUICK_REMEDY_SEEKING__1,QUICK_REMEDY_SEEKING__1,健康搜索周榜,健康AI管家周榜,31,3,2236,225,1.386,1.333,-0.053,-1.103,2.493,False,共有
SYMPTOM_CAUSE_SELF_CHECK__1,SYMPTOM_CAUSE_SELF_CHECK__1,健康搜索周榜,健康AI管家周榜,121,15,2236,225,5.411,6.667,1.255,-1.523,5.387,False,共有
SYMPTOM_CAUSE_SELF_CHECK__2,SYMPTOM_CAUSE_SELF_CHECK__2,健康搜索周榜,健康AI管家周榜,26,63,2236,225,1.163,28.0,26.837,21.351,33.047,True,共有
SYMPTOM_CAUSE_SELF_CHECK__3,SYMPTOM_CAUSE_SELF_CHECK__3,健康搜索周榜,健康AI管家周榜,69,73,2236,225,3.086,32.444,29.359,23.525,35.758,True,共有
TRANSMISSION_INQUIRY__1,TRANSMISSION_INQUIRY__1,健康搜索周榜,健康AI管家周榜,21,1,2236,225,0.939,0.444,-0.495,-1.108,1.561,False,共有
TREATMENT_SEEKING__1,TREATMENT_SEEKING__1,健康搜索周榜,健康AI管家周榜,143,5,2236,225,6.395,2.222,-4.173,-5.847,-1.149,True,共有
