key,类目,快照,方向,该快照条数,该快照n,该快照占比%,其余快照合并占比%,最弱一对的区间端点pp,对比了几个快照
HOSPITAL_SELECTION,比较选择就诊医院与排名,健康搜索周榜,显著高于其余全部,55,2236,2.46,0.0,0.689,1
HOSPITAL_SELECTION,比较选择就诊医院与排名,健康AI管家周榜,显著低于其余全部,0,225,0.0,2.46,-0.689,1
SYMPTOM_CAUSE_SELF_CHECK,由自身症状反查原因或可能疾病,健康搜索周榜,显著低于其余全部,216,2236,9.66,67.111,-50.94,1
SYMPTOM_CAUSE_SELF_CHECK,由自身症状反查原因或可能疾病,健康AI管家周榜,显著高于其余全部,151,225,67.111,9.66,50.94,1
CARE_SERVICE_ACCESS,接通在线咨询与预约服务,健康搜索周榜,显著高于其余全部,85,2236,3.801,0.0,1.976,1
CARE_SERVICE_ACCESS,接通在线咨询与预约服务,健康AI管家周榜,显著低于其余全部,0,225,0.0,3.801,-1.976,1
PROVIDER_NAVIGATION,定位特定机构、品牌或医生,健康搜索周榜,显著高于其余全部,196,2236,8.766,0.0,6.757,1
PROVIDER_NAVIGATION,定位特定机构、品牌或医生,健康AI管家周榜,显著低于其余全部,0,225,0.0,8.766,-6.757,1
DRUG_INFO_LOOKUP,查询药品或药方信息,健康搜索周榜,显著高于其余全部,199,2236,8.9,4.889,0.194,1
DRUG_INFO_LOOKUP,查询药品或药方信息,健康AI管家周榜,显著低于其余全部,11,225,4.889,8.9,-0.194,1
NON_HEALTH_QUERY,非健康内容查询,健康搜索周榜,显著高于其余全部,215,2236,9.615,4.0,2.0,1
NON_HEALTH_QUERY,非健康内容查询,健康AI管家周榜,显著低于其余全部,9,225,4.0,9.615,-2.0,1
COST_INQUIRY,查询医疗费用与购买渠道,健康搜索周榜,显著高于其余全部,49,2236,2.191,0.0,0.431,1
COST_INQUIRY,查询医疗费用与购买渠道,健康AI管家周榜,显著低于其余全部,0,225,0.0,2.191,-0.431,1
TREATMENT_SEEKING,寻求规范治疗与用药方案,健康搜索周榜,显著高于其余全部,143,2236,6.395,2.222,1.149,1
TREATMENT_SEEKING,寻求规范治疗与用药方案,健康AI管家周榜,显著低于其余全部,5,225,2.222,6.395,-1.149,1
MEDICAL_TERM_INTERPRETATION,解读医学名词、检查报告与指标,健康搜索周榜,显著低于其余全部,201,2236,8.989,13.778,-0.692,1
MEDICAL_TERM_INTERPRETATION,解读医学名词、检查报告与指标,健康AI管家周榜,显著高于其余全部,31,225,13.778,8.989,0.692,1
FOOD_HERB_EFFICACY_LOOKUP,查询食材、药材与保健品的功效,健康搜索周榜,显著高于其余全部,329,2236,14.714,0.0,12.523,1
FOOD_HERB_EFFICACY_LOOKUP,查询食材、药材与保健品的功效,健康AI管家周榜,显著低于其余全部,0,225,0.0,14.714,-12.523,1
DISEASE_SYMPTOM_LIST,查询具名疾病的症状与前兆,健康搜索周榜,显著高于其余全部,209,2236,9.347,2.222,4.034,1
DISEASE_SYMPTOM_LIST,查询具名疾病的症状与前兆,健康AI管家周榜,显著低于其余全部,5,225,2.222,9.347,-4.034,1
PROVIDER_LEGITIMACY_CHECK,核验医疗机构资质与口碑,健康搜索周榜,显著高于其余全部,56,2236,2.504,0.0,0.731,1
PROVIDER_LEGITIMACY_CHECK,核验医疗机构资质与口碑,健康AI管家周榜,显著低于其余全部,0,225,0.0,2.504,-0.731,1
