source,label,n,distinct,hhi_strings,top1_pv_share,top5_pv_share
2025search,0,3271,3271,0.0003057169061449098,0.007517069454489087,0.023608447097516968
2025search,5,570,570,0.001754385964912281,0.04033263866784379,0.09361167998942987
2025search,29,225,225,0.004444444444444445,0.07459853844269086,0.2192297071829436
2025search,1,620,620,0.0016129032258064516,0.014459397471611462,0.06489878288035156
2025search,15,462,462,0.002164502164502165,0.024505574075402124,0.09645382851881583
2025search,8,172,172,0.005813953488372093,0.053922214071189856,0.15318924816131518
2025search,19,70,70,0.01428571428571429,0.16781753095596721,0.3236830265448641
2025search,16,210,210,0.004761904761904763,0.043840680060506634,0.1487046466540256
2025search,23,104,104,0.009615384615384618,0.056536771591154646,0.23351581070373834
2025search,14,308,308,0.003246753246753247,0.029416372571654737,0.08157013753751774
2025search,17,331,331,0.0030211480362537756,0.018568173041884444,0.08064972289150074
2025search,12,267,267,0.003745318352059924,0.028908343293048623,0.10793167275755394
2025search,26,225,225,0.004444444444444445,0.02775351367340054,0.11021449468269487
2025search,18,108,108,0.00925925925925926,0.0680013142539909,0.24241188266884195
2025search,25,564,564,0.0017730496453900704,0.0113818579478793,0.048415722660335
2025search,11,593,593,0.0016863406408094432,0.010691453896536848,0.04325410832646978
2025search,22,253,253,0.003952569169960473,0.02789787560921175,0.10028183342243353
2025search,27,239,239,0.004184100418410039,0.027163911395882902,0.11364779189540856
2025search,20,234,234,0.004273504273504275,0.031090366269218118,0.10717455667210804
2025search,3,279,279,0.0035842293906810036,0.02025255747979012,0.08835041029413558
2025search,28,96,96,0.01041666666666667,0.06008203228367294,0.2299285525271236
2025search,4,171,171,0.005847953216374269,0.02756980533779618,0.12554265077827134
2025search,24,103,103,0.009708737864077664,0.04514429246184508,0.16785431512272364
2025search,30,147,147,0.006802721088435375,0.029327942145668938,0.11612725102865998
2025search,13,45,45,0.02222222222222223,0.0850955071294054,0.30344363734194235
2025search,21,172,172,0.005813953488372093,0.024930307395835287,0.09723287619974183
2025search,9,159,159,0.006289308176100629,0.02354503208674486,0.10474883823854836
2026search,0,3687,3687,0.00027122321670735016,0.008101835542090216,0.030998605782267173
2026search,29,212,212,0.0047169811320754715,0.10322489906678137,0.25828976106956114
2026search,20,302,302,0.003311258278145696,0.06326238376409857,0.13361383163030796
2026search,5,626,626,0.0015974440894568687,0.026831851955911784,0.0877967659018684
2026search,15,438,438,0.0022831050228310505,0.031658506672377046,0.10157489512055054
2026search,1,619,619,0.0016155088852988695,0.014199838818353567,0.06465497879536536
2026search,11,348,348,0.0028735632183908054,0.035536597755217066,0.11937847485578698
2026search,8,178,178,0.005617977528089887,0.05128667411867931,0.1665765213524201
2026search,14,351,351,0.0028490028490028496,0.02864229729911404,0.07768576153153273
2026search,17,284,284,0.003521126760563381,0.024415917390460617,0.10442038658535867
2026search,23,102,102,0.009803921568627447,0.0627186858316222,0.21933470225872695
2026search,3,279,279,0.0035842293906810036,0.02519494431652975,0.09134732434143254
2026search,12,262,262,0.0038167938931297713,0.029937474514068235,0.10480664673100448
2026search,16,165,165,0.0060606060606060615,0.04511618616419202,0.1658965310606565
2026search,26,219,219,0.004566210045662101,0.030961291351285444,0.1271373233161691
2026search,4,154,154,0.006493506493506494,0.04247650920324366,0.14761230531599948
2026search,28,66,66,0.015151515151515154,0.12236742197178599,0.2942492906525997
2026search,18,146,146,0.006849315068493149,0.05236898906620431,0.19086373447507163
2026search,27,208,208,0.004807692307692309,0.027970149602345052,0.12602333376154717
2026search,9,209,209,0.004784688995215311,0.029002735383592812,0.10453255617762099
2026search,25,362,362,0.002762430939226519,0.016456569913176157,0.06046427144258365
2026search,30,132,132,0.007575757575757577,0.03794094690551886,0.13965618991414266
2026search,19,102,102,0.009803921568627447,0.05164194209923562,0.17415505899272912
2026search,24,107,107,0.009345794392523366,0.04479035198429392,0.14286916281026502
2026search,21,171,171,0.005847953216374269,0.029678514188743284,0.10296973696615443
