key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,助手语音1k_n,助手语音1k_置信度均值,助手语音1k_意图歧义%,助手语音1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
24,医学健康图片查询,231,103,0.6069,2.91,9.71,107,0.6052,2.8,7.48,9,0.5739,0.0,33.33,4,0.5337,0.0,0.0,8,0.6764,12.5,12.5,2026搜索,0.0017,0.6059
22,查询女性生理事件时间,576,253,0.6038,3.56,13.44,228,0.6282,2.19,18.86,27,0.668,3.7,40.74,48,0.5214,10.42,10.42,20,0.5535,0.0,10.0,助手随机1k,0.1466,0.6078
30,医学检查项目查询,314,147,0.6482,2.04,12.93,132,0.6525,1.52,9.85,7,0.6483,14.29,57.14,19,0.5144,15.79,26.32,9,0.4383,11.11,22.22,2025搜索,0.0043,0.6359
5,疾病治疗与手术方案查询,1547,570,0.6723,2.46,18.42,626,0.6802,1.6,18.69,60,0.6705,5.0,21.67,179,0.5492,5.03,34.08,112,0.5366,2.68,41.96,助手语音1k,0.1436,0.6513
4,健康调理食物宜忌查询,406,171,0.671,1.17,9.36,154,0.654,4.55,11.69,25,0.7319,0.0,20.0,32,0.5492,3.12,37.5,24,0.5579,8.33,37.5,助手随机1k,0.1827,0.652
9,药品用法用量查询,518,159,0.7034,2.52,23.27,209,0.7056,3.35,20.57,12,0.7078,0.0,16.67,72,0.5187,4.17,27.78,66,0.6162,3.03,24.24,助手随机1k,0.1869,0.6676
14,病症用药推荐查询,793,308,0.7027,2.6,11.04,351,0.6926,1.99,13.68,44,0.6864,2.27,27.27,51,0.5186,1.96,41.18,39,0.5508,15.38,38.46,助手随机1k,0.1841,0.678
19,中医方剂配方与食疗搭配吃法查询,218,70,0.6924,1.43,14.29,102,0.7057,0.98,11.76,8,0.627,0.0,37.5,13,0.6844,0.0,30.77,25,0.6371,0.0,16.0,助手语音1k,0.0686,0.6894
28,查询食物寒热属性,187,96,0.7134,4.17,6.25,66,0.6956,3.03,3.03,0,,,,10,0.4916,10.0,50.0,15,0.6801,6.67,33.33,2026搜索,0.0178,0.6926
13,疾病传染性与传播途径查询,106,45,0.7463,0.0,0.0,41,0.7496,0.0,4.88,5,0.7217,0.0,20.0,9,0.5039,0.0,0.0,6,0.5257,0.0,16.67,2025搜索,0.0033,0.7133
18,血糖与糖尿病问题查询,329,108,0.7481,1.85,13.89,146,0.7209,3.42,9.59,12,0.7143,0.0,8.33,24,0.6284,8.33,8.33,39,0.6642,2.56,0.0,助手随机1k,0.1197,0.7161
3,疾病发病原因查询,593,279,0.7616,1.43,22.58,279,0.7627,1.43,21.86,11,0.6582,9.09,27.27,9,0.444,11.11,77.78,15,0.4684,13.33,60.0,2025搜索,0.0011,0.7479
20,功效副作用与禁忌查询,813,234,0.7486,0.85,22.65,302,0.7553,0.99,25.5,19,0.7106,0.0,36.84,105,0.7621,0.0,30.48,153,0.7785,1.31,26.14,2025搜索,0.0299,0.7576
16,皮肤瘙痒起疙瘩原因与用药查询,485,210,0.8014,0.95,11.9,165,0.805,1.82,13.33,28,0.6943,0.0,14.29,36,0.6305,5.56,30.56,46,0.6041,2.17,23.91,助手语音1k,0.2009,0.765
29,健康指标正常值范围查询,527,225,0.7939,1.78,12.44,212,0.7996,0.47,11.32,34,0.7485,0.0,20.59,34,0.5867,5.88,17.65,22,0.6373,0.0,9.09,助手随机1k,0.2129,0.7733
21,医院信息查询与挂号咨询,490,172,0.8009,0.58,6.4,171,0.8037,1.17,4.09,82,0.7665,1.22,8.54,37,0.707,0.0,24.32,28,0.7491,0.0,10.71,助手随机1k,0.0967,0.786
27,身体异常症状原因与应对方法查询,534,239,0.8346,0.42,14.64,208,0.8305,0.96,19.23,22,0.7206,0.0,13.64,43,0.5593,6.98,32.56,22,0.6351,9.09,13.64,助手随机1k,0.2753,0.7979
8,症状原因与处理方法查询,440,172,0.851,1.16,19.77,178,0.8287,1.69,17.42,19,0.6987,5.26,15.79,31,0.5949,3.23,29.03,40,0.7143,5.0,20.0,助手随机1k,0.2561,0.8049
12,查询症状原因与治疗方法,649,267,0.8403,0.75,23.22,262,0.8286,0.76,24.43,20,0.7872,0.0,20.0,60,0.6345,5.0,40.0,40,0.7137,5.0,30.0,助手随机1k,0.2058,0.8071
17,检验指标异常原因查询,655,331,0.8343,1.81,6.65,284,0.8172,2.11,8.8,15,0.788,0.0,20.0,12,0.6793,0.0,16.67,13,0.8158,0.0,15.38,2026搜索,0.0171,0.8227
15,查询疾病最快最有效治疗方法,1005,462,0.8348,0.43,10.82,438,0.8375,0.68,11.64,52,0.7712,1.92,26.92,28,0.6831,3.57,28.57,25,0.6172,8.0,24.0,助手语音1k,0.2203,0.823
26,身体疼痛病因查询,504,225,0.8807,0.89,6.22,219,0.8746,0.91,5.02,6,0.7092,0.0,0.0,28,0.6498,0.0,17.86,26,0.7166,0.0,26.92,助手随机1k,0.2309,0.8547
11,药品及医疗产品信息查询,1037,593,0.8873,0.34,6.75,348,0.8538,0.29,12.36,41,0.9265,0.0,9.76,27,0.5832,3.7,33.33,28,0.669,3.57,32.14,助手随机1k,0.3433,0.8638
0,药品功效作用查询,7361,3271,0.8907,0.4,11.28,3687,0.8883,0.52,8.92,222,0.8975,0.0,10.81,48,0.7348,4.17,20.83,133,0.7669,0.0,18.05,助手随机1k,0.1627,0.8864
23,皮肤病症状图片查询,227,104,0.8984,0.0,10.58,102,0.8941,0.98,10.78,15,0.841,0.0,6.67,4,0.6869,0.0,25.0,2,0.7994,0.0,0.0,2026搜索,0.0043,0.8881
25,医疗健康信息查询,1082,564,0.9066,0.53,16.84,362,0.909,0.55,13.81,112,0.8237,0.0,17.86,20,0.7246,0.0,30.0,24,0.7643,4.17,25.0,助手随机1k,0.1844,0.8923
1,疾病症状表现查询,1325,620,0.9579,0.16,4.84,619,0.957,0.0,6.3,51,0.9175,0.0,7.84,15,0.7013,6.67,33.33,20,0.8033,0.0,15.0,助手语音1k,0.1546,0.9507
