key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音1k_条数,助手语音1k_占比%,助手语音1k_95CI低%,助手语音1k_95CI高%,助手语音1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音1k_均衡归属%,助手语音1k_指数,助手语音1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,助手语音1k_排名,主导意图,主导意图占比%,家族内部一致,家族审计意见
0,药品功效作用查询,用户输入某种药品或中药名称后，获取该药品或中药的功效与作用、主治及副作用等说明信息。,7361,32.071,3271,32.717,31.804,33.643,37.269,3687,36.877,35.937,37.828,44.964,222,23.173,20.612,25.949,18.553,48,4.81,3.647,6.319,6.234,133,13.3,11.335,15.546,13.3,29.51,1.0201,1.4754,33.26,1.1499,1.663,20.9,0.7226,1.045,4.34,0.15,0.2169,12.0,0.4147,0.5998,5,,,2026搜索,助手随机1k,32.068,7.67,1,1,1,6,2,查询中药材/食材/茶饮的功效与作用,45.4,是,
5,疾病治疗与手术方案查询,用户想了解特定疾病或症状是否需要治疗或手术、可选择哪些治疗方式、大致费用以及风险或预后。,1547,6.74,570,5.701,5.263,6.173,5.135,626,6.261,5.803,6.753,5.057,60,6.263,4.897,7.979,6.678,179,17.936,15.68,20.438,16.14,112,11.2,9.392,13.305,11.2,12.04,0.8458,0.6019,13.22,0.9289,0.661,13.22,0.9292,0.6612,37.87,2.661,1.8935,23.65,1.6617,1.1824,5,,,助手随机1k,2025搜索,12.235,3.15,4,2,4,1,3,查询疾病或医学术语的定义、病因与传染性,25.2,否,“医学术语与检查指标含义查询”和“查询穴位及身体部位准确位置”不属于疾病治疗与手术方案查询意图；该家庭为混合残留，按最大叶子（653 行）命名。
1,疾病症状表现查询,用户输入某种疾病或身体状况名称后，希望获得该疾病或状况的典型症状、早期表现或临床表现等信息。,1325,5.773,620,6.201,5.745,6.691,7.687,619,6.191,5.735,6.681,7.266,51,5.324,4.072,6.932,3.933,15,1.503,0.913,2.465,1.366,20,2.0,1.298,3.069,2.0,29.22,1.0742,1.4612,29.18,1.0725,1.4589,25.09,0.9222,1.2544,7.08,0.2604,0.3542,9.43,0.3464,0.4713,5,,,2025搜索,助手随机1k,4.698,4.13,2,3,6,20,19,查询疾病的症状与早期征兆,91.2,是,
25,医疗健康信息查询,用户输入疾病、症状、检查、药物或医疗设备等医疗健康相关词汇，以获取对应的医学解释、治疗方法或用途信息。,1082,4.714,564,5.641,5.206,6.111,5.161,362,3.621,3.272,4.005,2.643,112,11.691,9.808,13.88,13.811,20,2.004,1.301,3.075,2.135,24,2.4,1.618,3.546,2.4,22.25,1.1966,1.1123,14.28,0.768,0.714,46.11,2.48,2.3053,7.9,0.4251,0.3952,9.46,0.5091,0.4732,5,,,助手头部1k,助手随机1k,9.687,5.83,5,5,2,18,15,仅给出名称的裸实体查询,93.6,是,
11,药品及医疗产品信息查询,用户输入药品名称或相关医疗产品、健康项目名称后，期望获得该药品或产品的功效、用途、用法、购买渠道或操作说明等具体信息。,1037,4.518,593,5.931,5.485,6.411,5.242,348,3.481,3.139,3.858,2.759,41,4.28,3.17,5.754,3.405,27,2.705,1.866,3.908,3.587,28,2.8,1.944,4.017,2.8,30.9,1.3128,1.5448,18.13,0.7704,0.9066,22.29,0.9472,1.1147,14.09,0.5988,0.7046,14.59,0.6197,0.7293,5,,,2025搜索,助手随机1k,3.226,2.19,3,7,8,16,10,仅给出名称的裸实体查询,75.3,是,
15,查询疾病最快最有效治疗方法,用户输入某个疾病、症状或健康问题后，希望获得针对该问题最快、最有效、最好或能彻底根除的治疗方法。,1005,4.379,462,4.621,4.227,5.05,4.444,438,4.381,3.997,4.8,3.945,52,5.428,4.163,7.049,4.2,28,2.806,1.948,4.025,4.697,25,2.5,1.699,3.665,2.5,23.41,1.0553,1.1707,22.2,1.0005,1.1099,27.5,1.2396,1.3752,14.22,0.6407,0.7108,12.67,0.5709,0.6334,5,,,助手头部1k,助手语音1k,2.928,2.17,6,4,5,14,13,寻找疾病的治疗或缓解方案,86.9,是,
20,功效副作用与禁忌查询,用户在询问某种药物、食物、保健品或行为后，希望获得其功效、好处、坏处、副作用、禁忌或长期影响的明确信息。,813,3.542,234,2.34,2.062,2.656,1.656,302,3.021,2.703,3.375,2.172,19,1.983,1.273,3.077,1.605,105,10.521,8.766,12.578,9.308,153,15.3,13.202,17.664,15.3,7.06,0.6607,0.3528,9.11,0.8528,0.4554,5.98,0.5599,0.299,31.72,2.9702,1.5861,46.13,4.3194,2.3066,5,,,助手语音1k,助手头部1k,13.317,7.71,13,8,15,2,1,对具体行为、搭配或说法给出是否可行的裁决,66.9,是,
14,病症用药推荐查询,用户输入某个疾病或症状，希望获得针对该病症最有效、见效最快的药品或用药方案推荐。,793,3.455,308,3.081,2.76,3.438,2.493,351,3.511,3.167,3.89,2.856,44,4.593,3.439,6.11,5.351,51,5.11,3.908,6.657,7.6,39,3.9,2.866,5.287,3.9,15.25,0.8916,0.7627,17.38,1.0161,0.8692,22.74,1.3293,1.1372,25.31,1.4791,1.2653,19.31,1.1288,0.9656,5,,,助手随机1k,2025搜索,2.03,1.66,8,6,7,5,8,寻找疾病的治疗或缓解方案,59.0,是,
17,检验指标异常原因查询,用户查询某个检验指标偏高或偏低的含义、可能原因及其临床意义解释。,655,2.854,331,3.311,2.978,3.68,3.78,284,2.841,2.533,3.185,3.265,15,1.566,0.951,2.567,0.967,12,1.202,0.689,2.09,1.025,13,1.3,0.761,2.211,1.3,32.4,1.1601,1.6198,27.8,0.9954,1.3898,15.32,0.5487,0.7661,11.77,0.4213,0.5883,12.72,0.4555,0.636,5,,,2025搜索,助手随机1k,2.108,2.75,7,9,17,22,23,解读用户本人的检查数值或报告分级,82.6,是,
12,查询症状原因与治疗方法,用户因身体不适或健康相关疑问，希望获得症状的可能原因、应对方法或相关概念解释。,649,2.828,267,2.671,2.372,3.005,2.383,262,2.621,2.325,2.952,2.26,20,2.088,1.355,3.203,1.448,60,6.012,4.699,7.662,5.892,40,4.0,2.951,5.401,4.0,15.36,0.9444,0.7678,15.07,0.9268,0.7534,12.0,0.7383,0.6002,34.57,2.1262,1.7285,23.0,1.4146,1.15,5,,,助手随机1k,助手头部1k,3.924,2.88,10,11,14,4,6,解释自身症状的原因,75.8,是,
