key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音1k_条数,助手语音1k_占比%,助手语音1k_95CI低%,助手语音1k_95CI高%,助手语音1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音1k_均衡归属%,助手语音1k_指数,助手语音1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,助手语音1k_排名,主导叶,主导叶占比%,体系内风险标注,架构师预估占比,user_need
HERB_FOOD_EFFICACY_LOOKUP,查询中药材/食材/茶饮的功效与作用,用户以“X的功效与作用/主治/性味”模板查询中药材、食材、茶饮等非药品物质，期望获得药性或营养功效说明。,3635,15.837,1587,15.873,15.17,16.603,20.369,1768,17.684,16.948,18.444,23.476,157,16.388,14.179,18.866,12.414,42,4.208,3.128,5.64,4.355,81,8.1,6.565,9.956,8.1,25.5,1.0023,1.2749,28.41,1.1166,1.4203,26.33,1.0348,1.3163,6.76,0.2657,0.338,13.01,0.5114,0.6506,5,,,2026搜索,助手随机1k,13.475,4.2,2,1,3,7,5,药品功效作用查询,91.9,是,0.19,收到区分传统用途与循证证据的功效说明（药材含性味归经与主治，食材含营养价值与食用禁忌）后即满足。
BARE_ENTITY_LOOKUP,仅给出名称的裸实体查询,查询只含一个病名/药名/药材名/解剖部位等实体且无任何意图线索；其真实意图无法从单轮措辞恢复。,3324,14.482,1856,18.564,17.814,19.338,16.677,1132,11.322,10.716,11.958,8.167,212,22.129,19.615,24.867,23.185,40,4.008,2.957,5.412,4.526,84,8.4,6.836,10.283,8.4,28.82,1.2818,1.4408,17.57,0.7818,0.8787,34.35,1.528,1.7175,6.22,0.2768,0.3111,13.04,0.58,0.6519,5,,,助手头部1k,助手随机1k,18.121,5.52,1,3,1,9,4,医疗健康信息查询,30.5,否,0.14,收到该实体的核心信息卡或消歧入口后可继续深入即满足。
DRUG_EFFICACY_LOOKUP,查询药品的功效与作用,用户以“X的功效与作用/作用与功效/主治”等模板查询已知药品名称（西药、中成药、疫苗等）的适应症、功效与不良反应说明。,3003,13.084,1239,12.392,11.761,13.053,12.935,1659,16.593,15.877,17.335,19.247,34,3.549,2.551,4.918,2.572,32,3.206,2.28,4.491,5.038,39,3.9,2.866,5.287,3.9,31.26,0.9472,1.5631,41.86,1.2682,2.0929,8.95,0.2713,0.4476,8.09,0.2451,0.4044,9.84,0.2981,0.4919,5,,,2026搜索,助手随机1k,13.387,5.18,3,2,8,11,7,药品功效作用查询,92.0,否,0.09,收到与对象语域匹配的药品说明书口径答案（西药适应症与不良反应、中成药中医功效与禁忌）后即满足。
SYMPTOM_CAUSE_EXPLANATION,解释自身症状的原因,用户报告一个或多个症状（多为第一人称），询问是什么原因/怎么回事，期望获得可能原因而非病名清单。,2151,9.372,993,9.932,9.361,10.534,9.267,911,9.112,8.563,9.692,8.287,48,5.01,3.8,6.58,3.836,87,8.717,7.122,10.63,8.54,112,11.2,9.392,13.305,11.2,22.59,1.0598,1.1294,20.72,0.9723,1.0361,11.39,0.5346,0.5697,19.83,0.9302,0.9913,25.47,1.1951,1.2735,5,,,助手语音1k,助手头部1k,6.19,2.24,4,4,7,3,3,查询症状原因与治疗方法,22.9,是,0.1,收到按常见度排列的可能原因与何时就医的提示后即满足。
TREATMENT_SEEKING,寻找疾病的治疗或缓解方案,用户以已知病名或明确健康问题为输入，询问怎么治/吃什么药/最快缓解方法，要求可执行的方案。,1789,7.795,794,7.942,7.428,8.488,7.517,777,7.772,7.263,8.313,7.07,79,8.246,6.667,10.159,8.127,78,7.816,6.307,9.647,9.223,61,6.1,4.778,7.758,6.1,20.97,1.0189,1.0484,20.52,0.9971,1.0259,21.77,1.058,1.0886,20.64,1.0027,1.0318,16.11,0.7826,0.8053,5,,,助手头部1k,助手语音1k,2.146,1.35,5,5,4,4,6,查询疾病最快最有效治疗方法,48.8,是,0.06,收到分层治疗路径（就医指征、规范治疗、安全自助措施）而非单一药名或未证实的根治承诺后即满足。
DISEASE_SYMPTOM_LIST,查询疾病的症状与早期征兆,用户以已知疾病或急症名称为输入，要求列出其症状、前兆、早期表现等对照清单。,1439,6.27,666,6.661,6.189,7.167,8.548,683,6.831,6.353,7.343,8.301,54,5.637,4.346,7.282,4.057,18,1.804,1.144,2.833,1.537,18,1.8,1.142,2.827,1.8,29.3,1.0625,1.4651,30.05,1.0896,1.5025,24.8,0.8991,1.2398,7.93,0.2877,0.3967,7.92,0.2871,0.3959,5,,,2026搜索,助手语音1k,5.031,3.8,6,6,6,16,12,疾病症状表现查询,74.3,否,0.06,收到该病常见/少见症状分层清单及何时需要就医的提示后即满足。
OUT_OF_DOMAIN_OR_UNCLASSIFIABLE,处理非健康或无法归入上述意图的残余,查询不属于消费者健康领域，或虽有健康相关字符但语义残缺、噪声、无法满足任一明确意图；纯按排除法归入。,1405,6.121,438,4.381,3.997,4.8,3.69,455,4.551,4.16,4.977,4.166,170,17.745,15.456,20.292,19.49,195,19.539,17.198,22.114,18.104,147,14.7,12.64,17.03,14.7,7.19,0.7157,0.3596,7.47,0.7434,0.3735,29.13,2.8989,1.4565,32.08,3.1919,1.6038,24.13,2.4014,1.2066,5,,,助手随机1k,2025搜索,15.158,4.46,8,8,2,1,2,药品功效作用查询,11.8,是,0.03,被路由到正确的非健康领域，或获得澄清/重述请求后即满足。
DISEASE_DEFINITION_CAUSE,查询疾病或医学术语的定义、病因与传染性,用户询问某病名/医学术语/检查名是什么、怎么引起、是否传染，要通俗解释而非个人化建议。,1183,5.154,552,5.521,5.09,5.986,5.03,564,5.641,5.206,6.111,5.025,21,2.192,1.438,3.328,2.28,25,2.505,1.702,3.672,2.135,21,2.1,1.378,3.189,2.1,30.74,1.0712,1.5371,31.41,1.0945,1.5705,12.21,0.4253,0.6103,13.95,0.486,0.6974,11.69,0.4074,0.5847,5,,,2026搜索,助手语音1k,3.541,2.69,7,7,10,13,11,疾病发病原因查询,32.1,否,0.05,收到该病的通俗定义、常见病因/诱因、是否传染及传播途径说明后即满足。
FEASIBILITY_CLAIM_VERDICT,对具体行为、搭配或说法给出是否可行的裁决,用户就具体行为/搭配/传闻（药与酒、食物搭配、某物能不能吃、X能治Y、偏方是否有效）要求一个明确的能/不能/真/假判定及理由。,1147,4.997,295,2.951,2.637,3.301,2.135,374,3.741,3.386,4.131,2.583,30,3.132,2.202,4.435,3.734,188,18.838,16.533,21.381,19.727,260,26.0,23.377,28.807,26.0,5.4,0.5904,0.2699,6.84,0.7485,0.3422,5.73,0.6266,0.2865,34.46,3.7695,1.7232,47.57,5.2027,2.3783,5,,,助手语音1k,2025搜索,23.049,8.81,10,9,9,2,1,查询功效副作用与禁忌,47.4,是,0.08,收到明确结论、简短理由和安全条件后即满足；泛泛功效介绍不满足。
PERSONAL_RESULT_INTERPRETATION,解读用户本人的检查数值或报告分级,用户携带自己的具体数值、阴阳性、分级或检查所见（如6.5、3个加号、2级、st-t改变）询问说明什么、是否严重、下一步怎么办。,909,3.96,428,4.281,3.901,4.696,4.451,372,3.721,3.367,4.11,3.729,15,1.566,0.951,2.567,1.008,58,5.812,4.522,7.44,5.038,36,3.6,2.612,4.944,3.6,22.56,1.0809,1.1278,19.6,0.9395,0.9802,8.25,0.3954,0.4125,30.62,1.4674,1.5311,18.97,0.909,0.9484,5,,,助手随机1k,助手头部1k,4.246,3.71,9,10,12,5,8,检验指标异常原因查询,59.5,是,0.04,收到针对该结果的正常/异常判定、常见原因和下一步复查或就医门槛后即满足。
