key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音1k_条数,助手语音1k_占比%,助手语音1k_95CI低%,助手语音1k_95CI高%,助手语音1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音1k_均衡归属%,助手语音1k_指数,助手语音1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,助手语音1k_排名,主导叶,主导叶占比%,代表串(流量最高，仅供辨识)
HERB_FOOD_EFFICACY_LOOKUP__1,HERB_FOOD_EFFICACY_LOOKUP__1,,1783,7.768,806,8.062,7.544,8.612,10.775,874,8.742,8.204,9.311,12.888,77,8.038,6.479,9.931,6.019,9,0.902,0.475,1.705,1.196,17,1.7,1.064,2.706,1.7,29.38,1.0377,1.4688,31.85,1.1253,1.5927,29.29,1.0347,1.4644,3.29,0.1161,0.1643,6.19,0.2188,0.3097,5,,,2026搜索,助手随机1k,7.84,9.69,3,1,3,25,17,药品功效作用查询,98.7,柴胡白芍枳壳煮水功效 / 黄精药材有什么功效 / 荔枝的功效作用与主治
BARE_ENTITY_LOOKUP__2,BARE_ENTITY_LOOKUP__2,,1728,7.529,1031,10.312,9.731,10.924,8.979,581,5.811,5.369,6.287,4.118,73,7.62,6.104,9.475,6.327,9,0.902,0.475,1.705,1.196,34,3.4,2.443,4.714,3.4,36.77,1.3697,1.8385,20.72,0.7719,1.036,27.17,1.0121,1.3585,3.22,0.1198,0.1608,12.12,0.4516,0.6062,5,,,2025搜索,助手随机1k,9.41,11.43,1,6,4,25,6,药品功效作用查询,47.3,自然之声助听器 / 五珍百草培元颗粒 / 黄精片
BARE_ENTITY_LOOKUP__1,BARE_ENTITY_LOOKUP__1,,1596,6.954,825,8.252,7.728,8.807,7.699,551,5.511,5.081,5.976,4.049,139,14.509,12.421,16.881,16.858,31,3.106,2.197,4.375,3.33,50,5.0,3.813,6.531,5.0,22.68,1.1867,1.1341,15.15,0.7925,0.7575,39.88,2.0866,1.9942,8.54,0.4467,0.4269,13.74,0.719,0.6872,5,,,助手头部1k,助手随机1k,11.403,4.67,2,7,2,10,5,医疗健康信息查询,62.7,成人bmi / 男性阴虱图片 / 姿势性震颤
HERB_FOOD_EFFICACY_LOOKUP__2,HERB_FOOD_EFFICACY_LOOKUP__2,,1449,6.313,594,5.941,5.495,6.422,7.343,703,7.031,6.547,7.549,8.478,70,7.307,5.824,9.131,5.634,31,3.106,2.197,4.375,2.989,51,5.1,3.9,6.644,5.1,20.86,0.9411,1.0428,24.68,1.1138,1.2342,25.65,1.1574,1.2826,10.9,0.492,0.5452,17.9,0.8078,0.8952,5,,,助手头部1k,助手随机1k,4.201,2.35,4,2,5,10,4,药品功效作用查询,82.7,西梅有什么功效 / 石榴功效和作用 / 马齿苋的作用和功效
DISEASE_SYMPTOM_LIST__2,DISEASE_SYMPTOM_LIST__2,,1269,5.529,591,5.911,5.466,6.391,7.556,599,5.991,5.543,6.474,7.252,47,4.906,3.709,6.463,3.534,15,1.503,0.913,2.465,1.281,17,1.7,1.064,2.706,1.7,29.54,1.0691,1.477,29.94,1.0836,1.4969,24.52,0.8873,1.2258,7.51,0.2718,0.3755,8.5,0.3075,0.4248,5,,,2026搜索,助手随机1k,4.488,3.99,5,4,8,17,17,疾病症状表现查询,83.8,脑梗前的预兆 / 抑郁症有哪些症状 / 甲状腺的主要症状
DRUG_EFFICACY_LOOKUP__2,DRUG_EFFICACY_LOOKUP__2,,1187,5.172,475,4.751,4.351,5.186,4.328,659,6.591,6.121,7.095,6.465,10,1.044,0.568,1.911,0.903,19,1.904,1.222,2.954,3.245,24,2.4,1.618,3.546,2.4,28.47,0.9187,1.4233,39.49,1.2745,1.9746,6.25,0.2018,0.3127,11.41,0.3681,0.5703,14.38,0.4641,0.719,5,,,2026搜索,助手头部1k,5.547,6.31,7,3,17,15,12,药品功效作用查询,87.6,普拉洛芬滴眼液作用 / 五维他口服液功效 / 甲钴胺的功效
TREATMENT_SEEKING__1,TREATMENT_SEEKING__1,,1105,4.814,503,5.031,4.62,5.477,4.868,479,4.791,4.389,5.227,4.359,53,5.532,4.254,7.166,4.652,41,4.108,3.043,5.526,5.636,29,2.9,2.027,4.134,2.9,22.5,1.045,1.1249,21.42,0.9951,1.0712,24.74,1.1491,1.237,18.37,0.8533,0.9185,12.97,0.6024,0.6484,5,,,助手头部1k,助手语音1k,2.632,1.91,6,8,6,6,9,查询疾病最快最有效治疗方法,78.6,气虚出汗严重怎么调理 / 孩子总是生病免疫力差怎么办 / 高血压断根最好的土方法
OUT_OF_DOMAIN_OR_UNCLASSIFIABLE__1,OUT_OF_DOMAIN_OR_UNCLASSIFIABLE__1,,1094,4.766,327,3.271,2.94,3.638,2.784,314,3.141,2.816,3.501,2.292,145,15.136,13.006,17.544,16.34,177,17.735,15.491,20.228,16.482,131,13.1,11.149,15.333,13.1,6.24,0.6862,0.3122,6.0,0.6589,0.2998,28.89,3.1755,1.4447,33.86,3.7209,1.6929,25.01,2.7484,1.2504,5,,,助手随机1k,2026搜索,14.595,5.65,9,9,1,1,2,健康指标正常值范围查询,11.3,胆结石禁吃一览表 / 女性的bmi大好还是小好 / 肠胃健康指南
DRUG_EFFICACY_LOOKUP__4,DRUG_EFFICACY_LOOKUP__4,,1049,4.57,433,4.331,3.949,4.748,4.858,589,5.891,5.446,6.37,7.629,16,1.67,1.031,2.696,1.111,6,0.601,0.276,1.305,0.854,5,0.5,0.214,1.165,0.5,33.33,0.9476,1.6666,45.34,1.289,2.267,12.85,0.3654,0.6427,4.63,0.1315,0.2313,3.85,0.1094,0.1924,5,,,2026搜索,助手语音1k,5.391,11.78,8,5,13,30,32,药品功效作用查询,92.7,暖胃舒乐片的功效 / 甲钴胺片的功效和作用 / 谷维素片的功效与作用
TREATMENT_SEEKING__2,TREATMENT_SEEKING__2,,684,2.98,291,2.911,2.599,3.259,2.649,298,2.981,2.665,3.332,2.711,26,2.714,1.859,3.947,3.475,37,3.707,2.702,5.068,3.587,32,3.2,2.276,4.482,3.2,18.76,0.9767,0.9381,19.21,1.0002,0.9607,17.5,0.9107,0.8748,23.9,1.244,1.195,20.63,1.0738,1.0314,5,,,助手随机1k,助手头部1k,0.993,1.37,10,10,9,7,7,查询病症用药推荐,66.4,前列腺炎吃什么药 / 男人时间太短吃什么药治疗好 / 吃什么能变白？
FEASIBILITY_CLAIM_VERDICT__2,FEASIBILITY_CLAIM_VERDICT__2,,597,2.601,152,1.52,1.298,1.779,1.065,208,2.08,1.818,2.379,1.453,20,2.088,1.355,3.203,2.843,101,10.12,8.399,12.147,12.041,116,11.6,9.761,13.733,11.6,5.55,0.5845,0.2773,7.59,0.7998,0.3795,7.62,0.8026,0.3808,36.92,3.8908,1.8462,42.32,4.4597,2.1161,5,,,助手语音1k,2025搜索,10.08,7.63,20,14,11,2,3,查询功效副作用与禁忌,36.0,需要吃消炎药吗 / 中药治疗肿瘤有效吗 / 介入栓塞治疗肿瘤有效果吗
SYMPTOM_CAUSE_EXPLANATION__4,SYMPTOM_CAUSE_EXPLANATION__4,,586,2.553,261,2.611,2.316,2.942,2.446,248,2.48,2.193,2.804,2.241,16,1.67,1.031,2.696,1.056,32,3.206,2.28,4.491,3.245,29,2.9,2.027,4.134,2.9,20.29,1.0225,1.0144,19.28,0.9715,0.9639,12.98,0.6542,0.649,24.92,1.2559,1.2459,22.54,1.1358,1.1269,5,,,助手随机1k,助手头部1k,1.536,1.92,12,11,13,9,9,查询症状原因与治疗方法,78.2,血小板压低怎么回事 / 总感觉浑身乏力很累是什么原因 / 扭到脖子怎么办
PERSONAL_RESULT_INTERPRETATION__1,PERSONAL_RESULT_INTERPRETATION__1,,551,2.401,287,2.871,2.561,3.216,3.273,245,2.45,2.165,2.772,2.781,7,0.731,0.354,1.501,0.514,8,0.802,0.407,1.574,0.683,4,0.4,0.156,1.024,0.4,39.58,1.1957,1.9788,33.78,1.0208,1.6892,10.07,0.3044,0.5037,11.05,0.3339,0.5526,5.51,0.1666,0.2757,5,,,2025搜索,助手语音1k,2.471,7.18,11,12,26,27,34,检验指标异常原因查询,94.9,尿酸高的原因 / 胆固醇3.93算高吗 / 白细胞二加是啥意思
FEASIBILITY_CLAIM_VERDICT__1,FEASIBILITY_CLAIM_VERDICT__1,,550,2.396,143,1.43,1.215,1.682,1.07,166,1.66,1.428,1.93,1.13,10,1.044,0.568,1.911,0.891,87,8.717,7.122,10.63,7.686,144,14.4,12.36,16.712,14.4,5.25,0.5969,0.2624,6.09,0.6929,0.3046,3.83,0.4356,0.1915,31.99,3.6379,1.5994,52.84,6.0093,2.642,5,,,助手语音1k,助手头部1k,13.356,13.8,22,19,17,3,1,查询功效副作用与禁忌,59.8,有癫痫病的人不能吃哪些东西 / 乳腺癌术后多久可以吃深海鱼 / 感冒了可以吃葡萄吗？
