key,类目,快照,方向,该快照条数,该快照n,该快照占比%,其余快照合并占比%,最弱一对的区间端点pp,对比了几个快照
0,药品功效作用查询,2026搜索,显著高于其余全部,3687,9998,36.877,28.362,2.841,4
0,药品功效作用查询,助手随机1k,显著低于其余全部,48,998,4.81,33.311,-6.013,4
5,疾病治疗与手术方案查询,助手随机1k,显著高于其余全部,179,998,17.936,6.231,3.65,4
16,皮肤瘙痒起疙瘩原因与用药查询,2026搜索,显著低于其余全部,165,9998,1.65,2.47,-0.074,4
12,查询症状原因与治疗方法,助手随机1k,显著高于其余全部,60,998,6.012,2.683,0.092,4
26,身体疼痛病因查询,助手头部1k,显著低于其余全部,6,958,0.626,2.264,-0.783,4
25,医疗健康信息查询,助手头部1k,显著高于其余全部,112,958,11.691,4.41,4.109,4
11,药品及医疗产品信息查询,2025搜索,显著高于其余全部,593,9998,5.931,3.428,0.111,4
22,查询女性生理事件时间,助手随机1k,显著高于其余全部,48,998,4.81,2.405,0.283,4
27,身体异常症状原因与应对方法查询,助手随机1k,显著高于其余全部,43,998,4.309,2.236,0.42,4
20,功效副作用与禁忌查询,助手语音1k,显著高于其余全部,153,1000,15.3,3.007,1.84,4
28,查询食物寒热属性,助手头部1k,显著低于其余全部,0,958,0.0,0.85,-0.237,4
21,医院信息查询与挂号咨询,助手头部1k,显著高于其余全部,82,958,8.559,1.855,2.744,4
