key,类目,快照,方向,该快照条数,该快照n,该快照占比%,其余快照合并占比%,最弱一对的区间端点pp,对比了几个快照
HERB_FOOD_EFFICACY_LOOKUP,查询中药材/食材/茶饮的功效与作用,助手随机1k,显著低于其余全部,42,998,4.208,16.366,-1.793,4
DRUG_EFFICACY_LOOKUP,查询药品的功效与作用,2026搜索,显著高于其余全部,1659,9998,16.593,10.375,3.227,4
SYMPTOM_CAUSE_EXPLANATION,解释自身症状的原因,助手头部1k,显著低于其余全部,48,958,5.01,9.562,-1.468,4
BARE_ENTITY_LOOKUP,仅给出名称的裸实体查询,助手头部1k,显著高于其余全部,212,958,22.129,14.149,0.935,4
BARE_ENTITY_LOOKUP,仅给出名称的裸实体查询,助手随机1k,显著低于其余全部,40,998,4.008,14.959,-2.29,4
PERSONAL_RESULT_INTERPRETATION,解读用户本人的检查数值或报告分级,助手头部1k,显著低于其余全部,15,958,1.566,4.065,-0.627,4
PERSONAL_RESULT_INTERPRETATION,解读用户本人的检查数值或报告分级,助手随机1k,显著高于其余全部,58,998,5.812,3.876,0.177,4
TCM_THEORY_AND_FORMULAS,查询中医方剂组成、经络穴位与中医理论,2026搜索,显著高于其余全部,226,9998,2.26,1.197,0.51,4
FEASIBILITY_CLAIM_VERDICT,对具体行为、搭配或说法给出是否可行的裁决,助手语音1k,显著高于其余全部,260,1000,26.0,4.041,3.508,4
OPTION_ADJUDICATION,在两个或几个选项之间给出裁决,助手头部1k,显著低于其余全部,3,958,0.313,1.637,-0.554,4
CARE_LOGISTICS_COST_DURATION,查询诊疗项目的费用、时长与恢复参数,助手随机1k,显著高于其余全部,38,998,3.808,1.754,0.449,4
PROGNOSIS_SEVERITY,评估疾病的严重程度、预后或时间预期,助手随机1k,显著高于其余全部,27,998,2.705,1.175,0.524,4
DOSAGE_USAGE,查询药品用法用量与服用时机,助手头部1k,显著低于其余全部,3,958,0.313,1.319,-0.078,4
EPISODE_TRIAGE,对正在发生的具体不适做分诊与处置判断,助手随机1k,显著高于其余全部,47,998,4.709,0.451,1.597,4
CARE_ROUTING_AND_NAVIGATION,查询就医科室、医院/医生导航与挂号入口,助手头部1k,显著高于其余全部,73,958,7.62,1.823,1.327,4
