层级,快照,n,类目数,前1条数,前1行占比%,前1流量占比%,前3条数,前3行占比%,前3流量占比%,前5条数,前5行占比%,前5流量占比%,前10条数,前10行占比%,前10流量占比%,流量有效n,单行最大流量%,前10之外类数,前10之外条数,前10之外行占比%,前10之外流量占比%,第10名条数,并列类数,并列需选,边界并列,前10流量占比%低,前10流量占比%高,前10流量摆动pp
自上而下 L1 意图,2025搜索,9998,20,1856,18.56371274254851,16.677284002828596,4682,46.82936587317464,49.98079216464235,6469,64.70294058811763,66.76510960699135,8848,88.49769953990798,90.61942159384223,4160.763379749923,0.28015581322027455,10,1150,11.502300460092016,9.380578406157767,295,1,1,False,90.61942159384223,90.61942159384223,0.0
自上而下 L1 意图,2026搜索,9998,20,1768,17.683536707341467,23.475512057104705,4559,45.59911982396479,50.88930903371319,6247,62.48249649929986,66.24586689942525,8695,86.96739347869574,90.05029897718181,3375.009300478099,0.3642869389893778,10,1303,13.03260652130426,9.94970102281819,372,1,1,False,90.05029897718181,90.05029897718181,0.0
自上而下 L1 意图,助手头部1k,958,20,212,22.129436325678498,23.185017971253632,539,56.26304801670146,55.089054150576565,691,72.1294363256785,73.7287391093439,878,91.64926931106471,90.2080540245295,313.52449156238396,2.3509684615002655,10,80,8.350730688935286,9.791945975470497,21,1,1,False,90.2080540245295,90.2080540245295,0.0
自上而下 L1 意图,助手随机1k,998,20,195,19.539078156312627,18.104184457728437,470,47.09418837675351,46.37062339880444,606,60.721442885771545,60.631938514090514,815,81.66332665330661,80.87105038428693,406.29362962962955,2.9888983774551665,10,183,18.336673346693388,19.12894961571307,38,1,1,False,80.87105038428693,80.87105038428693,0.0
自上而下 L1 意图,助手语音1k,1000,20,260,26.0,26.0,519,51.9,51.9,684,68.4,68.4,884,88.4,88.4,999.9999999999998,0.1,10,116,11.599999999999994,11.599999999999994,31,1,1,False,88.4,88.4,0.0
自上而下 L2 子意图,2025搜索,9998,47,1031,10.312062412482497,8.978575939207637,2662,26.625325065013,27.452514705019148,3847,38.47769553910782,42.3511850211574,5876,58.771754350870175,61.837490302279,4160.763379749923,0.28015581322027455,37,4122,41.228245649129825,38.162509697721,291,1,1,False,61.837490302279,61.837490302279,0.0
自上而下 L2 子意图,2026搜索,9998,47,874,8.741748349669933,12.888035287045165,2236,22.364472894578917,27.830884689446005,3424,34.24684936987398,42.711486779550235,5647,56.48129625925185,60.24040288334464,3375.009300478099,0.3642869389893778,37,4351,43.51870374074815,39.75959711665536,298,1,1,False,60.24040288334464,60.24040288334464,0.0
自上而下 L2 子意图,助手头部1k,958,44,145,15.135699373695198,16.34028119950956,361,37.68267223382046,39.21743880033764,504,52.609603340292274,51.178157956051585,706,73.69519832985387,73.92888654619622,313.52449156238396,2.3509684615002655,34,252,26.304801670146134,26.071113453803775,25,1,1,False,73.92888654619622,73.92888654619622,0.0
自上而下 L2 子意图,助手随机1k,998,46,177,17.73547094188377,16.48163962425277,365,36.57314629258517,36.208368915456866,462,46.29258517034068,44.74807856532877,637,63.82765531062124,63.45004269854823,406.29362962962955,2.9888983774551665,36,361,36.17234468937876,36.54995730145177,31,2,1,True,63.10845431255336,63.45004269854823,0.34158838599486785
自上而下 L2 子意图,助手语音1k,1000,46,144,14.4,14.4,391,39.1,39.1,492,49.2,49.2,648,64.8,64.8,999.9999999999998,0.1,36,352,35.2,35.2,29,3,2,True,64.8,64.8,0.0
