td_l1_name,U01,U02,U03,U04,U05,U06,U07,U08,U09,U10,U11,U12,U13
仅给出名称的裸实体查询,2,1179,8,53,1,5,5,2,88,3,0,4,34
在两个或几个选项之间给出裁决,0,0,6,94,2,39,33,2,0,0,0,0,3
处理非健康或无法归入上述意图的残余,19,147,74,184,22,60,57,50,48,14,4,4,137
对具体行为、搭配或说法给出是否可行的裁决,0,0,13,127,269,11,132,27,0,1,2,0,10
对正在发生的具体不适做分诊与处置判断,0,0,0,2,1,13,55,0,0,1,0,1,16
寻找疾病的治疗或缓解方案,0,0,11,44,2,360,452,58,0,2,1,0,4
查询中医方剂组成、经络穴位与中医理论,0,4,23,130,0,5,0,3,75,0,0,0,1
查询中药材/食材/茶饮的功效与作用,0,0,14,1872,7,8,7,41,9,0,0,0,9
查询就医科室、医院/医生导航与挂号入口,20,119,22,17,12,59,11,17,1,0,0,0,3
查询指标的正常值或参考范围,0,1,144,2,2,0,2,0,4,0,0,0,0
查询疾病或医学术语的定义、病因与传染性,0,0,23,531,23,7,8,8,5,1,0,0,4
查询疾病的症状与早期征兆,0,0,0,667,2,0,5,2,76,0,0,1,2
查询药品用法用量与服用时机,0,0,61,20,0,68,24,1,0,0,0,0,3
查询药品的功效与作用,0,0,4,1694,7,6,4,9,0,0,0,0,1
查询诊疗项目的费用、时长与恢复参数,0,0,156,24,0,22,11,10,0,0,0,0,1
由自述症状直接索取药品或药膏,0,0,0,0,0,1,74,3,0,0,0,0,1
获取食疗/养生方的做法与搭配,0,0,1,8,0,29,14,36,0,1,0,0,0
解读用户本人的检查数值或报告分级,0,0,18,312,6,5,86,3,1,0,1,0,13
解释自身症状的原因,0,2,3,777,2,29,200,19,4,0,1,0,9
评估疾病的严重程度、预后或时间预期,0,0,22,84,9,1,43,2,0,0,1,0,0
