key,类目,搜索条数,搜索n,搜索占比%,助手条数,助手n,助手占比%,差_pp,低_pp,高_pp,显著,归属,另一边期望条数,另一边P(0),缺席判定,助手行占该类比例%
1,医院及医生信息查询,541,10000,5.41,114,21568,0.529,-4.881,-5.351,-4.442,True,两界面都有,,,,17.4
4,医生信息查询,184,10000,1.84,71,21568,0.329,-1.511,-1.801,-1.251,True,两界面都有,,,,27.84
26,查询骨科伤病诊疗与康复信息,443,10000,4.43,648,21568,3.004,-1.426,-1.9,-0.973,True,两界面都有,,,,59.4
25,中药与中成药信息查询,500,10000,5.0,790,21568,3.663,-1.337,-1.844,-0.852,True,两界面都有,,,,61.24
3,查询中医机构、医生与术语,149,10000,1.49,44,21568,0.204,-1.286,-1.548,-1.056,True,两界面都有,,,,22.8
34,查询皮肤黏膜异常症状与处理建议,571,10000,5.71,960,21568,4.451,-1.259,-1.801,-0.737,True,两界面都有,,,,62.7
32,症状原因查询#32,380,10000,3.8,599,21568,2.777,-1.023,-1.469,-0.599,True,两界面都有,,,,61.18
27,肢体不适症状查询,288,10000,2.88,401,21568,1.859,-1.021,-1.407,-0.658,True,两界面都有,,,,58.2
10,查询食物营养与健康影响,536,10000,5.36,994,21568,4.609,-0.751,-1.285,-0.238,True,两界面都有,,,,64.97
6,食物药物同食同服查询,146,10000,1.46,154,21568,0.714,-0.746,-1.021,-0.497,True,两界面都有,,,,51.33
0,查询医疗机构联系电话,75,10000,0.75,8,21568,0.037,-0.713,-0.903,-0.557,True,两界面都有,,,,9.64
13,特定场景饮品饮用适宜性查询,260,10000,2.6,451,21568,2.091,-0.509,-0.887,-0.153,True,两界面都有,,,,63.43
9,查询特定健康或用药情形下能否吃某物或做某事,357,10000,3.57,679,21568,3.148,-0.422,-0.865,0.0,False,两界面都有,,,,65.54
15,解读个人健康指标与用药疑问,226,10000,2.26,449,21568,2.082,-0.178,-0.538,0.16,False,两界面都有,,,,66.52
19,判断身体症状或检查结果是否正常,182,10000,1.82,370,21568,1.716,-0.104,-0.43,0.2,False,两界面都有,,,,67.03
8,查询食物药物能否食用,215,10000,2.15,444,21568,2.059,-0.091,-0.445,0.241,False,两界面都有,,,,67.37
28,查询身体不适症状原因,293,10000,2.93,625,21568,2.898,-0.032,-0.442,0.358,False,两界面都有,,,,68.08
29,解答月经避孕怀孕相关疑问,229,10000,2.29,489,21568,2.267,-0.023,-0.388,0.322,False,两界面都有,,,,68.11
33,症状原因查询#33,283,10000,2.83,611,21568,2.833,0.003,-0.401,0.387,False,两界面都有,,,,68.34
35,呼吸道症状与用药建议查询,390,10000,3.9,845,21568,3.918,0.018,-0.452,0.468,False,两界面都有,,,,68.42
7,解答婴幼儿喂养与奶类营养问题,103,10000,1.03,240,21568,1.113,0.083,-0.171,0.316,False,两界面都有,,,,69.97
18,血糖与糖尿病管理查询,209,10000,2.09,485,21568,2.249,0.159,-0.196,0.493,False,两界面都有,,,,69.88
14,血压问题查询,135,10000,1.35,330,21568,1.53,0.18,-0.111,0.451,False,两界面都有,,,,70.97
17,查询心脑血管疾病诊疗信息,275,10000,2.75,685,21568,3.176,0.426,0.019,0.814,True,两界面都有,,,,71.35
12,病症用药饮食查询,276,10000,2.76,697,21568,3.232,0.472,0.063,0.861,True,两界面都有,,,,71.63
31,查询健康症状处理办法,204,10000,2.04,555,21568,2.573,0.533,0.174,0.873,True,两界面都有,,,,73.12
11,健康利弊查询,98,10000,0.98,358,21568,1.66,0.68,0.412,0.931,True,两界面都有,,,,78.51
36,医疗恢复与检查时间查询,349,10000,3.49,967,21568,4.483,0.993,0.53,1.438,True,两界面都有,,,,73.48
16,查询化验检查指标含义与异常原因,271,10000,2.71,814,21568,3.774,1.064,0.647,1.463,True,两界面都有,,,,75.02
23,查询物品功效与作用,100,10000,1.0,647,21568,3.0,2.0,1.693,2.295,True,两界面都有,,,,86.61
24,药品用法与相互作用查询,601,10000,6.01,1876,21568,8.698,2.688,2.08,3.279,True,两界面都有,,,,75.74
30,查询疾病症状与诊疗信息,645,10000,6.45,2121,21568,9.834,3.384,2.751,4.0,True,两界面都有,,,,76.68
20,功效作用与副作用查询,486,10000,4.86,2047,21568,9.491,4.631,4.048,5.199,True,两界面都有,,,,80.81
