key,类目,a,b,k_a,k_b,n_a,n_b,占比_a%,占比_b%,差_pp,低_pp,高_pp,显著,类型
ACUTE_EMERGENCY_TRIAGE,急性事件与意外暴露的分诊处理,传统搜索随机1w,健康管家随机1w,59,66,10000,10316,0.59,0.64,0.05,-0.168,0.268,False,共有
CONTEXT_DEPENDENT_FOLLOW_UP,无指代追问与拍照实物识别,传统搜索随机1w,健康管家随机1w,127,194,10000,10316,1.27,1.881,0.611,0.269,0.956,True,共有
DIAGNOSIS_PROGNOSIS_VERDICT,判定疾病可能性、病情走向与预后,传统搜索随机1w,健康管家随机1w,499,770,10000,10316,4.99,7.464,2.474,1.812,3.139,True,共有
DIAGRAM_MEDIA_LOOKUP,获取结构图示、位置或流程视频,传统搜索随机1w,健康管家随机1w,178,119,10000,10316,1.78,1.154,-0.626,-0.963,-0.297,True,共有
DOSAGE_ADMINISTRATION,查询具体药物的用法、剂量与疗程,传统搜索随机1w,健康管家随机1w,229,322,10000,10316,2.29,3.121,0.831,0.385,1.279,True,共有
EFFICACY_VERDICT,验证药物、偏方或疗法的有效性,传统搜索随机1w,健康管家随机1w,414,404,10000,10316,4.14,3.916,-0.224,-0.767,0.317,False,共有
ENTITY_COMPARISON,比较两个或多个实体的异同或优劣,传统搜索随机1w,健康管家随机1w,217,224,10000,10316,2.17,2.171,0.001,-0.402,0.403,False,共有
HEALTH_VALUE_CALCULATION,计算健康相关数值,传统搜索随机1w,健康管家随机1w,49,50,10000,10316,0.49,0.485,-0.005,-0.201,0.189,False,共有
HOME_DEVICE_SELFTEST,家用检测器械的使用与结果判读,传统搜索随机1w,健康管家随机1w,12,3,10000,10316,0.12,0.029,-0.091,-0.183,-0.015,True,共有
INTERACTION_VERDICT,判断药物、食物、酒类之间的相互作用,传统搜索随机1w,健康管家随机1w,290,268,10000,10316,2.9,2.598,-0.302,-0.754,0.148,False,共有
MEDICAL_KNOWLEDGE_LOOKUP,查询医学名词、检查、疫苗或疾病定义,传统搜索随机1w,健康管家随机1w,1481,1223,10000,10316,14.81,11.855,-2.955,-3.89,-2.02,True,共有
OWN_CASE_VERDICT,判读个人测量值、检查结果或自身发现,传统搜索随机1w,健康管家随机1w,688,1172,10000,10316,6.88,11.361,4.481,3.693,5.27,True,共有
PERMISSION_VERDICT,判断个人情形下能否做某事或吃某物,传统搜索随机1w,健康管家随机1w,650,786,10000,10316,6.5,7.619,1.119,0.415,1.824,True,共有
PROCEDURE_EXPERIENCE,了解诊疗过程的真实体验与实况,传统搜索随机1w,健康管家随机1w,31,27,10000,10316,0.31,0.262,-0.048,-0.202,0.102,False,共有
PRODUCT_INFO_LOOKUP,查询药品、药材、保健品或食物的基本信息与功效,传统搜索随机1w,健康管家随机1w,1160,999,10000,10316,11.6,9.684,-1.916,-2.765,-1.068,True,共有
PROVIDER_NAVIGATION_AND_ADMIN,就医导航、机构核实与医疗行政事务,传统搜索随机1w,健康管家随机1w,1093,244,10000,10316,10.93,2.365,-8.565,-9.249,-7.892,True,共有
RECOVERY_TIMELINE,查询术后、伤后或治疗后的恢复时间线,传统搜索随机1w,健康管家随机1w,133,218,10000,10316,1.33,2.113,0.783,0.427,1.144,True,共有
REPRODUCTIVE_TIMELINE,推算怀孕、排卵、验孕或预产时间窗,传统搜索随机1w,健康管家随机1w,38,51,10000,10316,0.38,0.494,0.114,-0.07,0.3,False,共有
SYMPTOM_CAUSE_LOOKUP,查询症状或体征的原因,传统搜索随机1w,健康管家随机1w,1614,1845,10000,10316,16.14,17.885,1.745,0.711,2.777,True,共有
TREATMENT_SEEKING,寻求症状或疾病的治疗方案与用药推荐,传统搜索随机1w,健康管家随机1w,1038,1331,10000,10316,10.38,12.902,2.522,1.641,3.403,True,共有
ACUTE_EMERGENCY_TRIAGE,急性事件与意外暴露的分诊处理,传统搜索随机1w,健康管家Top1w,59,91,10000,11252,0.59,0.809,0.219,-0.008,0.445,False,共有
CONTEXT_DEPENDENT_FOLLOW_UP,无指代追问与拍照实物识别,传统搜索随机1w,健康管家Top1w,127,51,10000,11252,1.27,0.453,-0.817,-1.079,-0.57,True,共有
DIAGNOSIS_PROGNOSIS_VERDICT,判定疾病可能性、病情走向与预后,传统搜索随机1w,健康管家Top1w,499,637,10000,11252,4.99,5.661,0.671,0.065,1.274,True,共有
DIAGRAM_MEDIA_LOOKUP,获取结构图示、位置或流程视频,传统搜索随机1w,健康管家Top1w,178,115,10000,11252,1.78,1.022,-0.758,-1.084,-0.442,True,共有
DOSAGE_ADMINISTRATION,查询具体药物的用法、剂量与疗程,传统搜索随机1w,健康管家Top1w,229,471,10000,11252,2.29,4.186,1.896,1.424,2.37,True,共有
EFFICACY_VERDICT,验证药物、偏方或疗法的有效性,传统搜索随机1w,健康管家Top1w,414,229,10000,11252,4.14,2.035,-2.105,-2.581,-1.64,True,共有
ENTITY_COMPARISON,比较两个或多个实体的异同或优劣,传统搜索随机1w,健康管家Top1w,217,186,10000,11252,2.17,1.653,-0.517,-0.892,-0.149,True,共有
HEALTH_VALUE_CALCULATION,计算健康相关数值,传统搜索随机1w,健康管家Top1w,49,15,10000,11252,0.49,0.133,-0.357,-0.522,-0.209,True,共有
HOME_DEVICE_SELFTEST,家用检测器械的使用与结果判读,传统搜索随机1w,健康管家Top1w,12,4,10000,11252,0.12,0.036,-0.084,-0.177,-0.009,True,共有
INTERACTION_VERDICT,判断药物、食物、酒类之间的相互作用,传统搜索随机1w,健康管家Top1w,290,118,10000,11252,2.9,1.049,-1.851,-2.239,-1.478,True,共有
MEDICAL_KNOWLEDGE_LOOKUP,查询医学名词、检查、疫苗或疾病定义,传统搜索随机1w,健康管家Top1w,1481,2460,10000,11252,14.81,21.863,7.053,6.017,8.084,True,共有
OWN_CASE_VERDICT,判读个人测量值、检查结果或自身发现,传统搜索随机1w,健康管家Top1w,688,417,10000,11252,6.88,3.706,-3.174,-3.786,-2.571,True,共有
PERMISSION_VERDICT,判断个人情形下能否做某事或吃某物,传统搜索随机1w,健康管家Top1w,650,365,10000,11252,6.5,3.244,-3.256,-3.845,-2.677,True,共有
PROCEDURE_EXPERIENCE,了解诊疗过程的真实体验与实况,传统搜索随机1w,健康管家Top1w,31,13,10000,11252,0.31,0.116,-0.194,-0.333,-0.072,True,共有
PRODUCT_INFO_LOOKUP,查询药品、药材、保健品或食物的基本信息与功效,传统搜索随机1w,健康管家Top1w,1160,3474,10000,11252,11.6,30.875,19.275,18.211,20.331,True,共有
PROVIDER_NAVIGATION_AND_ADMIN,就医导航、机构核实与医疗行政事务,传统搜索随机1w,健康管家Top1w,1093,217,10000,11252,10.93,1.929,-9.001,-9.672,-8.346,True,共有
RECOVERY_TIMELINE,查询术后、伤后或治疗后的恢复时间线,传统搜索随机1w,健康管家Top1w,133,124,10000,11252,1.33,1.102,-0.228,-0.529,0.067,False,共有
REPRODUCTIVE_TIMELINE,推算怀孕、排卵、验孕或预产时间窗,传统搜索随机1w,健康管家Top1w,38,32,10000,11252,0.38,0.284,-0.096,-0.259,0.06,False,共有
SYMPTOM_CAUSE_LOOKUP,查询症状或体征的原因,传统搜索随机1w,健康管家Top1w,1614,916,10000,11252,16.14,8.141,-7.999,-8.882,-7.121,True,共有
TREATMENT_SEEKING,寻求症状或疾病的治疗方案与用药推荐,传统搜索随机1w,健康管家Top1w,1038,1317,10000,11252,10.38,11.705,1.325,0.48,2.166,True,共有
ACUTE_EMERGENCY_TRIAGE,急性事件与意外暴露的分诊处理,健康管家随机1w,健康管家Top1w,66,91,10316,11252,0.64,0.809,0.169,-0.06,0.397,False,共有
CONTEXT_DEPENDENT_FOLLOW_UP,无指代追问与拍照实物识别,健康管家随机1w,健康管家Top1w,194,51,10316,11252,1.881,0.453,-1.427,-1.728,-1.144,True,共有
DIAGNOSIS_PROGNOSIS_VERDICT,判定疾病可能性、病情走向与预后,健康管家随机1w,健康管家Top1w,770,637,10316,11252,7.464,5.661,-1.803,-2.469,-1.142,True,共有
DIAGRAM_MEDIA_LOOKUP,获取结构图示、位置或流程视频,健康管家随机1w,健康管家Top1w,119,115,10316,11252,1.154,1.022,-0.132,-0.413,0.146,False,共有
DOSAGE_ADMINISTRATION,查询具体药物的用法、剂量与疗程,健康管家随机1w,健康管家Top1w,322,471,10316,11252,3.121,4.186,1.065,0.564,1.565,True,共有
EFFICACY_VERDICT,验证药物、偏方或疗法的有效性,健康管家随机1w,健康管家Top1w,404,229,10316,11252,3.916,2.035,-1.881,-2.343,-1.428,True,共有
ENTITY_COMPARISON,比较两个或多个实体的异同或优劣,健康管家随机1w,健康管家Top1w,224,186,10316,11252,2.171,1.653,-0.518,-0.89,-0.153,True,共有
HEALTH_VALUE_CALCULATION,计算健康相关数值,健康管家随机1w,健康管家Top1w,50,15,10316,11252,0.485,0.133,-0.351,-0.514,-0.206,True,共有
HOME_DEVICE_SELFTEST,家用检测器械的使用与结果判读,健康管家随机1w,健康管家Top1w,3,4,10316,11252,0.029,0.036,0.006,-0.054,0.066,False,共有
INTERACTION_VERDICT,判断药物、食物、酒类之间的相互作用,健康管家随机1w,健康管家Top1w,268,118,10316,11252,2.598,1.049,-1.549,-1.917,-1.194,True,共有
MEDICAL_KNOWLEDGE_LOOKUP,查询医学名词、检查、疫苗或疾病定义,健康管家随机1w,健康管家Top1w,1223,2460,10316,11252,11.855,21.863,10.007,9.02,10.992,True,共有
OWN_CASE_VERDICT,判读个人测量值、检查结果或自身发现,健康管家随机1w,健康管家Top1w,1172,417,10316,11252,11.361,3.706,-7.655,-8.365,-6.954,True,共有
PERMISSION_VERDICT,判断个人情形下能否做某事或吃某物,健康管家随机1w,健康管家Top1w,786,365,10316,11252,7.619,3.244,-4.375,-4.988,-3.772,True,共有
PROCEDURE_EXPERIENCE,了解诊疗过程的真实体验与实况,健康管家随机1w,健康管家Top1w,27,13,10316,11252,0.262,0.116,-0.146,-0.274,-0.03,True,共有
PRODUCT_INFO_LOOKUP,查询药品、药材、保健品或食物的基本信息与功效,健康管家随机1w,健康管家Top1w,999,3474,10316,11252,9.684,30.875,21.191,20.161,22.214,True,共有
PROVIDER_NAVIGATION_AND_ADMIN,就医导航、机构核实与医疗行政事务,健康管家随机1w,健康管家Top1w,244,217,10316,11252,2.365,1.929,-0.437,-0.829,-0.05,True,共有
RECOVERY_TIMELINE,查询术后、伤后或治疗后的恢复时间线,健康管家随机1w,健康管家Top1w,218,124,10316,11252,2.113,1.102,-1.011,-1.356,-0.677,True,共有
REPRODUCTIVE_TIMELINE,推算怀孕、排卵、验孕或预产时间窗,健康管家随机1w,健康管家Top1w,51,32,10316,11252,0.494,0.284,-0.21,-0.386,-0.044,True,共有
SYMPTOM_CAUSE_LOOKUP,查询症状或体征的原因,健康管家随机1w,健康管家Top1w,1845,916,10316,11252,17.885,8.141,-9.744,-10.642,-8.85,True,共有
TREATMENT_SEEKING,寻求症状或疾病的治疗方案与用药推荐,健康管家随机1w,健康管家Top1w,1331,1317,10316,11252,12.902,11.705,-1.198,-2.078,-0.321,True,共有
