层级,a,b,n_a,n_b,秩相关rho,前5重合个数,首位是否相同,TVD,TVD低,TVD高,同源噪声上界,超出噪声,CramersV
自上而下 L1 意图,传统搜索随机1w,健康管家随机1w,10000,10316,0.9383,4,True,0.1473,0.1376,0.1628,0.0394,True,0.2094
自上而下 L1 意图,传统搜索随机1w,健康管家Top1w,10000,11252,0.9188,4,False,0.3044,0.2921,0.3166,0.0372,True,0.35
自上而下 L1 意图,健康管家随机1w,健康管家Top1w,10316,11252,0.9459,4,False,0.3244,0.3122,0.336,0.0378,True,0.3647
自上而下 L2 子意图,传统搜索随机1w,健康管家随机1w,10000,10316,0.8349,3,False,0.154,0.1461,0.171,0.0608,True,0.2332
自上而下 L2 子意图,传统搜索随机1w,健康管家Top1w,10000,11252,0.7531,3,False,0.3321,0.3218,0.3452,0.0588,True,0.3878
自上而下 L2 子意图,健康管家随机1w,健康管家Top1w,10316,11252,0.8026,2,False,0.3333,0.3237,0.3462,0.0587,True,0.3903
自下而上 家族,传统搜索随机1w,健康管家随机1w,10000,10316,0.8186,3,False,0.1154,0.1088,0.1306,0.0529,True,0.1971
自下而上 家族,传统搜索随机1w,健康管家Top1w,10000,11252,0.5257,3,False,0.2839,0.2738,0.2978,0.0516,True,0.3529
自下而上 家族,健康管家随机1w,健康管家Top1w,10316,11252,0.6855,2,False,0.2569,0.2452,0.2701,0.0499,True,0.3078
自下而上 叶,传统搜索随机1w,健康管家随机1w,10000,10316,0.8186,3,False,0.1154,0.1085,0.1303,0.0529,True,0.1971
自下而上 叶,传统搜索随机1w,健康管家Top1w,10000,11252,0.5257,3,False,0.2839,0.2719,0.2966,0.0512,True,0.3529
自下而上 叶,健康管家随机1w,健康管家Top1w,10316,11252,0.6855,2,False,0.2569,0.2446,0.2703,0.0498,True,0.3078
