来源,source,tier,串数,当日PV,串数占该来源%,当日PV占该来源%
健康管家随机1w,mai_2609r,C1_content_free,2,2,0.019,0.014
健康管家随机1w,mai_2609r,H1_intake_answer,294,315,2.768,2.19
健康管家随机1w,mai_2609r,H2_feature_or_facet,1,1,0.009,0.007
健康管家随机1w,mai_2609r,H3_pushed_suggestion,2,4,0.019,0.028
健康管家随机1w,mai_2609r,H5_doctor_card,6,15,0.056,0.104
健康管家随机1w,mai_2609r,user,10317,14048,97.129,97.657
健康管家Top1w,mai_2609t,C1_content_free,1,28,0.009,0.007
健康管家Top1w,mai_2609t,H1_intake_answer,139,5397,1.212,1.287
健康管家Top1w,mai_2609t,H2_feature_or_facet,21,2717,0.183,0.648
健康管家Top1w,mai_2609t,H5_doctor_card,51,1320,0.445,0.315
健康管家Top1w,mai_2609t,user,11252,409816,98.151,97.743
传统搜索随机1w,msearch_2609r,user,10000,46736,100.0,100.0
