key,类目,缺席快照,该快照n,其余快照条数,其余快照n,参照占比%,期望条数,P(0),该快照上界%,最高占比快照,最高占比%,判定
RESULT_INTERPRETATION__1,RESULT_INTERPRETATION__1,助手语音头部1k,1067,522,42952,1.215,12.97,0.0,0.345,2025搜索,1.86,真缺席
RECOVERY_TIMING__2,RECOVERY_TIMING__2,助手语音头部1k,1067,279,42952,0.65,6.93,0.001,0.345,助手随机1k,1.804,真缺席
PHARMA_COMPANY_LOOKUP__1,PHARMA_COMPANY_LOOKUP__1,助手随机1k,998,131,43021,0.305,3.04,0.0477,0.369,2026搜索,0.73,偏少但证据弱
DOSAGE_ADMINISTRATION__5,DOSAGE_ADMINISTRATION__5,助手头部1k,958,78,43061,0.181,1.74,0.1761,0.384,2026搜索,0.26,不可判定（样本量不足）
DOSAGE_ADMINISTRATION__5,DOSAGE_ADMINISTRATION__5,助手随机1k,998,78,43021,0.181,1.81,0.1635,0.369,2026搜索,0.26,不可判定（样本量不足）
DOSAGE_ADMINISTRATION__5,DOSAGE_ADMINISTRATION__5,助手语音头部1k,1067,78,42952,0.182,1.94,0.1438,0.345,2026搜索,0.26,不可判定（样本量不足）
DOSAGE_ADMINISTRATION__4,DOSAGE_ADMINISTRATION__4,助手语音头部1k,1067,156,42952,0.363,3.88,0.0206,0.345,助手语音1k,0.6,偏少但证据弱
COMPARISON_DIFFERENCE_VERDICT__4,COMPARISON_DIFFERENCE_VERDICT__4,助手头部1k,958,107,43061,0.248,2.38,0.0922,0.384,助手随机1k,0.501,不可判定（样本量不足）
COMPARISON_DIFFERENCE_VERDICT__4,COMPARISON_DIFFERENCE_VERDICT__4,助手语音头部1k,1067,107,42952,0.249,2.66,0.0699,0.345,助手随机1k,0.501,不可判定（样本量不足）
RECOVERY_TIMING__1,RECOVERY_TIMING__1,助手语音头部1k,1067,262,42952,0.61,6.51,0.0015,0.345,助手随机1k,1.002,真缺席
DOSAGE_ADMINISTRATION__1,DOSAGE_ADMINISTRATION__1,助手语音头部1k,1067,78,42952,0.182,1.94,0.1438,0.345,2026搜索,0.28,不可判定（样本量不足）
DOSAGE_ADMINISTRATION__3,DOSAGE_ADMINISTRATION__3,助手语音头部1k,1067,136,42952,0.317,3.38,0.0339,0.345,2026搜索,0.44,偏少但证据弱
DOSAGE_ADMINISTRATION__3,DOSAGE_ADMINISTRATION__3,助手语音1k,1000,136,43019,0.316,3.16,0.0422,0.368,2026搜索,0.44,偏少但证据弱
PROGNOSIS_CONTAGION_VERDICT__4,PROGNOSIS_CONTAGION_VERDICT__4,助手头部1k,958,100,43061,0.232,2.22,0.1078,0.384,2026搜索,0.34,不可判定（样本量不足）
PROGNOSIS_CONTAGION_VERDICT__4,PROGNOSIS_CONTAGION_VERDICT__4,助手语音头部1k,1067,100,42952,0.233,2.48,0.0832,0.345,2026搜索,0.34,不可判定（样本量不足）
COMPARISON_DIFFERENCE_VERDICT__1,COMPARISON_DIFFERENCE_VERDICT__1,助手语音头部1k,1067,128,42952,0.298,3.18,0.0414,0.345,助手语音1k,0.5,偏少但证据弱
DOSAGE_ADMINISTRATION__6,DOSAGE_ADMINISTRATION__6,助手语音头部1k,1067,190,42952,0.442,4.72,0.0088,0.345,助手随机1k,1.002,偏少但证据弱
EFFICACY_AUTHENTICITY_CHECK__3,EFFICACY_AUTHENTICITY_CHECK__3,助手语音头部1k,1067,71,42952,0.165,1.76,0.1711,0.345,2026搜索随机1w,0.25,不可判定（样本量不足）
PROGNOSIS_CONTAGION_VERDICT__3,PROGNOSIS_CONTAGION_VERDICT__3,助手语音头部1k,1067,82,42952,0.191,2.04,0.1302,0.345,助手头部1k,0.418,不可判定（样本量不足）
PROGNOSIS_CONTAGION_VERDICT__3,PROGNOSIS_CONTAGION_VERDICT__3,助手语音1k,1000,82,43019,0.191,1.91,0.1484,0.368,助手头部1k,0.418,不可判定（样本量不足）
DOSAGE_ADMINISTRATION__2,DOSAGE_ADMINISTRATION__2,助手头部1k,958,154,43061,0.358,3.43,0.0323,0.384,助手随机1k,1.102,偏少但证据弱
DOSAGE_ADMINISTRATION__2,DOSAGE_ADMINISTRATION__2,助手语音头部1k,1067,154,42952,0.359,3.83,0.0217,0.345,助手随机1k,1.102,偏少但证据弱
COMPARISON_DIFFERENCE_VERDICT__3,COMPARISON_DIFFERENCE_VERDICT__3,助手头部1k,958,88,43061,0.204,1.96,0.1409,0.384,助手语音1k,0.5,不可判定（样本量不足）
REFERENCE_VALUE_CALCULATOR__3,REFERENCE_VALUE_CALCULATOR__3,助手语音头部1k,1067,227,42952,0.528,5.64,0.0035,0.345,2025搜索随机1w,0.79,真缺席
COMPARISON_DIFFERENCE_VERDICT__6,COMPARISON_DIFFERENCE_VERDICT__6,助手语音头部1k,1067,57,42952,0.133,1.42,0.2425,0.345,助手随机1k,0.401,不可判定（样本量不足）
COMPARISON_DIFFERENCE_VERDICT__6,COMPARISON_DIFFERENCE_VERDICT__6,助手语音1k,1000,57,43019,0.132,1.32,0.2656,0.368,助手随机1k,0.401,不可判定（样本量不足）
EFFICACY_AUTHENTICITY_CHECK__1,EFFICACY_AUTHENTICITY_CHECK__1,助手头部1k,958,137,43061,0.318,3.05,0.0472,0.384,2025搜索随机1w,0.58,偏少但证据弱
EFFICACY_AUTHENTICITY_CHECK__1,EFFICACY_AUTHENTICITY_CHECK__1,助手语音头部1k,1067,137,42952,0.319,3.4,0.0331,0.345,2025搜索随机1w,0.58,偏少但证据弱
