key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2025搜索随机1w_n,2025搜索随机1w_置信度均值,2025搜索随机1w_意图歧义%,2025搜索随机1w_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,2026搜索随机1w_n,2026搜索随机1w_置信度均值,2026搜索随机1w_意图歧义%,2026搜索随机1w_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,助手语音头部1k_n,助手语音头部1k_置信度均值,助手语音头部1k_意图歧义%,助手语音头部1k_聚类歧义%,助手语音1k_n,助手语音1k_置信度均值,助手语音1k_意图歧义%,助手语音1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
ACCIDENTAL_INGESTION_FIRST_AID__1,ACCIDENTAL_INGESTION_FIRST_AID__1,6,1,0.5563,0.0,0.0,3,0.3884,0.0,0.0,1,0.5563,0.0,0.0,1,0.3737,0.0,0.0,0,,,,0,,,,0,,,,0,,,,,,0.4419
NON_HEALTH_OTHER__1,NON_HEALTH_OTHER__1,891,67,0.4663,8.96,17.91,302,0.4758,5.63,33.44,60,0.4828,10.0,18.33,290,0.4757,4.83,36.55,42,0.5991,4.76,21.43,75,0.5628,8.0,34.67,12,0.6755,0.0,25.0,43,0.5169,6.98,23.26,2025搜索,0.1328,0.4933
RECOVERY_TIMING__2,RECOVERY_TIMING__2,279,29,0.4879,3.45,17.24,89,0.5122,2.25,16.85,39,0.5157,2.56,12.82,97,0.4855,6.19,22.68,3,0.6027,0.0,0.0,18,0.4754,11.11,16.67,0,,,,4,0.5567,0.0,0.0,2026搜索随机1w,0.0302,0.5001
PROGNOSIS_CONTAGION_VERDICT__1,PROGNOSIS_CONTAGION_VERDICT__1,183,4,0.547,25.0,0.0,79,0.5162,7.59,10.13,12,0.462,0.0,0.0,68,0.5004,2.94,17.65,2,0.3123,0.0,50.0,13,0.4765,0.0,7.69,3,0.4463,0.0,0.0,2,0.4384,0.0,50.0,2026搜索随机1w,0.0158,0.5004
COMPARISON_DIFFERENCE_VERDICT__6,COMPARISON_DIFFERENCE_VERDICT__6,57,8,0.4668,0.0,25.0,13,0.4804,0.0,46.15,13,0.5297,0.0,30.77,18,0.5312,5.56,50.0,1,0.3122,0.0,0.0,4,0.5547,0.0,50.0,0,,,,0,,,,,,0.508
PROGNOSIS_CONTAGION_VERDICT__3,PROGNOSIS_CONTAGION_VERDICT__3,82,22,0.5039,4.55,13.64,18,0.4998,11.11,16.67,22,0.5167,9.09,18.18,12,0.5495,0.0,16.67,4,0.3899,0.0,0.0,4,0.5179,0.0,0.0,0,,,,0,,,,2025搜索,0.0128,0.5082
DOSAGE_ADMINISTRATION__6,DOSAGE_ADMINISTRATION__6,190,27,0.6228,0.0,11.11,53,0.5294,1.89,24.53,28,0.5652,3.57,21.43,66,0.543,4.55,25.76,1,0.57,0.0,0.0,10,0.5191,0.0,10.0,0,,,,5,0.6237,0.0,0.0,2025搜索随机1w,0.0934,0.5548
EFFICACY_AUTHENTICITY_CHECK__2,EFFICACY_AUTHENTICITY_CHECK__2,166,5,0.5776,0.0,0.0,60,0.5418,5.0,11.67,33,0.5977,3.03,12.12,56,0.549,0.0,8.93,0,,,,6,0.5148,0.0,33.33,1,0.7861,0.0,0.0,5,0.5671,0.0,0.0,2025搜索随机1w,0.0559,0.5577
EFFICACY_AUTHENTICITY_CHECK__3,EFFICACY_AUTHENTICITY_CHECK__3,71,12,0.689,8.33,25.0,17,0.5109,0.0,41.18,12,0.6507,0.0,33.33,25,0.6012,0.0,32.0,1,0.3518,0.0,0.0,2,0.6284,0.0,50.0,0,,,,2,0.2828,0.0,0.0,2026搜索随机1w,,0.5911
COMPARISON_DIFFERENCE_VERDICT__3,COMPARISON_DIFFERENCE_VERDICT__3,88,4,0.5383,0.0,50.0,36,0.6584,5.56,61.11,4,0.4764,0.0,75.0,35,0.5696,5.71,37.14,0,,,,3,0.6047,0.0,66.67,1,0.2692,0.0,100.0,5,0.4623,0.0,20.0,2026搜索随机1w,0.0888,0.5919
