key,类目,快照,该类该快照条数,可引条数,取法,query,pv_raw
9,查询药物功效与主治,2025搜索,1271,1241,流量最高,荔枝的功效作用与主治,27253.0
9,查询药物功效与主治,2025搜索,1271,1241,流量最高,紫苏叶的功效与作用与主治,15233.0
9,查询药物功效与主治,2025搜索,1271,1241,流量最高,甲钴胺片的功效和作用,13890.0
9,查询药物功效与主治,2025搜索,1271,1241,随机,诺氟沙星胶囊的作用与功效,1018.0
9,查询药物功效与主治,2025搜索,1271,1241,随机,蒲地蓝口服液的功效与作用,1237.0
9,查询药物功效与主治,2025搜索,1271,1241,随机,螺内酯片的功效与作用,3854.0
41,医学健康知识查询,2025搜索,212,168,流量最高,hpv是什么东西,20147.0
41,医学健康知识查询,2025搜索,212,168,流量最高,五官是指哪五官,5307.0
41,医学健康知识查询,2025搜索,212,168,流量最高,八项是哪八项,2244.0
41,医学健康知识查询,2025搜索,212,168,随机,微创手术是什么样的手术,612.0
41,医学健康知识查询,2025搜索,212,168,随机,望闻问切指的是什么,410.0
41,医学健康知识查询,2025搜索,212,168,随机,肿瘤和癌症的区别在哪里,381.0
47,查询健康指标正常范围,2025搜索,242,241,流量最高,血压正常是多少标准,19181.0
47,查询健康指标正常范围,2025搜索,242,241,流量最高,血糖正常值范围 最新标准2025,15763.0
47,查询健康指标正常范围,2025搜索,242,241,流量最高,bmi体重指数怎么计算,9216.0
47,查询健康指标正常范围,2025搜索,242,241,随机,肌酐正常值范围是多少,550.0
47,查询健康指标正常范围,2025搜索,242,241,随机,孕妇血糖正常值范围,480.0
47,查询健康指标正常范围,2025搜索,242,241,随机,癌胚抗原多少才算癌症,804.0
13,查询物品作用与功效,2025搜索,210,210,流量最高,马齿苋的作用和功效,16334.0
13,查询物品作用与功效,2025搜索,210,210,流量最高,地屈孕酮片的作用和功效,4206.0
13,查询物品作用与功效,2025搜索,210,210,流量最高,当归的作用和功效,4129.0
13,查询物品作用与功效,2025搜索,210,210,随机,百多邦软膏的作用和功效,530.0
13,查询物品作用与功效,2025搜索,210,210,随机,曲安奈德益康唑乳膏的作用,501.0
13,查询物品作用与功效,2025搜索,210,210,随机,扶他林软膏的作用和功效,1625.0
16,中成药丸剂功效与作用查询,2025搜索,212,210,流量最高,六味地黄丸的作用和功效,12882.0
16,中成药丸剂功效与作用查询,2025搜索,212,210,流量最高,归脾丸的作用与功能主治,7805.0
16,中成药丸剂功效与作用查询,2025搜索,212,210,流量最高,龙胆泻肝丸的功效与主治,7655.0
16,中成药丸剂功效与作用查询,2025搜索,212,210,随机,三肾丸的功效与作用,579.0
16,中成药丸剂功效与作用查询,2025搜索,212,210,随机,牛黄清胃丸的功效与作用和适用人群,537.0
