key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2025搜索随机1w_条数,2025搜索随机1w_占比%,2025搜索随机1w_95CI低%,2025搜索随机1w_95CI高%,2025搜索随机1w_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,2026搜索随机1w_条数,2026搜索随机1w_占比%,2026搜索随机1w_95CI低%,2026搜索随机1w_95CI高%,2026搜索随机1w_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音头部1k_条数,助手语音头部1k_占比%,助手语音头部1k_95CI低%,助手语音头部1k_95CI高%,助手语音头部1k_流量占比%,助手语音1k_条数,助手语音1k_占比%,助手语音1k_95CI低%,助手语音1k_95CI高%,助手语音1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2025搜索随机1w_均衡归属%,2025搜索随机1w_指数,2025搜索随机1w_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,2026搜索随机1w_均衡归属%,2026搜索随机1w_指数,2026搜索随机1w_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音头部1k_均衡归属%,助手语音头部1k_指数,助手语音头部1k_均衡指数,助手语音1k_均衡归属%,助手语音1k_指数,助手语音1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2025搜索随机1w_排名,2026搜索_排名,2026搜索随机1w_排名,助手头部1k_排名,助手随机1k_排名,助手语音头部1k_排名,助手语音1k_排名,主导意图,主导意图占比%,盲评一致性,风险标注,user_need
9,查询药物功效与主治,用户查询某种药物或药材的功效、作用与主治信息，获得该药物或药材对应的功效作用与主治说明后即满足。,3303,7.504,1271,12.713,12.074,13.38,15.139,191,1.91,1.66,2.197,4.34,1590,15.903,15.199,16.633,20.172,146,1.46,1.243,1.714,1.725,55,5.741,4.437,7.399,4.176,22,2.204,1.46,3.315,2.904,8,0.75,0.38,1.472,0.479,20,2.0,1.298,3.069,2.0,29.78,1.6942,2.3828,4.48,0.2545,0.358,37.26,2.1194,2.9808,3.42,0.1946,0.2737,13.45,0.7651,1.0761,5.16,0.2938,0.4132,1.76,0.0999,0.1405,4.69,0.2665,0.3749,8,,,2026搜索,助手语音头部1k,15.153,21.21,1,18,1,24,4,16,20,18,查询物品或活动的功效与作用,99.2,4.0,,用户查询某种药物或药材的功效、作用与主治信息，获得该药物或药材对应的功效作用与主治说明后即满足。
23,症状原因查询,用户输入某个身体症状或检查指标异常，希望了解该表现是什么问题、由什么原因引起；获得针对该症状或指标的明确原因解释后即可满意。,2845,6.463,728,7.281,6.788,7.807,6.792,711,7.11,6.623,7.63,8.227,667,6.671,6.199,7.177,6.111,625,6.25,5.792,6.741,5.995,26,2.714,1.859,3.947,2.111,32,3.206,2.28,4.491,3.074,8,0.75,0.38,1.472,0.51,48,4.8,3.639,6.307,4.8,18.77,1.1266,1.502,18.33,1.1001,1.4666,17.2,1.0322,1.3761,16.12,0.967,1.2892,7.0,0.4199,0.5598,8.27,0.4961,0.6614,1.93,0.116,0.1547,12.38,0.7427,0.9901,8,,,2025搜索,助手语音头部1k,6.532,9.71,2,2,2,5,13,12,20,7,描述自身症状求归因或鉴别,79.0,4.0,True,用户输入某个身体症状或检查指标异常，希望了解该表现是什么问题、由什么原因引起；获得针对该症状或指标的明确原因解释后即可满意。
18,医院及科室信息查询,获得目标医院或科室的地址、级别、挂号科室、费用或服务能力等具体信息后，用户即满意。,2110,4.793,176,1.76,1.52,2.037,1.11,744,7.44,6.942,7.971,3.889,178,1.78,1.539,2.059,1.018,847,8.47,7.94,9.032,6.813,75,7.829,6.291,9.703,11.142,48,4.81,3.647,6.319,4.27,10,0.937,0.51,1.717,0.839,32,3.2,2.276,4.482,3.2,4.86,0.3672,0.3887,20.54,1.5521,1.643,4.91,0.3714,0.3932,23.38,1.767,1.8705,21.61,1.6333,1.7289,13.28,1.0034,1.0621,2.59,0.1955,0.207,8.83,0.6676,0.7067,8,,,2026搜索随机1w,助手语音头部1k,7.533,9.04,22,1,23,1,3,7,16,10,就医导航、费用与渠道,94.8,4.0,,获得目标医院或科室的地址、级别、挂号科室、费用或服务能力等具体信息后，用户即满意。
19,医学词条查询,用户输入疾病、症状、解剖或医学检查相关词语后，获得对应医学词条的百科式解释（定义、病因、表现、常规处理概述）即满足。,2027,4.605,658,6.581,6.112,7.084,6.202,251,2.51,2.221,2.835,5.652,440,4.401,4.016,4.821,3.614,201,2.01,1.753,2.304,1.837,119,12.422,10.482,14.662,12.308,16,1.603,0.989,2.588,1.708,319,29.897,27.226,32.712,32.208,23,2.3,1.537,3.428,2.3,10.66,1.4292,0.853,4.07,0.5451,0.3253,7.13,0.9557,0.5704,3.26,0.4365,0.2605,20.12,2.6975,1.61,2.6,0.3482,0.2078,48.44,6.4925,3.8749,3.73,0.4995,0.2981,8,,,助手语音头部1k,助手随机1k,28.294,18.65,3,14,4,17,1,21,1,15,查询疾病或医学术语的定义、病因与症状,72.8,4.0,True,用户输入疾病、症状、解剖或医学检查相关词语后，获得对应医学词条的百科式解释（定义、病因、表现、常规处理概述）即满足。
1,食物热量与健康影响查询,用户提出关于食物、饮品或日常习惯的疑问后，获得其热量、致胖风险、功效、寒热属性或健康利弊方面的具体说明即得到满足。,1821,4.137,267,2.671,2.372,3.005,2.36,518,5.18,4.763,5.632,3.297,289,2.891,2.58,3.238,2.791,551,5.51,5.08,5.975,4.575,20,2.088,1.355,3.203,2.336,53,5.311,4.083,6.881,4.782,41,3.843,2.845,5.171,6.393,82,8.2,6.655,10.065,8.2,7.48,0.6455,0.5986,14.51,1.2522,1.161,8.1,0.6987,0.6479,15.44,1.3319,1.235,5.85,0.5047,0.4679,14.88,1.2837,1.1903,10.77,0.9289,0.8613,22.97,1.9822,1.8379,8,,,助手语音1k,助手头部1k,6.112,3.93,11,7,9,7,17,6,6,2,查询物品或活动的功效与作用,50.4,3.0,,用户提出关于食物、饮品或日常习惯的疑问后，获得其热量、致胖风险、功效、寒热属性或健康利弊方面的具体说明即得到满足。
46,查询疾病严重性、传染性与治疗风险,用户提出关于某一疾病、症状、检查结果或手术/治疗方案的疑问后，获得该情况是否严重、是否传染、对身边人有何影响、是否需要治疗或手术以及相关风险的具体医学说明即满足。,1793,4.073,155,1.55,1.326,1.812,1.28,668,6.68,6.207,7.186,7.062,178,1.78,1.539,2.059,1.251,622,6.22,5.763,6.71,5.483,23,2.401,1.605,3.577,2.274,84,8.417,6.85,10.303,7.515,13,1.218,0.713,2.073,1.899,50,5.0,3.813,6.531,5.0,4.66,0.3806,0.3728,20.08,1.64,1.6064,5.35,0.4371,0.4281,18.7,1.527,1.4958,7.22,0.5894,0.5774,25.3,2.0664,2.0241,3.66,0.2991,0.293,15.03,1.2275,1.2024,8,,,助手随机1k,助手语音头部1k,7.198,6.91,24,3,23,6,14,2,12,6,查询疾病或医学术语的定义、病因与症状,24.6,4.0,True,用户提出关于某一疾病、症状、检查结果或手术/治疗方案的疑问后，获得该情况是否严重、是否传染、对身边人有何影响、是否需要治疗或手术以及相关风险的具体医学说明即满足。
24,查询身体不适症状及可能病因,获得针对所述身体不适或疼痛症状的可能原因、是否需要警惕以及一般处理或就医指引后，用户感到满意。,1641,3.728,94,0.94,0.769,1.149,0.727,562,5.62,5.185,6.089,1.692,86,0.86,0.697,1.061,0.708,637,6.37,5.908,6.866,4.642,49,5.115,3.89,6.698,3.723,108,10.822,9.042,12.901,9.65,37,3.468,2.526,4.743,4.661,68,6.8,5.399,8.531,6.8,2.35,0.2522,0.1881,14.05,1.5075,1.1242,2.15,0.2307,0.1721,15.93,1.7087,1.2742,12.79,1.372,1.0231,27.06,2.9029,2.1646,8.67,0.9302,0.6936,17.0,1.8241,1.3602,8,,,助手随机1k,2026搜索,9.961,12.58,35,6,36,4,5,1,7,3,描述自身症状求归因或鉴别,68.8,4.0,True,获得针对所述身体不适或疼痛症状的可能原因、是否需要警惕以及一般处理或就医指引后，用户感到满意。
20,查询药品及药物成分信息,获得所查询药品或药物成分的说明书、功效、适应症或图片等信息后，用户感到满足。,1620,3.68,645,6.451,5.986,6.95,5.658,150,1.5,1.28,1.758,2.586,405,4.051,3.682,4.455,3.196,157,1.57,1.344,1.833,1.62,43,4.489,3.349,5.991,3.663,10,1.002,0.545,1.835,1.281,191,17.901,15.717,20.315,15.904,19,1.9,1.22,2.948,1.9,16.6,1.753,1.328,3.86,0.4076,0.3088,10.42,1.1007,0.8339,4.04,0.4266,0.3232,11.55,1.2196,0.924,2.58,0.2723,0.2063,46.06,4.864,3.6848,4.89,0.5163,0.3911,8,,,助手语音头部1k,助手随机1k,16.899,17.86,4,23,5,22,6,26,2,20,查询物品或活动的功效与作用,85.6,4.0,,获得所查询药品或药物成分的说明书、功效、适应症或图片等信息后，用户感到满足。
0,查询特定情况下饮食用药可否,用户想知道在特定健康状况、用药、检查或食物搭配情况下，某种食物、药物或饮品能否吃、喝或同用，获得明确的能或不能判断及理由即满足。,1605,3.646,53,0.53,0.406,0.693,0.388,613,6.13,5.676,6.617,2.918,65,0.65,0.51,0.828,0.398,709,7.09,6.603,7.61,5.282,1,0.104,0.018,0.589,0.107,57,5.711,4.434,7.328,4.953,9,0.843,0.444,1.595,0.467,98,9.8,8.108,11.799,9.8,1.72,0.1454,0.1374,19.86,1.6812,1.5891,2.11,0.1783,0.1685,22.98,1.9445,1.838,0.34,0.0286,0.0271,18.51,1.5664,1.4806,2.73,0.2313,0.2187,31.76,2.6878,2.5405,8,,,助手语音1k,助手头部1k,9.696,93.88,41,4,40,2,40,4,17,1,判断特定情境下能否吃、用或做,94.4,4.0,True,用户想知道在特定健康状况、用药、检查或食物搭配情况下，某种食物、药物或饮品能否吃、喝或同用，获得明确的能或不能判断及理由即满足。
7,药品用法药效与联用查询,用户想知道某药品或保健品能否用于某症状、是否有效、能否与另一药同服、有无同类替代或停药/长期服用问题；获得针对该具体药品/症状的明确答案和注意事项即被满足。,1544,3.508,58,0.58,0.449,0.749,0.329,567,5.67,5.234,6.141,1.887,111,1.11,0.923,1.335,0.63,661,6.61,6.14,7.114,4.898,8,0.835,0.424,1.639,0.922,70,7.014,5.589,8.769,9.308,4,0.375,0.146,0.96,0.178,65,6.5,5.132,8.201,6.5,2.02,0.1654,0.1617,19.76,1.6165,1.5808,3.87,0.3165,0.3095,23.04,1.8845,1.8429,2.91,0.2381,0.2328,24.44,1.9997,1.9555,1.31,0.1069,0.1045,22.65,1.8531,1.8122,8,,,助手随机1k,助手语音头部1k,6.639,18.71,40,5,32,3,30,3,29,4,判断特定情境下能否吃、用或做,36.9,4.0,True,用户想知道某药品或保健品能否用于某症状、是否有效、能否与另一药同服、有无同类替代或停药/长期服用问题；获得针对该具体药品/症状的明确答案和注意事项即被满足。
