key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2025搜索随机1w_条数,2025搜索随机1w_占比%,2025搜索随机1w_95CI低%,2025搜索随机1w_95CI高%,2025搜索随机1w_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,2026搜索随机1w_条数,2026搜索随机1w_占比%,2026搜索随机1w_95CI低%,2026搜索随机1w_95CI高%,2026搜索随机1w_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音头部1k_条数,助手语音头部1k_占比%,助手语音头部1k_95CI低%,助手语音头部1k_95CI高%,助手语音头部1k_流量占比%,助手语音1k_条数,助手语音1k_占比%,助手语音1k_95CI低%,助手语音1k_95CI高%,助手语音1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2025搜索随机1w_均衡归属%,2025搜索随机1w_指数,2025搜索随机1w_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,2026搜索随机1w_均衡归属%,2026搜索随机1w_指数,2026搜索随机1w_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音头部1k_均衡归属%,助手语音头部1k_指数,助手语音头部1k_均衡指数,助手语音1k_均衡归属%,助手语音1k_指数,助手语音1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2025搜索随机1w_排名,2026搜索_排名,2026搜索随机1w_排名,助手头部1k_排名,助手随机1k_排名,助手语音头部1k_排名,助手语音1k_排名,主导叶,主导叶占比%,体系内风险标注,架构师预估占比,user_need
SUBSTANCE_EFFICACY_LOOKUP,查询物品或活动的功效与作用,用户给出一个药品、中药、食物、保健品、运动或其他健康相关物品或活动的名称（常为裸名称），想知道它有什么功效、主治什么、有何好处或副作用。,12602,28.629,4129,41.298,40.337,42.267,44.292,1449,14.49,13.814,15.194,24.475,4376,43.769,42.799,44.743,49.663,1459,14.59,13.912,15.295,16.381,292,30.48,27.648,33.468,26.589,140,14.028,12.011,16.321,16.14,510,47.798,44.814,50.797,41.292,247,24.7,22.127,27.466,24.7,17.87,1.4426,1.4293,6.27,0.5061,0.5015,18.93,1.5289,1.5148,6.31,0.5096,0.5049,13.19,1.0647,1.0549,6.07,0.49,0.4855,20.68,1.6696,1.6542,10.69,0.8628,0.8548,8,,,助手语音头部1k,助手随机1k,33.77,3.41,1,2,1,2,1,2,1,1,物质功效与作用查询,26.0,是,0.18,获得该对象的主要功效或主治、适用情形、副作用及必要注意事项后即满足；如对象为普通食品或保健食品，回答不得宣称其能治疗疾病。
DISEASE_CONCEPT_INFO,查询疾病或医学术语的定义、病因与症状,用户点名一个疾病、症状、医学术语或缩写，想知道它是什么、由什么引起、有哪些典型表现。,7228,16.42,2228,22.284,21.479,23.111,23.141,1233,12.33,11.7,12.989,19.073,2013,20.134,19.36,20.931,19.487,1100,11.0,10.402,11.628,11.817,177,18.476,16.146,21.058,17.381,92,9.218,7.577,11.173,8.711,281,26.336,23.781,29.06,27.394,104,10.4,8.657,12.446,10.4,17.12,1.3571,1.3695,9.47,0.7509,0.7577,15.47,1.2262,1.2373,8.45,0.6699,0.676,14.19,1.1252,1.1354,7.08,0.5614,0.5665,20.23,1.6039,1.6184,7.99,0.6334,0.6391,8,,,助手语音头部1k,助手随机1k,17.117,2.86,2,4,2,4,2,5,2,4,医学词条查询,20.4,否,0.1,获得该疾病或术语的定义、常见病因、典型症状解释后即满足；本类不包含对用户自身状况的判定。
SYMPTOM_ATTRIBUTION_DIFFERENTIATION,描述自身症状求归因或鉴别,用户描述自己或家人身上的具体症状、感受或事件（常带“怎么回事/什么原因/是A还是B”），想知道可能原因或在两种可能中鉴别。,5880,13.358,1008,10.082,9.507,10.688,9.384,1766,17.66,16.925,18.42,11.71,913,9.132,8.583,9.712,8.284,1731,17.31,16.581,18.064,14.745,80,8.351,6.761,10.273,6.992,153,15.331,13.229,17.699,14.603,66,6.186,4.891,7.794,8.344,163,16.3,14.14,18.718,16.3,10.05,0.7548,0.8037,17.6,1.3221,1.4079,9.1,0.6836,0.728,17.25,1.2959,1.38,8.32,0.6252,0.6657,15.28,1.1477,1.2222,6.16,0.4631,0.4931,16.24,1.2203,1.2994,8,,,2025搜索随机1w,助手语音头部1k,11.474,2.86,3,1,4,1,6,1,4,2,症状原因查询,38.2,是,0.12,获得按可能性排列的常见原因、需要警惕的危险信号、是否及何时就医的建议，或两种可能情况的鉴别要点后即满足。
TREATMENT_SEEKING,求治疗方案与用药推荐,用户针对已命名或已描述的健康问题，索取治疗路径、药物类别、是否手术，或“最有效/根治/特效”的处置方案，也可包括对已有治疗为何无效的解释。,3955,8.985,963,9.632,9.069,10.226,8.938,869,8.69,8.154,9.258,7.623,949,9.492,8.933,10.082,8.432,873,8.73,8.192,9.299,18.485,104,10.856,9.04,12.984,11.031,91,9.118,7.486,11.064,13.407,26,2.437,1.668,3.546,1.824,80,8.0,6.475,9.847,8.0,14.39,1.072,1.1509,12.98,0.9672,1.0383,14.18,1.0564,1.1341,13.04,0.9716,1.0431,16.21,1.2083,1.2971,13.62,1.0149,1.0895,3.64,0.2712,0.2912,11.95,0.8904,0.9559,8,,,助手头部1k,助手语音头部1k,8.419,4.46,4,6,3,6,4,6,6,5,病症用药查询,24.2,是,0.06,获得规范治疗路径、可否自愈、何时必须就医、常用药物类别的说明，或对治疗未显效原因的解释和复诊指引后即满足；不应直接出具个体化处方或剂量。
PERMISSION_CHECK,判断特定情境下能否吃、用或做,用户问在特定状况下（患病、孕期、经期、用药中、饮酒、空腹、术后等）能否吃某物、用某药或做某事，期待“可以/不可以+原因”的定论。,3215,7.304,132,1.32,1.114,1.563,1.021,1241,12.41,11.778,13.071,5.09,148,1.48,1.262,1.736,0.992,1381,13.81,13.148,14.5,9.891,13,1.357,0.795,2.308,1.416,114,11.423,9.596,13.546,9.906,30,2.812,1.976,3.985,1.883,156,15.6,13.483,17.98,15.6,2.19,0.1808,0.1754,20.61,1.6991,1.6488,2.46,0.2027,0.1967,22.94,1.8908,1.8348,2.25,0.1858,0.1803,18.97,1.564,1.5177,4.67,0.385,0.3736,25.91,2.1359,2.0727,8,,,助手语音1k,2025搜索,14.28,11.82,11,3,10,3,9,3,5,3,查询特定情况下饮食用药可否,47.1,是,0.06,获得明确的可以、不可以或需遵医嘱结论，以及简要原因和风险提示后即满足，而不是得到泛泛科普。
CARE_NAVIGATION_COST,就医导航、费用与渠道,用户想找医院、科室、医生，预约挂号，免费咨询，查医生或医院资质口碑、排名，或了解某项医疗服务、药品、疫苗的价格与购买渠道。,2623,5.959,266,2.661,2.363,2.995,1.757,886,8.86,8.319,9.433,4.748,261,2.611,2.316,2.942,1.692,992,9.92,9.349,10.521,8.344,93,9.708,7.991,11.747,13.469,75,7.515,6.037,9.319,6.661,10,0.937,0.51,1.717,0.859,40,4.0,2.951,5.401,4.0,5.76,0.4465,0.4606,19.17,1.4869,1.5338,5.65,0.4381,0.4519,21.47,1.6648,1.7173,21.01,1.6291,1.6806,16.26,1.2612,1.301,2.03,0.1573,0.1622,8.66,0.6713,0.6925,8,,,2026搜索随机1w,助手语音头部1k,8.983,10.58,5,5,5,5,5,7,8,7,医院及科室信息查询,76.2,是,0.04,获得目标机构或科室或医生的地址、电话、挂号入口、资质核验信息，或项目的价格区间和合规购买渠道后即满足。
RESULT_INTERPRETATION,解读自身检查读数或事件是否正常严重,用户给出自己的检查数值、影像或化验描述、用药或术后反应或其他正在发生的事件，问是否正常、是否严重、有危险吗、怎么处理。,1788,4.062,263,2.631,2.335,2.963,2.843,571,5.71,5.272,6.182,13.161,247,2.47,2.184,2.794,2.492,597,5.97,5.522,6.452,4.186,5,0.522,0.223,1.216,0.361,61,6.112,4.788,7.773,5.295,4,0.375,0.146,0.96,0.317,40,4.0,2.951,5.401,4.0,9.47,0.6476,0.7573,20.55,1.4058,1.6438,8.89,0.6082,0.7112,21.48,1.4698,1.7186,1.88,0.1285,0.1502,21.99,1.5048,1.7595,1.35,0.0923,0.1079,14.39,0.9848,1.1515,8,,,助手随机1k,助手语音头部1k,5.737,16.3,6,7,6,7,13,8,11,7,查询化验指标异常原因与临床意义,28.9,是,0.03,获得针对该具体取值或事件的危险分级、正常与否的判断、复查或就医阈值后即满足。
NON_HEALTH_OTHER,非健康或无法判定的其他查询,查询不涉及健康或医疗，或字面残缺、无指代且无法从可用上下文判定任何健康意图。,1550,3.521,176,1.76,1.52,2.037,1.326,417,4.17,3.795,4.58,1.774,149,1.49,1.271,1.747,1.399,426,4.26,3.881,4.674,3.123,114,11.9,10.0,14.104,12.06,99,9.92,8.216,11.931,9.137,108,10.122,8.453,12.077,10.821,61,6.1,4.778,7.758,6.1,3.54,0.4999,0.2832,8.39,1.1843,0.6709,3.0,0.4232,0.2398,8.57,1.2098,0.6854,23.93,3.3795,1.9146,19.95,2.8172,1.596,20.36,2.8745,1.6285,12.27,1.7324,0.9815,8,,,助手头部1k,2026搜索,10.409,7.98,8,8,9,8,3,4,3,6,医学词条查询,15.9,否,0.02,用户被路由到非健康服务或获得澄清追问后即满足；本类仅按排除定义，不对内容作正面描述。
REFERENCE_VALUE_CALCULATOR,查询正常参考值、计算工具或食物热量,用户要一个数值答案：某项体征或检验的正常范围、BMI等计算工具，或某食物的热量。,1016,2.308,221,2.21,1.94,2.518,2.676,258,2.58,2.287,2.909,4.342,235,2.35,2.071,2.666,2.556,222,2.22,1.949,2.528,2.577,26,2.714,1.859,3.947,4.341,28,2.806,1.948,4.025,2.647,7,0.656,0.318,1.348,0.665,19,1.9,1.22,2.948,1.9,12.68,0.9577,1.0142,14.8,1.1178,1.1837,13.48,1.0184,1.0784,12.73,0.9618,1.0185,15.56,1.1759,1.2452,16.09,1.2156,1.2872,3.76,0.2842,0.301,10.9,0.8232,0.8717,8,,,助手随机1k,助手语音头部1k,2.15,4.28,7,10,7,11,7,10,9,11,查询健康指标正常范围,71.5,否,0.02,获得具体数值或区间（注明年龄、测量方式等适用条件），或可直接使用的计算结果后即满足。
REPRODUCTIVE_HEALTH,孕产与生殖健康疑问,用户围绕怀孕、备孕、排卵、验孕、预产、终止妊娠、怀孕或产后及哺乳期症状与生殖生理提问。,983,2.233,160,1.6,1.372,1.866,1.352,369,3.69,3.338,4.078,1.753,114,1.14,0.95,1.368,0.812,282,2.82,2.513,3.163,2.043,25,2.61,1.774,3.824,2.907,18,1.804,1.144,2.833,1.623,11,1.031,0.577,1.837,1.626,4,0.4,0.156,1.024,0.4,10.6,0.7166,0.8482,24.45,1.6524,1.9557,7.55,0.5106,0.6043,18.68,1.2628,1.4946,17.29,1.1686,1.3831,11.95,0.8077,0.9559,6.83,0.4617,0.5464,2.65,0.1791,0.212,8,,,2025搜索随机1w,助手语音1k,3.29,9.22,9,9,11,9,8,15,7,15,早孕检测与月经变化查询,71.7,是,0.02,获得针对其孕产阶段的判断、阶段时间窗或症状解释，以及合法医疗路径和何时就医的建议后即满足。
