key,类目,a,b,k_a,k_b,n_a,n_b,占比_a%,占比_b%,差_pp,低_pp,高_pp,显著,类型
0,查询特定情况下饮食用药可否,2025搜索,2025搜索随机1w,53,613,9998,10000,0.53,6.13,5.6,5.118,6.103,True,共有
1,食物热量与健康影响查询,2025搜索,2025搜索随机1w,267,518,9998,10000,2.671,5.18,2.509,1.974,3.051,True,共有
12,功效作用查询,2025搜索,2025搜索随机1w,274,157,9998,10000,2.741,1.57,-1.171,-1.578,-0.77,True,共有
13,查询物品作用与功效,2025搜索,2025搜索随机1w,210,71,9998,10000,2.1,0.71,-1.39,-1.724,-1.069,True,共有
15,功效与作用查询,2025搜索,2025搜索随机1w,349,35,9998,10000,3.491,0.35,-3.141,-3.531,-2.772,True,共有
16,中成药丸剂功效与作用查询,2025搜索,2025搜索随机1w,212,67,9998,10000,2.12,0.67,-1.45,-1.784,-1.13,True,共有
18,医院及科室信息查询,2025搜索,2025搜索随机1w,176,744,9998,10000,1.76,7.44,5.68,5.11,6.262,True,共有
19,医学词条查询,2025搜索,2025搜索随机1w,658,251,9998,10000,6.581,2.51,-4.071,-4.651,-3.5,True,共有
2,查询健康问题对应的食物建议,2025搜索,2025搜索随机1w,209,198,9998,10000,2.09,1.98,-0.11,-0.504,0.282,False,共有
20,查询药品及药物成分信息,2025搜索,2025搜索随机1w,645,150,9998,10000,6.451,1.5,-4.951,-5.496,-4.42,True,共有
21,查询穴位与身体部位位置图,2025搜索,2025搜索随机1w,137,79,9998,10000,1.37,0.79,-0.58,-0.872,-0.295,True,共有
22,身体不适快速缓解方法查询,2025搜索,2025搜索随机1w,188,372,9998,10000,1.88,3.72,1.84,1.385,2.301,True,共有
23,症状原因查询,2025搜索,2025搜索随机1w,728,711,9998,10000,7.281,7.11,-0.171,-0.888,0.545,False,共有
24,查询身体不适症状及可能病因,2025搜索,2025搜索随机1w,94,562,9998,10000,0.94,5.62,4.68,4.198,5.179,True,共有
25,查询疾病治疗方法,2025搜索,2025搜索随机1w,344,140,9998,10000,3.441,1.4,-2.041,-2.472,-1.619,True,共有
26,查询皮肤疙瘩红疹症状与处理,2025搜索,2025搜索随机1w,112,364,9998,10000,1.12,3.64,2.52,2.104,2.949,True,共有
27,查询癌症早期症状和前兆,2025搜索,2025搜索随机1w,90,34,9998,10000,0.9,0.34,-0.56,-0.787,-0.345,True,共有
28,症状及健康影响查询,2025搜索,2025搜索随机1w,142,48,9998,10000,1.42,0.48,-0.94,-1.218,-0.676,True,共有
29,疾病症状表现查询,2025搜索,2025搜索随机1w,144,67,9998,10000,1.44,0.67,-0.77,-1.06,-0.489,True,共有
3,药品与药企信息查询,2025搜索,2025搜索随机1w,114,165,9998,10000,1.14,1.65,0.51,0.185,0.839,True,共有
30,疾病症状查询,2025搜索,2025搜索随机1w,253,37,9998,10000,2.531,0.37,-2.161,-2.502,-1.839,True,共有
31,查询病症与物品图片,2025搜索,2025搜索随机1w,158,74,9998,10000,1.58,0.74,-0.84,-1.144,-0.546,True,共有
33,查询皮肤瘙痒起疹原因,2025搜索,2025搜索随机1w,73,67,9998,10000,0.73,0.67,-0.06,-0.295,0.173,False,共有
34,口腔不适原因与解决方法查询,2025搜索,2025搜索随机1w,65,86,9998,10000,0.65,0.86,0.21,-0.031,0.454,False,共有
35,查询化验指标异常原因与临床意义,2025搜索,2025搜索随机1w,300,150,9998,10000,3.001,1.5,-1.501,-1.917,-1.092,True,共有
38,身体部位疼痛原因查询,2025搜索,2025搜索随机1w,97,78,9998,10000,0.97,0.78,-0.19,-0.452,0.069,False,共有
39,查询身体排泄与分泌物异常原因,2025搜索,2025搜索随机1w,83,102,9998,10000,0.83,1.02,0.19,-0.077,0.459,False,共有
4,药品信息查询,2025搜索,2025搜索随机1w,308,138,9998,10000,3.081,1.38,-1.701,-2.115,-1.295,True,共有
