key,类目,快照,方向,该快照条数,该快照n,该快照占比%,其余快照合并占比%,最弱一对的区间端点pp,对比了几个快照
9,查询药物功效与主治,2026搜索,显著高于其余全部,1590,9998,15.903,5.035,2.221,7
47,查询健康指标正常范围,助手语音头部1k,显著低于其余全部,14,1067,1.312,2.805,-0.186,7
16,中成药丸剂功效与作用查询,助手语音头部1k,显著高于其余全部,58,1067,5.436,1.409,1.827,7
48,查询物品功效与作用,2026搜索,显著高于其余全部,499,9998,4.991,1.573,0.251,7
1,食物热量与健康影响查询,助手语音1k,显著高于其余全部,82,1000,8.2,4.042,0.686,7
22,身体不适快速缓解方法查询,助手语音头部1k,显著低于其余全部,6,1067,0.562,2.663,-0.467,7
21,查询穴位与身体部位位置图,2026搜索,显著高于其余全部,183,9998,1.83,0.923,0.092,7
6,中药方剂配方剂量查询,助手语音头部1k,显著低于其余全部,6,1067,0.562,1.886,-0.015,7
23,症状原因查询,助手语音头部1k,显著低于其余全部,8,1067,0.75,6.605,-0.844,7
20,查询药品及药物成分信息,助手语音头部1k,显著高于其余全部,191,1067,17.901,3.327,9.209,7
19,医学词条查询,助手语音头部1k,显著高于其余全部,319,1067,29.897,3.977,13.989,7
35,查询化验指标异常原因与临床意义,2025搜索,显著高于其余全部,300,9998,3.001,1.72,0.109,7
42,早孕检测与月经变化查询,2025搜索随机1w,显著高于其余全部,429,10000,4.29,1.893,0.164,7
4,药品信息查询,助手语音头部1k,显著高于其余全部,62,1067,5.811,1.96,1.428,7
2,查询健康问题对应的食物建议,助手语音头部1k,显著低于其余全部,9,1067,0.843,2.081,-0.313,7
26,查询皮肤疙瘩红疹症状与处理,2026搜索,显著低于其余全部,75,9998,0.75,2.784,-0.103,7
0,查询特定情况下饮食用药可否,助手语音1k,显著高于其余全部,98,1000,9.8,3.503,0.94,7
46,查询疾病严重性、传染性与治疗风险,助手随机1k,显著高于其余全部,84,998,8.417,3.972,0.09,7
33,查询皮肤瘙痒起疹原因,助手头部1k,显著高于其余全部,17,958,1.775,0.646,0.206,7
44,查询医疗健康恢复时间与费用,助手随机1k,显著高于其余全部,55,998,5.511,2.548,0.855,7
44,查询医疗健康恢复时间与费用,助手语音头部1k,显著低于其余全部,2,1067,0.187,2.675,-0.955,7
24,查询身体不适症状及可能病因,助手随机1k,显著高于其余全部,108,998,10.822,3.563,1.539,7
18,医院及科室信息查询,助手语音头部1k,显著低于其余全部,10,1067,0.937,4.889,-0.008,7
5,药品用法用量查询,助手语音头部1k,显著低于其余全部,0,1067,0.0,1.998,-0.289,7
