key,类目,快照,方向,该快照条数,该快照n,该快照占比%,其余快照合并占比%,最弱一对的区间端点pp,对比了几个快照
SUBSTANCE_EFFICACY_LOOKUP__2,SUBSTANCE_EFFICACY_LOOKUP__2,2026搜索,显著高于其余全部,3735,9998,37.357,17.054,5.41,7
TREATMENT_SEEKING__2,TREATMENT_SEEKING__2,助手语音头部1k,显著低于其余全部,13,1067,1.218,5.597,-1.784,7
REFERENCE_VALUE_CALCULATOR__2,REFERENCE_VALUE_CALCULATOR__2,助手语音头部1k,显著低于其余全部,1,1067,0.094,0.906,-0.041,7
SUBSTANCE_EFFICACY_LOOKUP__1,SUBSTANCE_EFFICACY_LOOKUP__1,助手语音头部1k,显著高于其余全部,315,1067,29.522,6.402,16.129,7
TREATMENT_SEEKING__1,TREATMENT_SEEKING__1,助手语音头部1k,显著低于其余全部,13,1067,1.218,3.55,-0.376,7
DISEASE_CONCEPT_INFO__5,DISEASE_CONCEPT_INFO__5,助手随机1k,显著低于其余全部,7,998,0.701,3.782,-0.086,7
DISEASE_CONCEPT_INFO__5,DISEASE_CONCEPT_INFO__5,助手语音头部1k,显著高于其余全部,225,1067,21.087,3.28,11.144,7
SYMPTOM_ATTRIBUTION_DIFFERENTIATION__5,SYMPTOM_ATTRIBUTION_DIFFERENTIATION__5,助手语音头部1k,显著低于其余全部,3,1067,0.281,1.711,-0.207,7
PERMISSION_CHECK__2,PERMISSION_CHECK__2,助手语音1k,显著高于其余全部,105,1000,10.5,3.663,1.563,7
NON_HEALTH_OTHER__1,NON_HEALTH_OTHER__1,助手随机1k,显著高于其余全部,75,998,7.515,1.897,1.033,7
RECOVERY_TIMING__2,RECOVERY_TIMING__2,助手随机1k,显著高于其余全部,18,998,1.804,0.607,0.141,7
