层级,快照,名次,key,条数,行占比%,流量占比%
自上而下 L1 意图,2025搜索,1,SUBSTANCE_EFFICACY_LOOKUP,4129,41.29825965193039,44.29162356425672
自上而下 L1 意图,2025搜索,2,DISEASE_CONCEPT_INFO,2228,22.284456891378277,23.141447897628662
自上而下 L1 意图,2025搜索,3,SYMPTOM_ATTRIBUTION_DIFFERENTIATION,1008,10.082016403280656,9.38412494252298
自上而下 L1 意图,2025搜索,4,TREATMENT_SEEKING,963,9.631926385277055,8.93771367239112
自上而下 L1 意图,2025搜索,5,CARE_NAVIGATION_COST,266,2.660532106421284,1.756779358459327
自上而下 L1 意图,2025搜索,6,RESULT_INTERPRETATION,263,2.630526105221044,2.842554036621432
自上而下 L1 意图,2025搜索,7,REFERENCE_VALUE_CALCULATOR,221,2.2104420884176834,2.6757126302234187
自上而下 L1 意图,2025搜索,8,NON_HEALTH_OTHER,176,1.760352070414083,1.325571935527875
自上而下 L1 意图,2025搜索,9,REPRODUCTIVE_HEALTH,160,1.6003200640128026,1.3522994559613215
自上而下 L1 意图,2025搜索,10,DOSAGE_ADMINISTRATION,146,1.4602920584116823,1.122761454515774
自上而下 L1 意图,2025搜索随机1w,1,SYMPTOM_ATTRIBUTION_DIFFERENTIATION,1766,17.66,11.710110874513548
自上而下 L1 意图,2025搜索随机1w,2,SUBSTANCE_EFFICACY_LOOKUP,1449,14.49,24.474631030178426
自上而下 L1 意图,2025搜索随机1w,3,PERMISSION_CHECK,1241,12.41,5.089947866950584
自上而下 L1 意图,2025搜索随机1w,4,DISEASE_CONCEPT_INFO,1233,12.33,19.073353403333577
自上而下 L1 意图,2025搜索随机1w,5,CARE_NAVIGATION_COST,886,8.86,4.747778838387547
自上而下 L1 意图,2025搜索随机1w,6,TREATMENT_SEEKING,869,8.69,7.6231735075996765
自上而下 L1 意图,2025搜索随机1w,7,RESULT_INTERPRETATION,571,5.71,13.161025038549086
自上而下 L1 意图,2025搜索随机1w,8,NON_HEALTH_OTHER,417,4.17,1.7739922167560023
自上而下 L1 意图,2025搜索随机1w,9,REPRODUCTIVE_HEALTH,369,3.69,1.7534327043101547
自上而下 L1 意图,2025搜索随机1w,10,REFERENCE_VALUE_CALCULATOR,258,2.58,4.342462735883692
自上而下 L1 意图,2026搜索,1,SUBSTANCE_EFFICACY_LOOKUP,4376,43.76875375075015,49.66271825679877
自上而下 L1 意图,2026搜索,2,DISEASE_CONCEPT_INFO,2013,20.13402680536107,19.486807198646304
自上而下 L1 意图,2026搜索,3,TREATMENT_SEEKING,949,9.491898379675936,8.431688374824821
自上而下 L1 意图,2026搜索,4,SYMPTOM_ATTRIBUTION_DIFFERENTIATION,913,9.131826365273055,8.284153412552413
自上而下 L1 意图,2026搜索,5,CARE_NAVIGATION_COST,261,2.6105221044208844,1.6916215924060582
自上而下 L1 意图,2026搜索,6,RESULT_INTERPRETATION,247,2.470494098819764,2.492023723099686
自上而下 L1 意图,2026搜索,7,REFERENCE_VALUE_CALCULATOR,235,2.350470094018804,2.556075861847831
自上而下 L1 意图,2026搜索,8,DOSAGE_ADMINISTRATION,200,2.000400080016003,1.4819929200882367
自上而下 L1 意图,2026搜索,9,NON_HEALTH_OTHER,149,1.4902980596119224,1.399335708664146
自上而下 L1 意图,2026搜索,10,PERMISSION_CHECK,148,1.4802960592118424,0.9923665441240707
