key,类目,搜索条数,搜索n,搜索占比%,助手条数,助手n,助手占比%,差_pp,低_pp,高_pp,显著,归属,另一边期望条数,另一边P(0),缺席判定,助手行占该类比例%
1,医院及医生信息查询,541,10000,5.41,70,10316,0.679,-4.731,-5.213,-4.269,True,两界面都有,,,,11.46
4,医生信息查询,184,10000,1.84,52,10316,0.504,-1.336,-1.643,-1.045,True,两界面都有,,,,22.03
3,查询中医机构、医生与术语,149,10000,1.49,31,10316,0.301,-1.189,-1.461,-0.937,True,两界面都有,,,,17.22
25,中药与中成药信息查询,500,10000,5.0,405,10316,3.926,-1.074,-1.645,-0.507,True,两界面都有,,,,44.75
10,查询食物营养与健康影响,536,10000,5.36,463,10316,4.488,-0.872,-1.469,-0.277,True,两界面都有,,,,46.35
0,查询医疗机构联系电话,75,10000,0.75,6,10316,0.058,-0.692,-0.883,-0.526,True,两界面都有,,,,7.41
6,食物药物同食同服查询,146,10000,1.46,101,10316,0.979,-0.481,-0.788,-0.179,True,两界面都有,,,,40.89
26,查询骨科伤病诊疗与康复信息,443,10000,4.43,412,10316,3.994,-0.436,-0.991,0.116,False,两界面都有,,,,48.19
20,功效作用与副作用查询,486,10000,4.86,479,10316,4.643,-0.217,-0.804,0.369,False,两界面都有,,,,49.64
18,血糖与糖尿病管理查询,209,10000,2.09,196,10316,1.9,-0.19,-0.578,0.195,False,两界面都有,,,,48.4
13,特定场景饮品饮用适宜性查询,260,10000,2.6,253,10316,2.453,-0.147,-0.582,0.285,False,两界面都有,,,,49.32
33,症状原因查询#33,283,10000,2.83,278,10316,2.695,-0.135,-0.588,0.316,False,两界面都有,,,,49.55
11,健康利弊查询,98,10000,0.98,97,10316,0.94,-0.04,-0.311,0.23,False,两界面都有,,,,49.74
23,查询物品功效与作用,100,10000,1.0,110,10316,1.066,0.066,-0.214,0.347,False,两界面都有,,,,52.38
32,症状原因查询#32,380,10000,3.8,405,10316,3.926,0.126,-0.406,0.657,False,两界面都有,,,,51.59
8,查询食物药物能否食用,215,10000,2.15,235,10316,2.278,0.128,-0.278,0.534,False,两界面都有,,,,52.22
12,病症用药饮食查询,276,10000,2.76,301,10316,2.918,0.158,-0.301,0.616,False,两界面都有,,,,52.17
34,查询皮肤黏膜异常症状与处理建议,571,10000,5.71,612,10316,5.933,0.223,-0.423,0.867,False,两界面都有,,,,51.73
27,肢体不适症状查询,288,10000,2.88,322,10316,3.121,0.241,-0.229,0.712,False,两界面都有,,,,52.79
29,解答月经避孕怀孕相关疑问,229,10000,2.29,267,10316,2.588,0.298,-0.127,0.724,False,两界面都有,,,,53.83
17,查询心脑血管疾病诊疗信息,275,10000,2.75,317,10316,3.073,0.323,-0.141,0.786,False,两界面都有,,,,53.55
14,血压问题查询,135,10000,1.35,173,10316,1.677,0.327,-0.01,0.665,False,两界面都有,,,,56.17
9,查询特定健康或用药情形下能否吃某物或做某事,357,10000,3.57,410,10316,3.974,0.404,-0.121,0.929,False,两界面都有,,,,53.46
16,查询化验检查指标含义与异常原因,271,10000,2.71,322,10316,3.121,0.411,-0.052,0.875,False,两界面都有,,,,54.3
19,判断身体症状或检查结果是否正常,182,10000,1.82,253,10316,2.453,0.633,0.235,1.032,True,两界面都有,,,,58.16
30,查询疾病症状与诊疗信息,645,10000,6.45,731,10316,7.086,0.636,-0.055,1.327,False,两界面都有,,,,53.12
15,解读个人健康指标与用药疑问,226,10000,2.26,300,10316,2.908,0.648,0.212,1.086,True,两界面都有,,,,57.03
7,解答婴幼儿喂养与奶类营养问题,103,10000,1.03,194,10316,1.881,0.851,0.523,1.184,True,两界面都有,,,,65.32
31,查询健康症状处理办法,204,10000,2.04,308,10316,2.986,0.946,0.516,1.378,True,两界面都有,,,,60.16
35,呼吸道症状与用药建议查询,390,10000,3.9,505,10316,4.895,0.995,0.432,1.56,True,两界面都有,,,,56.42
24,药品用法与相互作用查询,601,10000,6.01,745,10316,7.222,1.212,0.528,1.896,True,两界面都有,,,,55.35
28,查询身体不适症状原因,293,10000,2.93,446,10316,4.323,1.393,0.881,1.909,True,两界面都有,,,,60.35
36,医疗恢复与检查时间查询,349,10000,3.49,517,10316,5.012,1.522,0.968,2.078,True,两界面都有,,,,59.7
