key,类目,搜索条数,搜索n,搜索占比%,助手条数,助手n,助手占比%,差_pp,低_pp,高_pp,显著,归属,另一边期望条数,另一边P(0),缺席判定,助手行占该类比例%
PROVIDER_NAVIGATION_AND_ADMIN__1,PROVIDER_NAVIGATION_AND_ADMIN__1,749,10000,7.49,48,10316,0.465,-7.025,-7.569,-6.503,True,两界面都有,,,,6.02
MEDICAL_KNOWLEDGE_LOOKUP__3,MEDICAL_KNOWLEDGE_LOOKUP__3,662,10000,6.62,514,10316,4.983,-1.637,-2.283,-0.995,True,两界面都有,,,,43.71
PROVIDER_NAVIGATION_AND_ADMIN__2,PROVIDER_NAVIGATION_AND_ADMIN__2,344,10000,3.44,196,10316,1.9,-1.54,-1.989,-1.099,True,两界面都有,,,,36.3
PRODUCT_INFO_LOOKUP__2,PRODUCT_INFO_LOOKUP__2,647,10000,6.47,529,10316,5.128,-1.342,-1.987,-0.7,True,两界面都有,,,,44.98
MEDICAL_KNOWLEDGE_LOOKUP__2,MEDICAL_KNOWLEDGE_LOOKUP__2,497,10000,4.97,405,10316,3.926,-1.044,-1.614,-0.477,True,两界面都有,,,,44.9
DIAGRAM_MEDIA_LOOKUP__1,DIAGRAM_MEDIA_LOOKUP__1,178,10000,1.78,119,10316,1.154,-0.626,-0.963,-0.297,True,两界面都有,,,,40.07
PRODUCT_INFO_LOOKUP__1,PRODUCT_INFO_LOOKUP__1,513,10000,5.13,470,10316,4.556,-0.574,-1.167,0.016,False,两界面都有,,,,47.81
INTERACTION_VERDICT__3,INTERACTION_VERDICT__3,124,10000,1.24,93,10316,0.902,-0.338,-0.627,-0.055,True,两界面都有,,,,42.86
MEDICAL_KNOWLEDGE_LOOKUP__1,MEDICAL_KNOWLEDGE_LOOKUP__1,322,10000,3.22,304,10316,2.947,-0.273,-0.751,0.203,False,两界面都有,,,,48.56
ENTITY_COMPARISON__3,ENTITY_COMPARISON__3,72,10000,0.72,55,10316,0.533,-0.187,-0.41,0.031,False,两界面都有,,,,43.31
ENTITY_COMPARISON__2,ENTITY_COMPARISON__2,69,10000,0.69,55,10316,0.533,-0.157,-0.377,0.059,False,两界面都有,,,,44.35
DOSAGE_ADMINISTRATION__1,DOSAGE_ADMINISTRATION__1,57,10000,0.57,46,10316,0.446,-0.124,-0.325,0.073,False,两界面都有,,,,44.66
INTERACTION_VERDICT__1,INTERACTION_VERDICT__1,41,10000,0.41,30,10316,0.291,-0.119,-0.289,0.045,False,两界面都有,,,,42.25
EFFICACY_VERDICT__2,EFFICACY_VERDICT__2,220,10000,2.2,215,10316,2.084,-0.116,-0.517,0.283,False,两界面都有,,,,49.43
EFFICACY_VERDICT__1,EFFICACY_VERDICT__1,194,10000,1.94,189,10316,1.832,-0.108,-0.485,0.267,False,两界面都有,,,,49.35
HOME_DEVICE_SELFTEST__1,HOME_DEVICE_SELFTEST__1,12,10000,0.12,3,10316,0.029,-0.091,-0.183,-0.015,True,两界面都有,,,,20.0
PROCEDURE_EXPERIENCE__1,PROCEDURE_EXPERIENCE__1,31,10000,0.31,27,10316,0.262,-0.048,-0.202,0.102,False,两界面都有,,,,46.55
CONTEXT_DEPENDENT_FOLLOW_UP__3,CONTEXT_DEPENDENT_FOLLOW_UP__3,83,10000,0.83,83,10316,0.805,-0.025,-0.277,0.224,False,两界面都有,,,,50.0
SYMPTOM_CAUSE_LOOKUP__5,SYMPTOM_CAUSE_LOOKUP__5,290,10000,2.9,298,10316,2.889,-0.011,-0.474,0.451,False,两界面都有,,,,50.68
HEALTH_VALUE_CALCULATION__1,HEALTH_VALUE_CALCULATION__1,49,10000,0.49,50,10316,0.485,-0.005,-0.201,0.189,False,两界面都有,,,,50.51
CONTEXT_DEPENDENT_FOLLOW_UP__1,CONTEXT_DEPENDENT_FOLLOW_UP__1,14,10000,0.14,14,10316,0.136,-0.004,-0.114,0.104,False,两界面都有,,,,50.0
