key,类目,a,b,k_a,k_b,n_a,n_b,占比_a%,占比_b%,差_pp,低_pp,高_pp,显著,类型
ACUTE_EMERGENCY_TRIAGE,急性事件与意外暴露的分诊处理,传统搜索随机1w,健康管家随机1w,59,66,10000,10316,0.59,0.64,0.05,-0.168,0.268,False,共有
CONTEXT_DEPENDENT_FOLLOW_UP,无指代追问与拍照实物识别,传统搜索随机1w,健康管家随机1w,127,194,10000,10316,1.27,1.881,0.611,0.269,0.956,True,共有
DIAGNOSIS_PROGNOSIS_VERDICT,判定疾病可能性、病情走向与预后,传统搜索随机1w,健康管家随机1w,499,770,10000,10316,4.99,7.464,2.474,1.812,3.139,True,共有
DIAGRAM_MEDIA_LOOKUP,获取结构图示、位置或流程视频,传统搜索随机1w,健康管家随机1w,178,119,10000,10316,1.78,1.154,-0.626,-0.963,-0.297,True,共有
DOSAGE_ADMINISTRATION,查询具体药物的用法、剂量与疗程,传统搜索随机1w,健康管家随机1w,229,322,10000,10316,2.29,3.121,0.831,0.385,1.279,True,共有
EFFICACY_VERDICT,验证药物、偏方或疗法的有效性,传统搜索随机1w,健康管家随机1w,414,404,10000,10316,4.14,3.916,-0.224,-0.767,0.317,False,共有
ENTITY_COMPARISON,比较两个或多个实体的异同或优劣,传统搜索随机1w,健康管家随机1w,217,224,10000,10316,2.17,2.171,0.001,-0.402,0.403,False,共有
HEALTH_VALUE_CALCULATION,计算健康相关数值,传统搜索随机1w,健康管家随机1w,49,50,10000,10316,0.49,0.485,-0.005,-0.201,0.189,False,共有
HOME_DEVICE_SELFTEST,家用检测器械的使用与结果判读,传统搜索随机1w,健康管家随机1w,12,3,10000,10316,0.12,0.029,-0.091,-0.183,-0.015,True,共有
INTERACTION_VERDICT,判断药物、食物、酒类之间的相互作用,传统搜索随机1w,健康管家随机1w,290,268,10000,10316,2.9,2.598,-0.302,-0.754,0.148,False,共有
MEDICAL_KNOWLEDGE_LOOKUP,查询医学名词、检查、疫苗或疾病定义,传统搜索随机1w,健康管家随机1w,1481,1223,10000,10316,14.81,11.855,-2.955,-3.89,-2.02,True,共有
OWN_CASE_VERDICT,判读个人测量值、检查结果或自身发现,传统搜索随机1w,健康管家随机1w,688,1172,10000,10316,6.88,11.361,4.481,3.693,5.27,True,共有
PERMISSION_VERDICT,判断个人情形下能否做某事或吃某物,传统搜索随机1w,健康管家随机1w,650,786,10000,10316,6.5,7.619,1.119,0.415,1.824,True,共有
PROCEDURE_EXPERIENCE,了解诊疗过程的真实体验与实况,传统搜索随机1w,健康管家随机1w,31,27,10000,10316,0.31,0.262,-0.048,-0.202,0.102,False,共有
PRODUCT_INFO_LOOKUP,查询药品、药材、保健品或食物的基本信息与功效,传统搜索随机1w,健康管家随机1w,1160,999,10000,10316,11.6,9.684,-1.916,-2.765,-1.068,True,共有
PROVIDER_NAVIGATION_AND_ADMIN,就医导航、机构核实与医疗行政事务,传统搜索随机1w,健康管家随机1w,1093,244,10000,10316,10.93,2.365,-8.565,-9.249,-7.892,True,共有
RECOVERY_TIMELINE,查询术后、伤后或治疗后的恢复时间线,传统搜索随机1w,健康管家随机1w,133,218,10000,10316,1.33,2.113,0.783,0.427,1.144,True,共有
REPRODUCTIVE_TIMELINE,推算怀孕、排卵、验孕或预产时间窗,传统搜索随机1w,健康管家随机1w,38,51,10000,10316,0.38,0.494,0.114,-0.07,0.3,False,共有
SYMPTOM_CAUSE_LOOKUP,查询症状或体征的原因,传统搜索随机1w,健康管家随机1w,1614,1845,10000,10316,16.14,17.885,1.745,0.711,2.777,True,共有
TREATMENT_SEEKING,寻求症状或疾病的治疗方案与用药推荐,传统搜索随机1w,健康管家随机1w,1038,1331,10000,10316,10.38,12.902,2.522,1.641,3.403,True,共有
